conflictep_id,conflictepisode,type_of_conflict2,dyadcount,confterm,ependdate,ependprec,outcome,recur,version,conflict_id,year,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,intensity_level,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_loc,region
20001,1,3,1,1,7/21/1946,1,4,0,3,200,1946,Bolivia,Government of Bolivia,23,,Popular Revolutionary Movement,719,,2,,2,3,7/18/1946,1,7/21/1946,2,145,5
20002,2,3,1,1,4/12/1952,1,4,1,3,200,1952,Bolivia,Government of Bolivia,23,,MNR,720,,2,,1,3,7/18/1946,1,4/9/1952,1,145,5
20003,3,3,1,1,10/16/1967,1,3,1,3,200,1967,Bolivia,Government of Bolivia,23,,ELN,721,,2,,1,3,7/18/1946,1,3/31/1967,3,145,5
20101,1,1,1,0,,,,0,3,201,1946,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/1946,3,8/31/1946,3,811,3
20101,1,1,1,0,,,,0,3,201,1947,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/1946,3,8/31/1946,3,811,3
20101,1,1,1,0,,,,0,3,201,1948,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/1946,3,8/31/1946,3,811,3
20101,1,1,1,0,,,,0,3,201,1949,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/1946,3,8/31/1946,3,811,3
20101,1,1,1,0,,,,0,3,201,1950,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/1946,3,8/31/1946,3,811,3
20101,1,1,1,0,,,,0,3,201,1951,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/1946,3,8/31/1946,3,811,3
20101,1,1,1,0,,,,0,3,201,1952,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/1946,3,8/31/1946,3,811,3
20101,1,1,1,1,11/9/1953,1,1,0,3,201,1953,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/1946,3,8/31/1946,3,811,3
20201,1,3,1,0,,,,0,3,202,1946,China,Government of China,135,,PLA,161,,2,,2,3,12/31/1946,7,12/31/1946,7,710,3
20201,1,3,1,0,,,,0,3,202,1947,China,Government of China,135,,PLA,161,,2,,2,3,12/31/1946,7,12/31/1946,7,710,3
20201,1,3,1,0,,,,0,3,202,1948,China,Government of China,135,,PLA,161,,2,,2,3,12/31/1946,7,12/31/1946,7,710,3
20201,1,3,1,1,12/8/1949,1,4,0,3,202,1949,China,Government of China,135,,PLA,161,,2,,2,3,12/31/1946,7,12/31/1946,7,710,3
20301,1,3,1,0,,,,0,3,203,1946,Greece,Government of Greece,52,,DSE,162,,2,,2,3,3/31/1946,4,3/31/1946,4,350,1
20301,1,3,1,0,,,,0,3,203,1947,Greece,Government of Greece,52,,DSE,162,,2,,2,3,3/31/1946,4,3/31/1946,4,350,1
20301,1,3,1,0,,,,0,3,203,1948,Greece,Government of Greece,52,,DSE,162,,2,,2,3,3/31/1946,4,3/31/1946,4,350,1
20301,1,3,1,1,10/16/1949,1,3,0,3,203,1949,Greece,Government of Greece,52,,DSE,162,,2,,2,3,3/31/1946,4,3/31/1946,4,350,1
20401,1,1,1,0,,,,0,3,204,1946,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1,1,10/13/1945,2,12/31/1946,5,850,3
20401,1,1,1,0,,,,0,3,204,1947,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1,1,10/13/1945,2,12/31/1946,5,850,3
20401,1,1,1,0,,,,0,3,204,1948,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1,1,10/13/1945,2,12/31/1946,5,850,3
20401,1,1,1,1,8/15/1949,1,1,0,3,204,1949,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1,1,10/13/1945,2,12/31/1946,5,850,3
20501,1,3,1,1,12/16/1946,1,3,0,3,205,1946,Iran,Government of Iran,114,,KDPI,164,Government of Russia (Soviet Union),1,Kurdistan,1,4,5/31/1946,3,5/31/1946,3,630,2
20502,2,3,1,0,,,,1,3,205,1966,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,12/31/1966,5,630,2
20502,2,3,1,0,,,,0,3,205,1967,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,12/31/1966,5,630,2
20502,2,3,1,1,12/31/1968,5,5,0,3,205,1968,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,12/31/1966,5,630,2
20503,3,3,1,0,,,,1,3,205,1979,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,2,3,5/31/1946,3,12/31/1979,5,630,2
20503,3,3,1,0,,,,0,3,205,1980,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,2,3,5/31/1946,3,12/31/1979,5,630,2
20503,3,3,1,0,,,,0,3,205,1981,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,12/31/1979,5,630,2
20503,3,3,1,0,,,,0,3,205,1982,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,2,3,5/31/1946,3,12/31/1979,5,630,2
20503,3,3,1,0,,,,0,3,205,1983,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,12/31/1979,5,630,2
20503,3,3,1,0,,,,0,3,205,1984,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,12/31/1979,5,630,2
20503,3,3,1,0,,,,0,3,205,1985,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,12/31/1979,5,630,2
20503,3,3,1,0,,,,0,3,205,1986,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,12/31/1979,5,630,2
20503,3,3,1,0,,,,0,3,205,1987,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,12/31/1979,5,630,2
20503,3,3,1,1,12/31/1988,5,5,0,3,205,1988,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,12/31/1979,5,630,2
20504,4,3,1,1,8/17/1990,2,5,1,3,205,1990,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,7/10/1990,2,630,2
20505,5,3,1,1,11/11/1993,2,5,1,3,205,1993,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,9/12/1993,2,630,2
20506,6,3,1,1,7/28/1996,2,5,1,3,205,1996,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,7/28/1996,2,630,2
20507,7,3,1,1,12/20/2016,2,5,1,3,205,2016,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,9/7/2016,2,630,2
20508,8,3,1,1,10/12/2018,2,5,1,3,205,2018,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,5/31/1946,3,8/11/2018,1,630,2
20601,1,3,1,1,12/16/1946,1,3,0,3,206,1946,Iran,Government of Iran,114,,Republic of Azerbaijan,165,Government of Russia (Soviet Union),1,Azerbaijan,1,4,11/19/1945,1,12/16/1946,5,630,2
20701,1,1,1,1,12/31/1946,5,5,0,3,207,1946,Israel,Government of United Kingdom,28,,IZL [Etzel],166,,1,Israel,1,1,3/31/1939,4,12/31/1946,5,666,2
20801,1,1,1,0,,,,0,3,208,1946,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1,1,3/31/1946,4,3/31/1946,4,812,3
20801,1,1,1,0,,,,0,3,208,1947,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1,1,3/31/1946,4,3/31/1946,4,812,3
20801,1,1,1,0,,,,0,3,208,1948,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1,1,3/31/1946,4,3/31/1946,4,812,3
20801,1,1,1,0,,,,0,3,208,1949,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1,1,3/31/1946,4,3/31/1946,4,812,3
20801,1,1,1,0,,,,0,3,208,1950,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1,1,3/31/1946,4,3/31/1946,4,812,3
20801,1,1,1,0,,,,0,3,208,1951,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1,1,3/31/1946,4,3/31/1946,4,812,3
20801,1,1,1,0,,,,0,3,208,1952,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1,1,3/31/1946,4,3/31/1946,4,812,3
20801,1,1,1,1,12/31/1953,5,4,0,3,208,1953,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1,1,3/31/1946,4,3/31/1946,4,812,3
20901,1,3,1,0,,,,0,3,209,1946,Philippines,Government of Philippines,154,,Huk,168,,2,,2,3,7/31/1946,4,7/31/1946,4,840,3
20901,1,3,1,0,,,,0,3,209,1947,Philippines,Government of Philippines,154,,Huk,168,,2,,2,3,7/31/1946,4,7/31/1946,4,840,3
20901,1,3,1,0,,,,0,3,209,1948,Philippines,Government of Philippines,154,,Huk,168,,2,,2,3,7/31/1946,4,7/31/1946,4,840,3
20901,1,3,1,0,,,,0,3,209,1949,Philippines,Government of Philippines,154,,Huk,168,,2,,2,3,7/31/1946,4,7/31/1946,4,840,3
20901,1,3,1,0,,,,0,3,209,1950,Philippines,Government of Philippines,154,,Huk,168,,2,,2,3,7/31/1946,4,7/31/1946,4,840,3
20901,1,3,1,0,,,,0,3,209,1951,Philippines,Government of Philippines,154,,Huk,168,,2,,2,3,7/31/1946,4,7/31/1946,4,840,3
20901,1,3,1,0,,,,0,3,209,1952,Philippines,Government of Philippines,154,,Huk,168,,2,,2,3,7/31/1946,4,7/31/1946,4,840,3
20901,1,3,1,0,,,,0,3,209,1953,Philippines,Government of Philippines,154,,Huk,168,,2,,2,3,7/31/1946,4,7/31/1946,4,840,3
