id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est,COORDS
SUD-2004-1-433-5,2004,True,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,-1,Reuters  1/2 2004,,,,SLA,5,Jebel Marra area,Jebel Marra area,Northern Darfur state,,13.166667,24.366667,POINT (24.366667 13.166667),148729,Sudan,625,Africa,1,1,01/31/2004 00:00:00,01/31/2004 00:00:00,700,0,0,0,700,700,700,,POINT (24.366667 13.166667)
SUD-2004-3-625-29,2004,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"UN, ""Report of the International Commission of inquiry on Darfur"", 25 January 2005, p.92f.",,,,,1,Kalokitting town,Kalokitting town,Southern Darfur state,Kass locality,12.716667,24.266667,POINT (24.266667 12.716667),148009,Sudan,625,Africa,1,4,03/01/2004 00:00:00,03/31/2004 00:00:00,0,0,1,0,1,1,1,,POINT (24.266667 12.716667)
SUD-2004-3-625-88,2004,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,AU CFC report no 89/04,,,,,1,Umzaifa village,Umzaifa village,Southern Darfur state,,12.01,25.55,POINT (25.55 12.01),147292,Sudan,625,Africa,1,1,12/10/2004 00:00:00,12/10/2004 00:00:00,0,0,30,0,30,30,30,,POINT (25.55 12.01)
SUD-2003-1-433-4,2003,True,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,-1,"Reuters 03-07-12 AND Collins, Robert, O (2004) ""Disaster in Darfur"" in African Geopolitics 15-16 Summer-Fall, October 2004.",,,,"State radio Omdurman, quoting armed forces spokesman Mohamed Bashir Suleiman.",1,Tina village,Tina (Tini) village,Northern Darfur state,Kutum locality,15.0,22.8,POINT (22.8 15),151606,Sudan,625,Africa,1,1,07/11/2003 00:00:00,07/11/2003 00:00:00,13,30,0,0,43,250,43,,POINT (22.8 15)
SUD-2003-3-1485-17,2003,True,Clear,3,630,586,Janjaweed  - Civilians,630,1053,Janjaweed  - Civilians,630,630,Janjaweed,9999,1,Civilians,-1,"Amnesty International, ""Darfur: Too many people killed for no reason"" , 3 February 2004",,,,,1,Kutum town,Kutum town,Northern Darfur state,Kutum locality,14.2,24.666667,POINT (24.666667 14.2),150170,Sudan,625,Africa,2,2,08/05/2003 00:00:00,08/06/2003 00:00:00,0,0,32,0,32,32,32,,POINT (24.666667 14.2)
SUD-2003-3-625-34,2003,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"Human Rights Watch, ""Darfur Destroyed"" , May 2004",,,,,2,Murnei village,Murnei village (area),Western Darfur state,,12.95,22.866667,POINT (22.866667 12.95),148006,Sudan,625,Africa,1,1,10/09/2003 00:00:00,10/09/2003 00:00:00,0,0,82,0,82,82,82,,POINT (22.866667 12.95)
SUD-2004-1-433-19,2004,True,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,-1,AU CFC 19/10,,,,,1,Abukarinka military camp,Abukarinka military camp,Southern Darfur state,Adayla locality,11.583333,26.566667,POINT (26.566667 11.583333),146574,Sudan,625,Africa,1,1,09/25/2004 00:00:00,09/25/2004 00:00:00,10,0,0,0,10,10,10,,POINT (26.566667 11.583333)
SUD-2003-3-625-44,2003,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"HRW ""DARFUR DESTROYED Ethnic Cleansing by Government and Militia Forces in Western Sudan"" http://hrw.org/reports/2004/sudan0504/5.htm#_Toc71531690",,,,"Human Rights Watch interview, Ali, April 13, 2004 AND Human Rights Watch interview, Feisal, Chad, April 5, 2004 AND Human Rights Watch interview, Mohammed, Darfur, April 5, 2004.",2,Nouri village,Nouri village,Western Darfur state,,13.2,23.183333,POINT (23.183333 13.2),148727,Sudan,625,Africa,1,1,12/29/2003 00:00:00,12/29/2003 00:00:00,0,0,170,0,170,170,170,,POINT (23.183333 13.2)
SUD-2003-3-625-11,2003,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"Hfer Petersen & Tullin (2006) ""The Scorched Earth of Darfur"" Copenhagen: Bloodhound.",,,,,5,Darfur,Darfur,,,13.0,25.0,POINT (25 13),148731,Sudan,625,Africa,2,4,06/01/2003 00:00:00,06/30/2003 00:00:00,0,0,0,0,0,2174,0,,POINT (25 13)
SUD-2003-3-625-10,2003,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"Amnesty International ""Darfur: Rape as a weapon of war: sexual violence and its consequences"" 19 July 2004",,,,Witnesses,3,Kabkabiya locality,Amnatay Kabkabiya district,Northern Darfur state,Kabkabiya locality,13.65,24.083333,POINT (24.083333 13.65),149449,Sudan,625,Africa,2,5,06/01/2003 00:00:00,07/31/2003 00:00:00,0,0,0,4,4,4,4,,POINT (24.083333 13.65)
