id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
120538,SAL-1989-1-225-5,1989,1,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Channel 12 television (San Salvador),1989-02-01,government and FMLN military claims, Dan Quayle's visit.""",Channel 12 television (San Salvador),1989-02-01,"government and FMLN military claims, Dan Quayle's visit.",Defence Ministry,6,El Salvador,El Salvador,,,13.8333,-88.9167,POINT (-88.9167 13.8333),149223,El Salvador,92,Americas,2,4,1989-01-01 00:00:00.000,1989-01-31 00:00:00.000,0,116,0,0,116,116,116,92.0,
120584,SAL-1989-1-225-46,1989,1,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Latin American Weekly Report,1990-01-18,Army killed Jesuits.""",Latin American Weekly Report,1990-01-18,Army killed Jesuits.,military report,6,El Salvador,El Salvador,,,13.8333,-88.9167,POINT (-88.9167 13.8333),149223,El Salvador,92,Americas,2,5,1989-01-01 00:00:00.000,1989-12-31 00:00:00.000,326,1216,0,0,1542,1542,1542,92.0,
120561,SAL-1989-1-225-24,1989,1,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Reuters,1989-04-29,MORE THAN 700 DEAD IN SALVADOR COMBAT IN 1989.""",Reuters,1989-04-29,MORE THAN 700 DEAD IN SALVADOR COMBAT IN 1989.,military spokesman,6,El Salvador,El Salvador,,,13.8333,-88.9167,POINT (-88.9167 13.8333),149223,El Salvador,92,Americas,2,5,1989-01-01 00:00:00.000,1989-04-29 00:00:00.000,165,275,0,0,440,440,440,92.0,
120534,SAL-1989-1-225-1,1989,1,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Reuters,1989-01-13,HEAVY FIGHTING OVERNIGHT, UNIVERSITY TARGETS BOMBED.""",Reuters,1989-01-13,"HEAVY FIGHTING OVERNIGHT, UNIVERSITY TARGETS BOMBED.",military report / rebel report,1,San Francisco Morazán town,San Francisco Morazan,Chalatenango department,San Francisco Morazán municipality,14.183333,-89.05,POINT (-89.05 14.183333),149942,El Salvador,92,Americas,1,1,1989-01-12 00:00:00.000,1989-01-12 00:00:00.000,5,0,0,0,5,15,5,92.0,
120536,SAL-1989-1-225-3,1989,1,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Reuters,1989-01-17,REBELS HIT SIX TOWNS IN NORTH.""",Reuters,1989-01-17,REBELS HIT SIX TOWNS IN NORTH.,military report / rebel report,4,Chalatenango department,six towns in northern Chalatenango province,Chalatenango department,,14.133333,-89.016667,POINT (-89.016667 14.133333),149942,El Salvador,92,Americas,1,1,1989-01-17 00:00:00.000,1989-01-17 00:00:00.000,0,3,0,0,3,3,3,92.0,
120537,SAL-1989-1-225-4,1989,1,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""The Globe and Mail,1989-01-19,2 killed in Salvadorean attack""",The Globe and Mail,1989-01-19,2 killed in Salvadorean attack,police spokesman,1,San Salvador city,San Salvador (Treasury Police headquarters),San Salvador department,San Salvador municipality,13.701265,-89.209392,POINT (-89.209392 13.701265),149222,El Salvador,92,Americas,1,1,1989-01-20 00:00:00.000,1989-01-20 00:00:00.000,1,1,0,0,2,2,2,92.0,
120539,SAL-1989-1-225-6,1989,1,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,3,"""Reuters,1989-02-24,CHURCH REPORTS ARMY MASSACRE OF REBEL FIELD HOSPITAL. "";""Reuters,1989-02-15,ANTI-COMMUNIST GROUP BOMBS LEFTIST UNION OFFICES; ARMY ATTACKS HOSPITAL."";""Reuters,1989-02-24,CHURCH REPORTS ARMY MASSACRE OF REBEL FIELD HOSPITAL.""",Reuters;Reuters;Reuters,1989-02-24;1989-02-15;1989-02-24,CHURCH REPORTS ARMY MASSACRE OF REBEL FIELD HOSPITAL. ;ANTI-COMMUNIST GROUP BOMBS LEFTIST UNION OFFICES; ARMY ATTACKS HOSPITAL.;CHURCH REPORTS ARMY MASSACRE OF REBEL FIELD HOSPITAL.,Washington-based Committee in Solidarity With the People of El Salvador / Catholic church,1,El Chupadero village,El Chupadero village (near),Chalatenango department,Santa Rita municipality,14.233333,-88.983333,POINT (-88.983333 14.233333),149943,El Salvador,92,Americas,1,1,1989-02-13 00:00:00.000,1989-02-13 00:00:00.000,0,3,0,3,6,10,6,92.0,
120541,SAL-1989-1-225-7,1989,1,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Radio YSU,1989-02-21,Not given.""",Radio YSU,1989-02-21,Not given.,Radio,6,El Salvador,El Salvador,,,13.8333,-88.9167,POINT (-88.9167 13.8333),149223,El Salvador,92,Americas,1,2,1989-02-18 00:00:00.000,1989-02-20 00:00:00.000,3,0,1,0,4,4,4,92.0,
120542,SAL-1989-1-225-8,1989,1,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,2,"""Reuters,1989-02-28,MILITARY DECLARES UNILATERAL CEASEFIRE."";""Reuters,1989-02-28,GUERRILLAS MOUNT ATTACKS ACROSS COUNTRY.""",Reuters;Reuters,1989-02-28;1989-02-28,MILITARY DECLARES UNILATERAL CEASEFIRE.;GUERRILLAS MOUNT ATTACKS ACROSS COUNTRY.,Armed Forces Press Office (COPREFA),1,Nueva Concepción town,Nueva Concepcion town,Chalatenango department,Nueva Concepción municipality,14.133333,-89.3,POINT (-89.3 14.133333),149942,El Salvador,92,Americas,2,2,1989-02-27 00:00:00.000,1989-02-28 00:00:00.000,1,3,1,0,5,5,5,92.0,
120543,SAL-1989-1-225-9,1989,1,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,2,"""Reuters,1989-02-28,MILITARY DECLARES UNILATERAL CEASEFIRE."";""Reuters,1989-02-28,GUERRILLAS MOUNT ATTACKS ACROSS COUNTRY.""",Reuters;Reuters,1989-02-28;1989-02-28,MILITARY DECLARES UNILATERAL CEASEFIRE.;GUERRILLAS MOUNT ATTACKS ACROSS COUNTRY.,Armed Forces Press Office (COPREFA),1,Ciudad Arce town,Cuidad Arce town,La Libertad department,Ciudad Arce municipality,13.838009,-89.441521,POINT (-89.441521 13.838009),149222,El Salvador,92,Americas,1,1,1989-02-28 00:00:00.000,1989-02-28 00:00:00.000,0,0,1,0,1,1,1,92.0,
120559,SAL-1989-1-225-22,1989,1,Clear,1,316,316,El Salvador: Government,697,697,Government of El Salvador - FMLN,13,13,Government of El Salvador,755,755,FMLN,1,"""Reuters,1989-04-03, OVER 1,000 CASUALTIES REPORTED IN MARCH.""",Reuters,1989-04-03,"OVER 1,000 CASUALTIES REPORTED IN MARCH.",COPREFA,6,El Salvador,El Salvador,,,13.8333,-88.9167,POINT (-88.9167 13.8333),149223,El Salvador,92,Americas,2,4,1989-03-01 00:00:00.000,1989-03-31 00:00:00.000,0,127,0,0,127,127,127,92.0,
