id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
12718,GUI-2001-1-57-1,2001,1,Clear,1,307,307,Guinea: Government,654,654,Government of Guinea - RFDG,77,77,Government of Guinea,463,463,RFDG,-1,"Reuters 2001-01-06 ""Guinean planes reported bombing rebels in S.Leone",,,,SL military sources,5,Western Sierra Leone,Western Sierra Leone,,,8.75,-12.666667,POINT (-12.666667 8.75),142175,Sierra Leone,451,Africa,1,2,2001-01-04 00:00:00.000,2001-01-06 00:00:00.000,0,0,0,2,2,2,2,438.0,
12740,GUI-2001-1-57-6,2001,1,Clear,1,307,307,Guinea: Government,654,654,Government of Guinea - RFDG,77,77,Government of Guinea,463,463,RFDG,-1,"Reuters 2001-02-01 ""Leone chief says Guinean army bombed northern town",,,,SL paramount chief,1,Kamakwie town,Kamakwie town,Northern province,Bombali district,9.5,-12.233333,POINT (-12.233333 9.5),143616,Sierra Leone,451,Africa,1,1,2001-01-31 00:00:00.000,2001-01-31 00:00:00.000,0,0,0,0,0,16,0,438.0,
12711,GUI-2001-1-57-14,2001,1,Clear,1,307,307,Guinea: Government,654,654,Government of Guinea - RFDG,77,77,Government of Guinea,463,463,RFDG,-1,ARB vol 38 no 3,,,,civilians/witnesses,1,Kurubonla town,"Kurubonla town, Koinadugu district",Northern province,Koinadugu district,9.2,-10.95,POINT (-10.95 9.2),142899,Sierra Leone,451,Africa,1,4,2001-03-01 00:00:00.000,2001-03-27 00:00:00.000,0,0,0,0,0,5,0,438.0,
12773,GUI-2001-1-57-17,2001,1,Clear,1,307,307,Guinea: Government,654,654,Government of Guinea - RFDG,77,77,Government of Guinea,463,463,RFDG,-1,"Reuters 2001-07-20 ""Sierra Leoneans flee border raids - aid workers",,,,aid workers,2,Koidu town,Koidu town (near),Eastern province,Kono district,8.75,-11.0,POINT (-11 8.75),142179,Sierra Leone,451,Africa,1,1,2001-07-19 00:00:00.000,2001-07-19 00:00:00.000,0,0,0,0,0,15,0,438.0,
38641,SIE-1991-1-130-2,1991,1,Clear,1,382,382,Sierra Leone: Government,818,818,Government of Sierra Leone - RUF,80,80,Government of Sierra Leone,532,532,RUF,-1,"Reuters 1991-03-24 ""SIERRA LEONE SENDS TROOPS TO LIBERIAN BORDER AFTER REBEL RAID""; ""LIBERIAN REBELS ENTER SIERRA LEONE, SOURCES SAY"", TRC Volume 3A, 113f",,,,government statement,1,Bomaru town,Bomaru town,Eastern province,Kailahun district,8.016667,-10.616667,POINT (-10.616667 8.016667),141459,Sierra Leone,451,Africa,1,1,1991-03-23 00:00:00.000,1991-03-23 00:00:00.000,2,0,0,0,2,2,2,451.0,
38591,SIE-1991-1-130-16.1,1991,1,Clear,1,382,382,Sierra Leone: Government,818,818,Government of Sierra Leone - RUF,80,80,Government of Sierra Leone,532,532,RUF,-1,"Reuters 1991-05-26 ""SIERRA LEONE RECAPTURES BORDER TOWNS FROM LIBERIAN REBELS",,,,travellers from the area,1,Potoru town,Potoru town,Southern province,Pujehun district,7.507222,-11.478611,POINT (-11.478611 7.507222),140738,Sierra Leone,451,Africa,2,5,1991-03-26 00:00:00.000,1991-05-26 00:00:00.000,0,20,0,0,20,20,20,451.0,
38603,SIE-1991-1-130-16.3,1991,1,Clear,1,382,382,Sierra Leone: Government,818,818,Government of Sierra Leone - RUF,80,80,Government of Sierra Leone,532,532,RUF,-1,"Reuters 1991-05-26 ""SIERRA LEONE RECAPTURES BORDER TOWNS FROM LIBERIAN REBELS",,,,travellers from the area,3,Bo district,Bo district (Futa Pujeh town),Southern province,Bo district,8.0,-11.666667,POINT (-11.666667 8),141457,Sierra Leone,451,Africa,2,5,1991-03-26 00:00:00.000,1991-05-26 00:00:00.000,0,20,0,0,20,20,20,451.0,
38734,SIE-1991-1-130-16.2,1991,1,Clear,1,382,382,Sierra Leone: Government,818,818,Government of Sierra Leone - RUF,80,80,Government of Sierra Leone,532,532,RUF,-1,"Reuters 1991-05-26 ""SIERRA LEONE RECAPTURES BORDER TOWNS FROM LIBERIAN REBELS",,,,travellers from the area,1,Dandabu town,Dandabu town,Southern province,Pujehun district,7.476667,-11.684722,POINT (-11.684722 7.476667),140017,Sierra Leone,451,Africa,2,5,1991-03-26 00:00:00.000,1991-05-26 00:00:00.000,0,20,0,0,20,20,20,451.0,
38547,SIE-1991-1-130-3,1991,1,Clear,1,382,382,Sierra Leone: Government,818,818,Government of Sierra Leone - RUF,80,80,Government of Sierra Leone,532,532,RUF,-1,"AC Vol 32 No 8 (19 April 1991), TRC Volume 3A, 127",,,,0,1,Buedu town,Buedu town,Eastern province,Kailahun district,8.280278,-10.371944,POINT (-10.371944 8.280278),141460,Sierra Leone,451,Africa,1,1,1991-03-27 00:00:00.000,1991-03-27 00:00:00.000,1,0,0,0,1,1,1,451.0,
38417,SIE-1991-1-130-4,1991,1,Clear,1,382,382,Sierra Leone: Government,818,818,Government of Sierra Leone - RUF,80,80,Government of Sierra Leone,532,532,RUF,-1,"Reuters 1991-03-31 ""SIERRA LEONE KILLS 19 LIBERIAN REBELS, DIPLOMATS SAY""; AC Vol 32 No 8 (19 April 1991)",,,,diplomats,1,Koindu town,Koindu town,Eastern province,Kailahun district,8.463333,-10.338611,POINT (-10.338611 8.463333),141460,Sierra Leone,451,Africa,1,2,1991-03-28 00:00:00.000,1991-03-31 00:00:00.000,0,17,0,0,17,19,17,451.0,
