id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
30367,UGA-2011-1-151-27,2011,1,Clear,1,314,314,Uganda: Government,688,688,Government of Uganda - LRA,90,90,Government of Uganda,488,488,LRA,-1,LRA Crisis Tracker,,,,,1,Raga town,Raga,West Bahr-al-Ghazal state,Raga county,8.466667,25.683333,POINT (25.683333 8.466667),141532,South Sudan,626,Africa,1,1,2011-09-17 00:00:00.000,2011-09-17 00:00:00.000,0,4,0,0,4,4,4,500.0,
29185,SUD-2012-3-625-5,2012,1,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"All Africa 2012-08-19 ""Warmongering Sudan Attacked Upper Nile Agricultural Project - Governor",,,,,3,Renk county,Renk county of Upper Nile state,Upper Nile state,Renk county,11.83,32.8,POINT (32.8 11.83),146586,South Sudan,626,Africa,2,2,2012-08-12 00:00:00.000,2012-08-17 00:00:00.000,0,0,3,0,3,3,3,625.0,
63833,SUD-2013-3-625-0,2013,1,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""All Africa,2013-03-27,South Accuses Sudan of Killing Three People in N. Bahr El Ghazal""",All Africa,2013-03-27,South Accuses Sudan of Killing Three People in N. Bahr El Ghazal,,4,North Bahr-al-Ghazal state,"Rual horic, east of the disputed Kiir Adem are, Northern Bahr el Ghazal",North Bahr-al-Ghazal state,,8.85,27.0,POINT (27 8.85),142255,South Sudan,626,Africa,1,1,2013-03-27 00:00:00.000,2013-03-27 00:00:00.000,0,0,0,0,0,3,0,625.0,
347835,SUD-2016-3-1023-0,2016,0,Clear,3,469,556,SLM/A - Civilians,469,1023,SLM/A - Civilians,469,469,SLM/A,9999,1,Civilians,1,"""United Nations Security Council Report,2020-01-14,S/2020/36 Panel of Experts on the Sudan""",United Nations Security Council Report,2020-01-14,S/2020/36 Panel of Experts on the Sudan,UN Panel of Experts,3,Pariang county,"Adiej, Pariang county",Unity state,Pariang county,9.091134,29.098214,POINT (29.098214 9.091134),142979,South Sudan,626,Africa,1,5,2016-01-01 00:00:00.000,2016-12-31 00:00:00.000,0,0,0,0,0,1,0,,
347838,SUD-2018-3-1023-0,2018,0,Clear,3,469,556,SLM/A - Civilians,469,1023,SLM/A - Civilians,469,469,SLM/A,9999,1,Civilians,1,"""United Nations Security Council Report,2020-01-14,S/2020/36 Panel of Experts on the Sudan""",United Nations Security Council Report,2020-01-14,S/2020/36 Panel of Experts on the Sudan,UN Panel of experts,3,Pariang county,in Pariang,Unity state,Pariang county,9.87904,29.98151,POINT (29.98151 9.87904),143700,South Sudan,626,Africa,1,4,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,0,0,1,0,1,1,1,,
32099,UGA-2012-3-1336-1,2012,1,Clear,3,488,559,LRA - Civilians,488,1026,LRA - Civilians,488,488,LRA,9999,1,Civilians,-1,"All Africa 7/1-12, ""LRA Kills Two Persons in WBG, Fetches Supplies From Sudan",,,,The Governor of Western Bahr-el-Ghazal State Rizik Zakaria Hassan,1,Mboro village,Mboro town,West Bahr-al-Ghazal state,Wau county,7.2638,27.85278,POINT (27.85278 7.2638),140096,South Sudan,626,Africa,1,2,2012-01-04 00:00:00.000,2012-01-06 00:00:00.000,0,0,2,0,2,2,2,,
66540,CEN-2013-3-1336-16,2013,1,Clear,3,488,559,LRA - Civilians,488,1026,LRA - Civilians,488,488,LRA,9999,1,Civilians,1,"""LRA Crisis Tracker,2013-11-05,LRA Crisis Tracker""",LRA Crisis Tracker,2013-11-05,LRA Crisis Tracker,,2,Tambura town,"Nabaria between Tambura and Namutina, South Sudan",West Equatoria state,Tambura county,5.6,27.466666,POINT (27.4666666 5.6),137935,South Sudan,626,Africa,1,1,2013-11-05 00:00:00.000,2013-11-05 00:00:00.000,0,0,1,0,1,1,1,,
66537,CEN-2013-3-1336-15,2013,1,Clear,3,488,559,LRA - Civilians,488,1026,LRA - Civilians,488,488,LRA,9999,1,Civilians,1,"""Gurtong,2013-11-07,One Person Killed As Suspected LRA Rebels Attack Ezo County, Abducting Three""",Gurtong,2013-11-07,"One Person Killed As Suspected LRA Rebels Attack Ezo County, Abducting Three",,3,Ezo county,"Ezo County, Western Equatoria, South Sudan",West Equatoria state,Ezo county,5.0,27.5,POINT (27.5 5),137216,South Sudan,626,Africa,1,1,2013-11-07 00:00:00.000,2013-11-07 00:00:00.000,0,0,1,0,1,1,1,,
176089,CEN-2015-3-1336-0,2015,1,Clear,3,488,559,LRA - Civilians,488,1026,LRA - Civilians,488,488,LRA,9999,1,Civilians,2,"""Voice of America Press Releases and Documents,2015-01-26,South Sudan: 11 Killed, Four Wounded in Brutal Attack"";""Al Jazeera English,2015-01-27,Several dead as convoy ambushed in South Sudan""",Voice of America Press Releases and Documents;Al Jazeera English,2015-01-26;2015-01-27,"South Sudan: 11 Killed, Four Wounded in Brutal Attack;Several dead as convoy ambushed in South Sudan",Col. Philip Aguer Panyang,2,Raga town,near the town of Raga in Western Bahr el Ghazal state in South Sudan,West Bahr-al-Ghazal state,Raga county,8.466667,25.683333,POINT (25.683333 8.466667),141532,South Sudan,626,Africa,1,1,2015-01-26 00:00:00.000,2015-01-26 00:00:00.000,0,0,0,0,0,13,0,,
211709,CEN-2015-3-1336-8,2015,1,Clear,3,488,559,LRA - Civilians,488,1026,LRA - Civilians,488,488,LRA,9999,1,Civilians,1,"""Radio Okapi,2015-12-17,Des présumés LRA tuent 3 personnes dans le Haut-Uelé""",Radio Okapi,2015-12-17,Des présumés LRA tuent 3 personnes dans le Haut-Uelé,sources from the local civil society,1,Nabiapay village,near Nabiapay (which is a market village on the border with South Sudan),West Equatoria state,Yambio county,4.384083,28.577305,POINT (28.577305 4.384083),135778,South Sudan,626,Africa,2,2,2015-12-12 00:00:00.000,2015-12-17 00:00:00.000,0,0,2,1,3,3,3,,
31909,SSD-2012-3-626-1,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,-1,"AP 2012-05-24 ""South Sudan military kills, tortures a disliked minority tribe, and no UN response, groups say",,,,,4,Jonglei state,Jonglei,Jonglei state,,7.4,32.4,POINT (32.4 7.4),140105,South Sudan,626,Africa,2,4,2012-03-01 00:00:00.000,2012-03-30 00:00:00.000,0,0,4,7,11,11,11,626.0,
31908,SSD-2012-3-626-2,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,-1,"AP 2012-05-25 ""Minority teen killed by South Sudan army; military vows to continue disarmament campaign",,,,,4,Jonglei state,Jonglei,Jonglei state,,7.4,32.4,POINT (32.4 7.4),140105,South Sudan,626,Africa,1,1,2012-05-25 00:00:00.000,2012-05-25 00:00:00.000,0,0,1,0,1,1,1,626.0,
30304,SSD-2012-3-626-4,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""Sudan Tribune,2012-08-30,SPLA criticises Jonglei human rights reports despite dismissing over 30 soldiers""",Sudan Tribune,2012-08-30,SPLA criticises Jonglei human rights reports despite dismissing over 30 soldiers,,3,Pibor county,Pibor county,Jonglei state,Pibor county,6.8,33.1333,POINT (33.1333 6.8),139387,South Sudan,626,Africa,1,5,2012-07-15 00:00:00.000,2012-08-20 00:00:00.000,0,0,0,0,0,1,0,626.0,
31904,SSD-2012-3-626-3,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,-1,"All Africa 2012-07-23 ""SPLA Shoot Dead Civilian in Lakes State",,,,,1,Langcok locality,"Langcok military barracks, Lakes State",Lakes state,Rumbek Centre county,6.9131,29.70286,POINT (29.70286 6.9131),139380,South Sudan,626,Africa,1,1,2012-07-18 00:00:00.000,2012-07-18 00:00:00.000,0,0,1,0,1,1,1,626.0,
64155,SSD-2012-3-626-18,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,1,"""Human Rights Watch,2013-09-12,“They Are Killing Us” Abuses Against Civilians in South Sudan’s Pibor County""",Human Rights Watch,2013-09-12,“They Are Killing Us” Abuses Against Civilians in South Sudan’s Pibor County,,1,Manyabol village,Manyabol town,Jonglei state,Pibor county,6.604594,32.768486,POINT (32.768486 6.6045943),139386,South Sudan,626,Africa,1,1,2012-11-12 00:00:00.000,2012-11-12 00:00:00.000,0,0,3,0,3,3,3,626.0,
