id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
197476,VEN-1992-1-475-999,1992,1,Clear,1,277,277,Venezuela: Government,575,575,Government of Venezuela - Military faction (forces of Hugo Chávez),18,18,Government of Venezuela,742,742,Military faction (forces of Hugo Chávez),-1,"The Globe and Mail 5 Feb 1992 ""Coup attempt fails in Venezuela Disgruntled soldiers try to topple Latin America's second-oldest democracy"" / The Evening Standard 5 Feb 1992 ""Venezuela coup crushed"" / AP 6 Feb 2001 ""Chavez promise: No more uprisings in Venezuela",,,,president / local newspaper,1,Caracas city,Caracas city,Distrito Federal,Libertador municipality,10.488011,-66.879193,POINT (-66.879193 10.488011),144227,Venezuela,101,Americas,1,1,1992-02-04 00:00:00.000,1992-02-04 00:00:00.000,0,0,0,14,14,14,14,101.0,
197477,VEN-1992-1-475-3,1992,1,Clear,1,277,277,Venezuela: Government,575,575,Government of Venezuela - Military faction (forces of Hugo Chávez),18,18,Government of Venezuela,742,742,Military faction (forces of Hugo Chávez),-1,"http://www.acig.org/artman/publish/article_161.shtml, EFE 2/2 2007, AP 4/4 2007",,,,,1,Caracas city,Caracas city,Distrito Federal,Libertador municipality,10.488011,-66.879193,POINT (-66.879193 10.488011),144227,Venezuela,101,Americas,1,1,1992-02-04 00:00:00.000,1992-02-04 00:00:00.000,0,0,80,0,80,80,80,101.0,
197479,VEN-1992-1-475-4,1992,1,Clear,1,277,277,Venezuela: Government,575,575,Government of Venezuela - Military faction (forces of Hugo Chávez),18,18,Government of Venezuela,742,742,Military faction (forces of Hugo Chávez),-1,"The Globe and Mail 28 Nov 1992 ""Military crushes coup attempt in Venezuela Rebels surrender after fighting in which 50 killed, palace bombed"" / The Globe and Mail 30 Nov 1992 ""Venezuelan leader adamant he won't resign Fujimori grants asylum to 93 rebels who fled to Peru after coup attempt",,,,"government news agency, Venpres",1,Caracas city,Caracas city,Distrito Federal,Libertador municipality,10.488011,-66.879193,POINT (-66.879193 10.488011),144227,Venezuela,101,Americas,1,1,1992-11-27 00:00:00.000,1992-11-27 00:00:00.000,0,0,0,46,46,165,46,101.0,
194895,VEN-1992-1-475-5,1992,1,Clear,1,277,277,Venezuela: Government,575,575,Government of Venezuela - Military faction (forces of Hugo Chávez),18,18,Government of Venezuela,742,742,Military faction (forces of Hugo Chávez),-1,http://www.acig.org/artman/publish/article_161.shtml,,,,,1,Caracas city,"Los Flores de Catia department, Caracas city",Distrito Federal,Libertador municipality,10.488011,-66.879193,POINT (-66.879193 10.488011),144227,Venezuela,101,Americas,1,1,1992-11-27 00:00:00.000,1992-11-27 00:00:00.000,0,4,0,0,4,4,4,101.0,
119154,COL-2007-1-237-16,2007,1,Clear,1,289,289,Colombia: Government,623,623,Government of Colombia - FARC,17,17,Government of Colombia,743,743,FARC,-1,"Colombian troops slain in Venezuela were infiltrating rebels, 14 May 2007, EFE News Service; Two Colombia army agents found dead in Venezuela, 15 May 2007, Reuters News",,,,defense minister,6,Venezuela,Venezuela,,,8.0,-66.0,POINT (-66 8),141349,Venezuela,101,Americas,1,4,2007-04-01 00:00:00.000,2007-04-30 00:00:00.000,2,0,0,0,2,2,2,100.0,
198837,VEN-1989-3-101-1007,1989,1,Clear,3,18,447,Government of Venezuela - Civilians,18,914,Government of Venezuela - Civilians,18,18,Government of Venezuela,9999,1,Civilians,1,"""PROVEA,1989-10-01,Situacion de los derechos humanos en Venezuela Oct 1988-Sep 1989""",PROVEA,1989-10-01,Situacion de los derechos humanos en Venezuela Oct 1988-Sep 1989,PROVEA,3,Vargas municipality,Vargas municipality,Distrito Federal,Vargas municipality,10.566667,-66.9,POINT (-66.9 10.566667),144947,Venezuela,101,Americas,1,1,1989-02-06 00:00:00.000,1989-02-06 00:00:00.000,0,0,1,0,1,1,1,101.0,
194873,VEN-1989-3-101-3,1989,1,Clear,3,18,447,Government of Venezuela - Civilians,18,914,Government of Venezuela - Civilians,18,18,Government of Venezuela,9999,1,Civilians,1,"""PROVEA,1989-10-01,Situacion de los derechos humanos en Venezuela Oct 1988-Sep 1989""",PROVEA,1989-10-01,Situacion de los derechos humanos en Venezuela Oct 1988-Sep 1989,students,1,Caracas city,Caracas,Distrito Federal,Libertador municipality,10.488011,-66.879193,POINT (-66.879193 10.488011),144227,Venezuela,101,Americas,1,1,1989-02-14 00:00:00.000,1989-02-14 00:00:00.000,0,0,1,0,1,1,1,101.0,
194872,VEN-1989-3-101-2,1989,1,Clear,3,18,447,Government of Venezuela - Civilians,18,914,Government of Venezuela - Civilians,18,18,Government of Venezuela,9999,1,Civilians,-1,Reuters 21 Feb 1989,,,,university authorities,1,Caracas city,Central University of Venezuela in Caracas,Distrito Federal,Libertador municipality,10.488011,-66.879193,POINT (-66.879193 10.488011),144227,Venezuela,101,Americas,1,1,1989-02-20 00:00:00.000,1989-02-20 00:00:00.000,0,0,1,0,1,1,1,101.0,
197480,VEN-1989-3-101-999,1989,1,Clear,3,18,447,Government of Venezuela - Civilians,18,914,Government of Venezuela - Civilians,18,18,Government of Venezuela,9999,1,Civilians,1,"""Human Rights Watch,1993-10-01,HUMAN RIGHUMAN RIGHTS IN VENEZUELAHTS IN VENEZUELA""",Human Rights Watch,1993-10-01,HUMAN RIGHUMAN RIGHTS IN VENEZUELAHTS IN VENEZUELA,USSD 2000 report /HRW,6,Venezuela,Venezuela,,,8.0,-66.0,POINT (-66 8),141349,Venezuela,101,Americas,2,5,1989-02-26 00:00:00.000,1989-03-31 00:00:00.000,0,0,3,0,3,384,3,101.0,
198845,VEN-1989-3-101-1009,1989,1,Clear,3,18,447,Government of Venezuela - Civilians,18,914,Government of Venezuela - Civilians,18,18,Government of Venezuela,9999,1,Civilians,3,"""PROVEA,1989-10-01,Situacion de los derechos humanos en Venezuela Oct 1988-Sep 1989"";""Telesur,2017-02-27,EL CARACAZO"";""Human Rights Watch,1993-10-01,HUMAN RIGHUMAN RIGHTS IN VENEZUELAHTS IN VENEZUELA""",PROVEA;Telesur;Human Rights Watch,1989-10-01;2017-02-27;1993-10-01,Situacion de los derechos humanos en Venezuela Oct 1988-Sep 1989;EL CARACAZO;HUMAN RIGHUMAN RIGHTS IN VENEZUELAHTS IN VENEZUELA,"PROVEA, HRW",1,Caracas city,Caracas city,Distrito Federal,Libertador municipality,10.488011,-66.879193,POINT (-66.879193 10.488011),144227,Venezuela,101,Americas,1,1,1989-02-27 00:00:00.000,1989-02-27 00:00:00.000,0,0,1,0,1,1,1,101.0,
198847,VEN-1989-3-101-1010,1989,1,Clear,3,18,447,Government of Venezuela - Civilians,18,914,Government of Venezuela - Civilians,18,18,Government of Venezuela,9999,1,Civilians,1,"""PROVEA,1989-10-01,Situacion de los derechos humanos en Venezuela Oct 1988-Sep 1989""",PROVEA,1989-10-01,Situacion de los derechos humanos en Venezuela Oct 1988-Sep 1989,PROVEA,1,Caracas city,Caracas city,Distrito Federal,Libertador municipality,10.488011,-66.879193,POINT (-66.879193 10.488011),144227,Venezuela,101,Americas,1,2,1989-02-27 00:00:00.000,1989-03-03 00:00:00.000,0,0,1,0,1,1,1,101.0,
198849,VEN-1989-3-101-1012,1989,1,Clear,3,18,447,Government of Venezuela - Civilians,18,914,Government of Venezuela - Civilians,18,18,Government of Venezuela,9999,1,Civilians,1,"""PROVEA,1989-10-01,Situacion de los derechos humanos en Venezuela Oct 1988-Sep 1989""",PROVEA,1989-10-01,Situacion de los derechos humanos en Venezuela Oct 1988-Sep 1989,PROVEA,1,Caracas city,Caracas city (banks of Guaire),Distrito Federal,Libertador municipality,10.488011,-66.879193,POINT (-66.879193 10.488011),144227,Venezuela,101,Americas,1,5,1989-02-27 00:00:00.000,1989-03-31 00:00:00.000,0,0,1,0,1,1,1,101.0,
198850,VEN-1989-3-101-1013,1989,1,Clear,3,18,447,Government of Venezuela - Civilians,18,914,Government of Venezuela - Civilians,18,18,Government of Venezuela,9999,1,Civilians,1,"""PROVEA,1989-10-01,Situacion de los derechos humanos en Venezuela Oct 1988-Sep 1989""",PROVEA,1989-10-01,Situacion de los derechos humanos en Venezuela Oct 1988-Sep 1989,PROVEA,1,Maracay town,"Maracay town, Aragua",Aragua state,Girardot municipality,10.24694,-67.59583,POINT (-67.59583 10.24694),144225,Venezuela,101,Americas,1,5,1989-02-27 00:00:00.000,1989-03-31 00:00:00.000,0,0,1,0,1,1,1,101.0,
