,month_id,country_id,gleditsch_ward,ged_sb,ged_sb_tsum_24,wdi_sp_pop_totl,ged_sb_tlag_1,ged_sb_tlag_2,ged_sb_tlag_3,ged_sb_tlag_4,ged_sb_tlag_5,ged_sb_tlag_6,ged_os_tlag_1,wdi_ag_lnd_frst_k2,wdi_dt_oda_odat_pc_zs,wdi_ms_mil_xpnd_gd_zs,wdi_ms_mil_xpnd_zs,wdi_nv_agr_totl_kd,wdi_nv_agr_totl_kn,wdi_ny_gdp_pcap_kd,wdi_sp_dyn_le00_in,wdi_se_enr_prim_fm_zs,wdi_se_enr_prsc_fm_zs,wdi_se_prm_nenr,wdi_sh_sta_maln_zs,wdi_sh_sta_stnt_zs,wdi_sl_tlf_totl_fe_zs,wdi_sm_pop_refg_or,wdi_sm_pop_netm,wdi_sm_pop_totl_zs,wdi_sp_dyn_imrt_in,wdi_sh_dyn_mort_fe,wdi_sp_pop_0014_fe_zs,wdi_sp_pop_1564_fe_zs,wdi_sp_pop_65up_fe_zs,wdi_sp_pop_grow,wdi_sp_urb_totl_in_zs,splag_wdi_sl_tlf_totl_fe_zs,splag_wdi_sm_pop_refg_or,splag_wdi_sm_pop_netm,splag_wdi_ag_lnd_frst_k2,vdem_v2x_delibdem,vdem_v2x_egaldem,vdem_v2x_libdem,vdem_v2x_libdem_48,vdem_v2x_partip,vdem_v2x_partipdem,vdem_v2x_accountability,vdem_v2x_civlib,vdem_v2x_clphy,vdem_v2x_cspart,vdem_v2x_divparctrl,vdem_v2x_edcomp_thick,vdem_v2x_egal,vdem_v2x_execorr,vdem_v2x_frassoc_thick,vdem_v2x_gencs,vdem_v2x_gender,vdem_v2x_genpp,vdem_v2x_horacc,vdem_v2x_neopat,vdem_v2x_pubcorr,vdem_v2x_rule,vdem_v2x_veracc,vdem_v2x_ex_military,vdem_v2x_ex_party,vdem_v2x_freexp,vdem_v2xcl_acjst,vdem_v2xcl_dmove,vdem_v2xcl_prpty,vdem_v2xcl_rol,vdem_v2xcl_slave,vdem_v2xdd_dd,vdem_v2xdl_delib,vdem_v2xeg_eqdr,vdem_v2xeg_eqprotec,vdem_v2xel_frefair,vdem_v2xel_regelec,vdem_v2xme_altinf,vdem_v2xnp_client,vdem_v2xnp_regcorr,vdem_v2xpe_exlecon,vdem_v2xpe_exlpol,vdem_v2xpe_exlgeo,vdem_v2xpe_exlgender,vdem_v2xpe_exlsocgr,vdem_v2xps_party,vdem_v2xcs_ccsi,vdem_v2xnp_pres,vdem_v2xeg_eqaccess,vdem_v2x_diagacc,vdem_v2clrgunev,splag_vdem_v2x_libdem,splag_vdem_v2xcl_dmove,splag_vdem_v2x_accountability,splag_vdem_v2xpe_exlsocgr,splag_vdem_v2xcl_rol,decay_ged_sb_5,decay_ged_os_5,decay_ged_sb_100,decay_ged_sb_500,decay_ged_os_100,decay_ged_ns_5,decay_ged_ns_100,decay_acled_sb_5,decay_acled_os_5,decay_acled_ns_5,agr_withdrawal_pct_t48,dam_cap_pcap_t48,groundwater_export_t48,fresh_withdrawal_pct_t48,ind_efficiency_t48,irr_agr_efficiency_t48,services_efficiency_t48,general_efficiency_t48,water_stress_t48,renewable_internal_pcap_t48,renewable_pcap_t48,splag_1_decay_ged_sb_5,splag_1_decay_ged_os_5,splag_1_decay_ged_ns_5
97,121,133,700,0,5174.0,10673168.0,27.0,0.0,239.0,271.0,36.0,578.0,0.0,12084.4,13.9902236453337,2.43125786929857,16.134336001725,3398240673.39082,244621500500.0,359.766342668484,45.158,0.528739988803864,0.499659985303879,26.766,44.9,53.2,16.8660511649667,5643989.0,2683.0,0.478024987632141,124.9,180.7,46.47116157237,51.1524320571168,2.37640637051316,2.75187729340688,21.088,0.0,0.0,0.0,0.0,0.036,0.116,0.05,0.048,0.076,0.026,-1.008,0.083,0.1,0.174,0.75,0.142,0.422,0.498,0.069,0.161,0.216,0.28,-0.872,0.81,0.55,0.24,-0.378,0.179,0.786,0.089,0.234,0.048,0.099,0.086,0.435,0.02,0.108,0.201,0.703,0.056,0.007,0.128,0.789,0.516,0.829,0.798,0.593,0.914,0.876,0.182,0.052,0.811,0.367,-1.178,-1.118,0.0,0.0,0.0,0.0,0.0,1.0,0.03125,0.9438743126816935,0.865536561006143,0.03125,0.8908987181403393,0.8908987181403393,0.03125,0.03125,0.03125,39.5683453237,171.1800748779,0.0,38.0022067452,188.4871871037,0.0667722318,11.3352635288,0.2981370165,67.0271103312,4017.491553256,5566.5476813194,0.125,1.697096941237814,2.0625
264,122,133,700,54,5228.0,10673168.0,0.0,27.0,0.0,239.0,271.0,36.0,0.0,12084.4,13.9902236453337,2.43125786929857,16.134336001725,3398240673.39082,244621500500.0,359.766342668484,45.158,0.528739988803864,0.499659985303879,26.766,44.9,53.2,16.8660511649667,5643989.0,2683.0,0.478024987632141,124.9,180.7,46.47116157237,51.1524320571168,2.37640637051316,2.75187729340688,21.088,0.0,0.0,0.0,0.0,0.036,0.116,0.05,0.048,0.076,0.026,-1.008,0.083,0.1,0.174,0.75,0.142,0.422,0.498,0.069,0.161,0.216,0.28,-0.872,0.81,0.55,0.24,-0.378,0.179,0.786,0.089,0.234,0.048,0.099,0.086,0.435,0.02,0.108,0.201,0.703,0.056,0.007,0.128,0.789,0.516,0.829,0.798,0.593,0.914,0.876,0.182,0.052,0.811,0.367,-1.178,-1.118,0.0,0.0,0.0,0.0,0.0,0.9715319411536059,0.03036037316105018,0.9170040432046712,0.8408964152537145,0.03036037316105018,0.865536561006143,0.865536561006143,0.03036037316105018,0.03036037316105018,0.03036037316105018,39.5683453237,171.1800748779,0.0,38.0022067452,188.4871871037,0.0667722318,11.3352635288,0.2981370165,67.0271103312,4017.491553256,5566.5476813194,1.0910811194831507,1.6487838856466206,2.0607207463221004
431,123,133,700,149,5377.0,10673168.0,54.0,0.0,27.0,0.0,239.0,271.0,0.0,12084.4,13.9902236453337,2.43125786929857,16.134336001725,3398240673.39082,244621500500.0,359.766342668484,45.158,0.528739988803864,0.499659985303879,26.766,44.9,53.2,16.8660511649667,5643989.0,2683.0,0.478024987632141,124.9,180.7,46.47116157237,51.1524320571168,2.37640637051316,2.75187729340688,21.088,0.0,0.0,0.0,0.0,0.036,0.116,0.05,0.048,0.076,0.026,-1.008,0.083,0.1,0.174,0.75,0.142,0.422,0.498,0.069,0.161,0.216,0.28,-0.872,0.81,0.55,0.24,-0.378,0.179,0.786,0.089,0.234,0.048,0.099,0.086,0.435,0.02,0.108,0.201,0.703,0.056,0.007,0.128,0.789,0.516,0.829,0.798,0.593,0.914,0.876,0.182,0.052,0.811,0.367,-1.178,-1.118,0.0,0.0,0.0,0.0,0.0,1.0,0.029496072271302926,0.8908987181403393,0.8169577266205499,0.029496072271302926,0.8408964152537145,0.8408964152537145,0.029496072271302926,0.029496072271302926,0.029496072271302926,39.5683453237,171.1800748779,0.0,38.0022067452,188.4871871037,0.0667722318,11.3352635288,0.2981370165,67.0271103312,4017.491553256,5566.5476813194,2.030524085696212,1.6018462089650463,2.030524085696212
600,124,133,700,39,5416.0,10673168.0,149.0,54.0,0.0,27.0,0.0,239.0,0.0,12084.4,13.9902236453337,2.43125786929857,16.134336001725,3398240673.39082,244621500500.0,359.766342668484,45.158,0.528739988803864,0.499659985303879,26.766,44.9,53.2,16.8660511649667,5643989.0,2683.0,0.478024987632141,124.9,180.7,46.47116157237,51.1524320571168,2.37640637051316,2.75187729340688,21.088,0.0,0.0,0.0,0.0,0.036,0.116,0.05,0.048,0.076,0.026,-1.008,0.083,0.1,0.174,0.75,0.142,0.422,0.498,0.069,0.161,0.216,0.28,-0.872,0.81,0.55,0.24,-0.378,0.179,0.786,0.089,0.234,0.048,0.099,0.086,0.435,0.02,0.108,0.201,0.703,0.056,0.007,0.128,0.789,0.516,0.829,0.798,0.593,0.914,0.876,0.182,0.052,0.811,0.367,-1.178,-1.118,0.0,0.0,0.0,0.0,0.0,1.0,0.028656376350145975,1.0,0.7937005259840997,0.028656376350145975,0.8169577266205499,0.8169577266205499,0.028656376350145975,0.028656376350145975,0.028656376350145975,39.5683453237,171.1800748779,0.0,38.0022067452,188.4871871037,0.0667722318,11.3352635288,0.2981370165,67.0271103312,4017.491553256,5566.5476813194,1.9727190065355913,1.5562447568253561,2.057312752700292
768,125,133,700,8,5424.0,10673168.0,39.0,149.0,54.0,0.0,27.0,0.0,0.0,12084.4,13.9902236453337,2.43125786929857,16.134336001725,3398240673.39082,244621500500.0,359.766342668484,45.158,0.528739988803864,0.499659985303879,26.766,44.9,53.2,16.8660511649667,5643989.0,2683.0,0.478024987632141,124.9,180.7,46.47116157237,51.1524320571168,2.37640637051316,2.75187729340688,21.088,0.0,0.0,0.0,0.0,0.036,0.116,0.05,0.048,0.076,0.026,-1.008,0.083,0.1,0.174,0.75,0.142,0.422,0.498,0.069,0.161,0.216,0.28,-0.872,0.81,0.55,0.24,-0.378,0.179,0.786,0.089,0.234,0.048,0.099,0.086,0.435,0.02,0.108,0.201,0.703,0.056,0.007,0.128,0.789,0.516,0.829,0.798,0.593,0.914,0.876,0.182,0.052,0.811,0.367,-1.178,-1.118,0.0,0.0,0.0,0.0,0.0,1.0,0.027840584941885595,0.9715319411536059,0.7711054127039704,0.027840584941885595,0.7937005259840997,0.7937005259840997,0.027840584941885595,0.027840584941885595,0.027840584941885595,39.5683453237,171.1800748779,0.0,38.0022067452,188.4871871037,0.0667722318,11.3352635288,0.2981370165,67.0271103312,4017.491553256,5566.5476813194,2.8887189408282503,1.5119414895086596,2.0272131110373772
937,126,133,700,0,5424.0,10673168.0,8.0,39.0,149.0,54.0,0.0,27.0,0.0,12084.4,13.9902236453337,2.43125786929857,16.134336001725,3398240673.39082,244621500500.0,359.766342668484,45.158,0.528739988803864,0.499659985303879,26.766,44.9,53.2,16.8660511649667,5643989.0,2683.0,0.478024987632141,124.9,180.7,46.47116157237,51.1524320571168,2.37640637051316,2.75187729340688,21.088,0.0,0.0,0.0,0.0,0.036,0.116,0.05,0.048,0.076,0.026,-1.008,0.083,0.1,0.174,0.75,0.142,0.422,0.498,0.069,0.161,0.216,0.28,-0.872,0.81,0.55,0.24,-0.378,0.179,0.786,0.089,0.234,0.048,0.099,0.086,0.435,0.02,0.108,0.201,0.703,0.056,0.007,0.128,0.789,0.516,0.829,0.798,0.593,0.914,0.876,0.182,0.052,0.811,0.367,-1.178,-1.118,0.0,0.0,0.0,0.0,0.0,1.0,0.027048017531441974,0.9438743126816935,0.7491535384383408,0.027048017531441974,0.7711054127039704,0.7711054127039704,0.027048017531441974,0.027048017531441974,0.027048017531441974,39.5683453237,171.1800748779,0.0,38.0022067452,188.4871871037,0.0667722318,11.3352635288,0.2981370165,67.0271103312,4017.491553256,5566.5476813194,2.806482720030058,1.4688994502130224,1.9979703477445776
1104,127,133,700,545,5969.0,10673168.0,0.0,8.0,39.0,149.0,54.0,0.0,0.0,12084.4,13.9902236453337,2.43125786929857,16.134336001725,3398240673.39082,244621500500.0,359.766342668484,45.158,0.528739988803864,0.499659985303879,26.766,44.9,53.2,16.8660511649667,5643989.0,2683.0,0.478024987632141,124.9,180.7,46.47116157237,51.1524320571168,2.37640637051316,2.75187729340688,21.088,0.0,0.0,0.0,0.0,0.036,0.116,0.05,0.048,0.076,0.026,-1.008,0.083,0.1,0.174,0.75,0.142,0.422,0.498,0.069,0.161,0.216,0.28,-0.872,0.81,0.55,0.24,-0.378,0.179,0.786,0.089,0.234,0.048,0.099,0.086,0.435,0.02,0.108,0.201,0.703,0.056,0.007,0.128,0.789,0.516,0.829,0.798,0.593,0.914,0.876,0.182,0.052,0.811,0.367,-1.178,-1.118,0.0,0.0,0.0,0.0,0.0,0.9715319411536059,0.026278012976678578,0.9170040432046712,0.7278265914210937,0.026278012976678578,0.7491535384383408,0.7491535384383408,0.026278012976678578,0.026278012976678578,0.026278012976678578,39.5683453237,171.1800748779,0.0,38.0022067452,188.4871871037,0.0667722318,11.3352635288,0.2981370165,67.0271103312,4017.491553256,5566.5476813194,3.7003095918281756,1.427082734224922,2.0525560259533573
1271,128,133,700,0,5969.0,10673168.0,545.0,0.0,8.0,39.0,149.0,54.0,0.0,12084.4,13.9902236453337,2.43125786929857,16.134336001725,3398240673.39082,244621500500.0,359.766342668484,45.158,0.528739988803864,0.499659985303879,26.766,44.9,53.2,16.8660511649667,5643989.0,2683.0,0.478024987632141,124.9,180.7,46.47116157237,51.1524320571168,2.37640637051316,2.75187729340688,21.088,0.0,0.0,0.0,0.0,0.036,0.116,0.05,0.048,0.076,0.026,-1.008,0.083,0.1,0.174,0.75,0.142,0.422,0.498,0.069,0.161,0.216,0.28,-0.872,0.81,0.55,0.24,-0.378,0.179,0.786,0.089,0.234,0.048,0.099,0.086,0.435,0.02,0.108,0.201,0.703,0.056,0.007,0.128,0.789,0.516,0.829,0.798,0.593,0.914,0.876,0.182,0.052,0.811,0.367,-1.178,-1.118,0.0,0.0,0.0,0.0,0.0,1.0,0.02552992895689218,1.0,1.0,0.02552992895689218,0.7278265914210937,0.7278265914210937,0.02552992895689218,0.02552992895689218,0.02552992895689218,39.5683453237,171.1800748779,0.0,38.0022067452,188.4871871037,0.0667722318,11.3352635288,0.2981370165,67.0271103312,4017.491553256,5566.5476813194,3.6234370194645287,1.3864564589683337,2.0225917990673903
1438,129,133,700,0,5969.0,10673168.0,0.0,545.0,0.0,8.0,39.0,149.0,0.0,12084.4,13.9902236453337,2.43125786929857,16.134336001725,3398240673.39082,244621500500.0,359.766342668484,45.158,0.528739988803864,0.499659985303879,26.766,44.9,53.2,16.8660511649667,5643989.0,2683.0,0.478024987632141,124.9,180.7,46.47116157237,51.1524320571168,2.37640637051316,2.75187729340688,21.088,0.0,0.0,0.0,0.0,0.036,0.116,0.05,0.048,0.076,0.026,-1.008,0.083,0.1,0.174,0.75,0.142,0.422,0.498,0.069,0.161,0.216,0.28,-0.872,0.81,0.55,0.24,-0.378,0.179,0.786,0.089,0.234,0.048,0.099,0.086,0.435,0.02,0.108,0.201,0.703,0.056,0.007,0.128,0.789,0.516,0.829,0.798,0.593,0.914,0.876,0.182,0.052,0.811,0.367,-1.178,-1.118,0.0,0.0,0.0,0.0,0.0,0.9715319411536059,0.024803141437003122,0.9715319411536059,0.9715319411536059,0.024803141437003122,0.7071067811865476,0.7071067811865476,0.024803141437003122,0.024803141437003122,0.024803141437003122,39.5683453237,171.1800748779,0.0,38.0022067452,188.4871871037,0.0667722318,11.3352635288,0.2981370165,67.0271103312,4017.491553256,5566.5476813194,3.7033270745476594,1.34698673490646,1.9650125367093056
1605,130,133,700,631,6600.0,10673168.0,0.0,0.0,545.0,0.0,8.0,39.0,0.0,12084.4,13.9902236453337,2.43125786929857,16.134336001725,3398240673.39082,244621500500.0,359.766342668484,45.158,0.528739988803864,0.499659985303879,26.766,44.9,53.2,16.8660511649667,5643989.0,2683.0,0.478024987632141,124.9,180.7,46.47116157237,51.1524320571168,2.37640637051316,2.75187729340688,21.088,0.0,0.0,0.0,0.0,0.036,0.116,0.05,0.048,0.076,0.026,-1.008,0.083,0.1,0.174,0.75,0.142,0.422,0.498,0.069,0.161,0.216,0.28,-0.872,0.81,0.55,0.24,-0.378,0.179,0.786,0.089,0.234,0.048,0.099,0.086,0.435,0.02,0.108,0.201,0.703,0.056,0.007,0.128,0.789,0.516,0.829,0.798,0.593,0.914,0.876,0.182,0.052,0.811,0.367,-1.178,-1.118,0.0,0.0,0.0,0.0,0.0,0.9438743126816935,0.024097044146999074,0.9438743126816935,0.9438743126816935,0.024097044146999074,1.0,0.6869768237290446,0.024097044146999074,0.024097044146999074,0.024097044146999074,39.5683453237,171.1800748779,0.0,38.0022067452,188.4871871037,0.0667722318,11.3352635288,0.2981370165,67.0271103312,4017.491553256,5566.5476813194,3.6263686003083864,1.3086406372718304,1.9090724441803628
