,month_id,country_id,gleditsch_ward,ged_sb,ged_sb_tsum_24,wdi_sp_pop_totl,ged_sb_tlag_1,ged_sb_tlag_2,ged_sb_tlag_3,ged_sb_tlag_4,ged_sb_tlag_5,ged_sb_tlag_6,ged_os_tlag_1,wdi_ag_lnd_frst_k2,wdi_dt_oda_odat_pc_zs,wdi_ms_mil_xpnd_gd_zs,wdi_ms_mil_xpnd_zs,wdi_nv_agr_totl_kd,wdi_nv_agr_totl_kn,wdi_ny_gdp_pcap_kd,wdi_sp_dyn_le00_in,wdi_se_enr_prim_fm_zs,wdi_se_enr_prsc_fm_zs,wdi_se_prm_nenr,wdi_sh_sta_maln_zs,wdi_sh_sta_stnt_zs,wdi_sl_tlf_totl_fe_zs,wdi_sm_pop_refg_or,wdi_sm_pop_netm,wdi_sm_pop_totl_zs,wdi_sp_dyn_imrt_in,wdi_sh_dyn_mort_fe,wdi_sp_pop_0014_fe_zs,wdi_sp_pop_1564_fe_zs,wdi_sp_pop_65up_fe_zs,wdi_sp_pop_grow,wdi_sp_urb_totl_in_zs,splag_wdi_sl_tlf_totl_fe_zs,splag_wdi_sm_pop_refg_or,splag_wdi_sm_pop_netm,splag_wdi_ag_lnd_frst_k2,vdem_v2x_delibdem,vdem_v2x_egaldem,vdem_v2x_libdem,vdem_v2x_libdem_48,vdem_v2x_partip,vdem_v2x_partipdem,vdem_v2x_accountability,vdem_v2x_civlib,vdem_v2x_clphy,vdem_v2x_cspart,vdem_v2x_divparctrl,vdem_v2x_edcomp_thick,vdem_v2x_egal,vdem_v2x_execorr,vdem_v2x_frassoc_thick,vdem_v2x_gencs,vdem_v2x_gender,vdem_v2x_genpp,vdem_v2x_horacc,vdem_v2x_neopat,vdem_v2x_pubcorr,vdem_v2x_rule,vdem_v2x_veracc,vdem_v2x_ex_military,vdem_v2x_ex_party,vdem_v2x_freexp,vdem_v2xcl_acjst,vdem_v2xcl_dmove,vdem_v2xcl_prpty,vdem_v2xcl_rol,vdem_v2xcl_slave,vdem_v2xdd_dd,vdem_v2xdl_delib,vdem_v2xeg_eqdr,vdem_v2xeg_eqprotec,vdem_v2xel_frefair,vdem_v2xel_regelec,vdem_v2xme_altinf,vdem_v2xnp_client,vdem_v2xnp_regcorr,vdem_v2xpe_exlecon,vdem_v2xpe_exlpol,vdem_v2xpe_exlgeo,vdem_v2xpe_exlgender,vdem_v2xpe_exlsocgr,vdem_v2xps_party,vdem_v2xcs_ccsi,vdem_v2xnp_pres,vdem_v2xeg_eqaccess,vdem_v2x_diagacc,vdem_v2clrgunev,splag_vdem_v2x_libdem,splag_vdem_v2xcl_dmove,splag_vdem_v2x_accountability,splag_vdem_v2xpe_exlsocgr,splag_vdem_v2xcl_rol,decay_ged_sb_5,decay_ged_os_5,decay_ged_sb_100,decay_ged_sb_500,decay_ged_os_100,decay_ged_ns_5,decay_ged_ns_100,decay_acled_sb_5,decay_acled_os_5,decay_acled_ns_5,agr_withdrawal_pct_t48,dam_cap_pcap_t48,groundwater_export_t48,fresh_withdrawal_pct_t48,ind_efficiency_t48,irr_agr_efficiency_t48,services_efficiency_t48,general_efficiency_t48,water_stress_t48,renewable_internal_pcap_t48,renewable_pcap_t48,splag_1_decay_ged_sb_5,splag_1_decay_ged_os_5,splag_1_decay_ged_ns_5
26,121,28,100,63,301.0,31923117.0,10.0,63.0,5.0,24.0,13.0,0.0,5.0,649581.4,2.35440679749754,2.18818380743982,8.8778028108572,9615899978.60287,26365652053000.0,3619.21976319093,68.533,1.01522994041443,1.00713002681732,68.86982,8.8,21.8,38.7531172897734,65.0,-27370.0,0.304266834868313,30.1,32.7,35.9051097002101,59.8128132229848,4.28207707680505,2.10958011736201,69.008,177.5123227146429,407.0,-53154.0,7366121.5,0.357,0.146,0.304,0.319,0.475,0.255,0.595,0.511,0.416,0.515,-0.117,0.551,0.189,0.454,0.594,0.551,0.445,0.455,0.742,0.397,0.428,0.52,0.873,0.0,0.0,0.616,0.174,0.489,0.561,0.407,0.391,0.0,0.741,0.252,0.071,0.551,0.343,0.682,0.774,0.481,0.892,0.405,0.745,0.758,0.702,0.436,0.25,0.239,0.179,0.118,-2.03,2.154,4.034,3.803,2.44,3.214,1.0,1.0,0.03125,0.03125,0.9715319411536059,0.03125,0.03125,0.03125,0.03125,0.03125,0.15,245.0746714087,0.0,0.42,109.2207458111,0.2425000955,37.6677894926,17.2073210546,1.1595808383,70161.1429731015,77193.6118491933,2.09375,2.0368138823072117,1.0965319411536059
193,122,28,100,38,339.0,31923117.0,63.0,10.0,63.0,5.0,24.0,13.0,44.0,649581.4,2.35440679749754,2.18818380743982,8.8778028108572,9615899978.60287,26365652053000.0,3619.21976319093,68.533,1.01522994041443,1.00713002681732,68.86982,8.8,21.8,38.7531172897734,65.0,-27370.0,0.304266834868313,30.1,32.7,35.9051097002101,59.8128132229848,4.28207707680505,2.10958011736201,69.008,177.5123227146429,407.0,-53154.0,7366121.5,0.357,0.146,0.304,0.319,0.475,0.255,0.595,0.511,0.416,0.515,-0.117,0.551,0.189,0.454,0.594,0.551,0.445,0.455,0.742,0.397,0.428,0.52,0.873,0.0,0.0,0.616,0.174,0.489,0.561,0.407,0.391,0.0,0.741,0.252,0.071,0.551,0.343,0.682,0.774,0.481,0.892,0.405,0.745,0.758,0.702,0.436,0.25,0.239,0.179,0.118,-2.03,2.154,4.034,3.803,2.44,3.214,1.0,1.0,0.03036037316105018,0.03036037316105018,0.9438743126816935,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.15,245.0746714087,0.0,0.42,109.2207458111,0.2425000955,37.6677894926,17.2073210546,1.1595808383,70161.1429731015,77193.6118491933,2.0626130606367563,2.0910811194831505,1.0653158053258942
360,123,28,100,56,395.0,31923117.0,38.0,63.0,10.0,63.0,5.0,24.0,6.0,649581.4,2.35440679749754,2.18818380743982,8.8778028108572,9615899978.60287,26365652053000.0,3619.21976319093,68.533,1.01522994041443,1.00713002681732,68.86982,8.8,21.8,38.7531172897734,65.0,-27370.0,0.304266834868313,30.1,32.7,35.9051097002101,59.8128132229848,4.28207707680505,2.10958011736201,69.008,177.5123227146429,407.0,-53154.0,7366121.5,0.357,0.146,0.304,0.319,0.475,0.255,0.595,0.511,0.416,0.515,-0.117,0.551,0.189,0.454,0.594,0.551,0.445,0.455,0.742,0.397,0.428,0.52,0.873,0.0,0.0,0.616,0.174,0.489,0.561,0.407,0.391,0.0,0.741,0.252,0.071,0.551,0.343,0.682,0.774,0.481,0.892,0.405,0.745,0.758,0.702,0.436,0.25,0.239,0.179,0.118,-2.03,2.154,4.034,3.803,2.44,3.214,1.0,1.0,0.029496072271302926,0.029496072271302926,0.9170040432046712,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.15,245.0746714087,0.0,0.42,109.2207458111,0.2425000955,37.6677894926,17.2073210546,1.1595808383,70161.1429731015,77193.6118491933,2.032362529495602,2.060020157967515,1.034988332289883
529,124,28,100,72,467.0,31923117.0,56.0,38.0,63.0,10.0,63.0,5.0,16.0,649581.4,2.35440679749754,2.18818380743982,8.8778028108572,9615899978.60287,26365652053000.0,3619.21976319093,68.533,1.01522994041443,1.00713002681732,68.86982,8.8,21.8,38.7531172897734,65.0,-27370.0,0.304266834868313,30.1,32.7,35.9051097002101,59.8128132229848,4.28207707680505,2.10958011736201,69.008,177.5123227146429,407.0,-53154.0,7366121.5,0.357,0.146,0.304,0.319,0.475,0.255,0.595,0.511,0.416,0.515,-0.117,0.551,0.189,0.454,0.594,0.551,0.445,0.455,0.742,0.397,0.428,0.52,0.873,0.0,0.0,0.616,0.174,0.489,0.561,0.407,0.391,0.0,0.741,0.252,0.071,0.551,0.343,0.682,0.774,0.481,0.892,0.405,0.745,0.758,0.702,0.436,0.25,0.239,0.179,0.118,-2.03,2.154,4.034,3.803,2.44,3.214,1.0,1.0,0.028656376350145975,0.028656376350145975,0.8908987181403393,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.15,245.0746714087,0.0,0.42,109.2207458111,0.2425000955,37.6677894926,17.2073210546,1.1595808383,70161.1429731015,77193.6118491933,2.002973172255109,2.085969129050438,1.0055242235409232
697,125,28,100,57,524.0,31923117.0,72.0,56.0,38.0,63.0,10.0,63.0,64.0,649581.4,2.35440679749754,2.18818380743982,8.8778028108572,9615899978.60287,26365652053000.0,3619.21976319093,68.533,1.01522994041443,1.00713002681732,68.86982,8.8,21.8,38.7531172897734,65.0,-27370.0,0.304266834868313,30.1,32.7,35.9051097002101,59.8128132229848,4.28207707680505,2.10958011736201,69.008,177.5123227146429,407.0,-53154.0,7366121.5,0.357,0.146,0.304,0.319,0.475,0.255,0.595,0.511,0.416,0.515,-0.117,0.551,0.189,0.454,0.594,0.551,0.445,0.455,0.742,0.397,0.428,0.52,0.873,0.0,0.0,0.616,0.174,0.489,0.561,0.407,0.391,0.0,0.741,0.252,0.071,0.551,0.343,0.682,0.774,0.481,0.892,0.405,0.745,0.758,0.702,0.436,0.25,0.239,0.179,0.118,-2.03,2.154,4.034,3.803,2.44,3.214,1.0,1.0,0.027840584941885595,0.027840584941885595,0.865536561006143,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.15,245.0746714087,0.0,0.42,109.2207458111,0.2425000955,37.6677894926,17.2073210546,1.1595808383,70161.1429731015,77193.6118491933,1.974420472965996,2.0550536959792627,0.9768989007736854
866,126,28,100,1,525.0,31923117.0,57.0,72.0,56.0,38.0,63.0,10.0,25.0,649581.4,2.35440679749754,2.18818380743982,8.8778028108572,9615899978.60287,26365652053000.0,3619.21976319093,68.533,1.01522994041443,1.00713002681732,68.86982,8.8,21.8,38.7531172897734,65.0,-27370.0,0.304266834868313,30.1,32.7,35.9051097002101,59.8128132229848,4.28207707680505,2.10958011736201,69.008,177.5123227146429,407.0,-53154.0,7366121.5,0.357,0.146,0.304,0.319,0.475,0.255,0.595,0.511,0.416,0.515,-0.117,0.551,0.189,0.454,0.594,0.551,0.445,0.455,0.742,0.397,0.428,0.52,0.873,0.0,0.0,0.616,0.174,0.489,0.561,0.407,0.391,0.0,0.741,0.252,0.071,0.551,0.343,0.682,0.774,0.481,0.892,0.405,0.745,0.758,0.702,0.436,0.25,0.239,0.179,0.118,-2.03,2.154,4.034,3.803,2.44,3.214,1.0,1.0,0.027048017531441974,0.027048017531441974,0.8408964152537145,1.0,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.15,245.0746714087,0.0,0.42,109.2207458111,0.2425000955,37.6677894926,17.2073210546,1.1595808383,70161.1429731015,77193.6118491933,1.9466806136004688,1.9965503064296253,0.9490884853794823
1033,127,28,100,25,550.0,31923117.0,1.0,57.0,72.0,56.0,38.0,63.0,0.0,649581.4,2.35440679749754,2.18818380743982,8.8778028108572,9615899978.60287,26365652053000.0,3619.21976319093,68.533,1.01522994041443,1.00713002681732,68.86982,8.8,21.8,38.7531172897734,65.0,-27370.0,0.304266834868313,30.1,32.7,35.9051097002101,59.8128132229848,4.28207707680505,2.10958011736201,69.008,177.5123227146429,407.0,-53154.0,7366121.5,0.357,0.146,0.304,0.319,0.475,0.255,0.595,0.511,0.416,0.515,-0.117,0.551,0.189,0.454,0.594,0.551,0.445,0.455,0.742,0.397,0.428,0.52,0.873,0.0,0.0,0.616,0.174,0.489,0.561,0.407,0.391,0.0,0.741,0.252,0.071,0.551,0.343,0.682,0.774,0.481,0.892,0.405,0.745,0.758,0.702,0.436,0.25,0.239,0.179,0.118,-2.03,2.154,4.034,3.803,2.44,3.214,0.9715319411536059,0.9715319411536059,0.026278012976678578,0.026278012976678578,0.8169577266205499,0.9715319411536059,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.15,245.0746714087,0.0,0.42,109.2207458111,0.2425000955,37.6677894926,17.2073210546,1.1595808383,70161.1429731015,77193.6118491933,1.91973045418375,2.0227083516117292,0.9220697785272641
1200,128,28,100,0,550.0,31923117.0,25.0,1.0,57.0,72.0,56.0,38.0,0.0,649581.4,2.35440679749754,2.18818380743982,8.8778028108572,9615899978.60287,26365652053000.0,3619.21976319093,68.533,1.01522994041443,1.00713002681732,68.86982,8.8,21.8,38.7531172897734,65.0,-27370.0,0.304266834868313,30.1,32.7,35.9051097002101,59.8128132229848,4.28207707680505,2.10958011736201,69.008,177.5123227146429,407.0,-53154.0,7366121.5,0.357,0.146,0.304,0.319,0.475,0.255,0.595,0.511,0.416,0.515,-0.117,0.551,0.189,0.454,0.594,0.551,0.445,0.455,0.742,0.397,0.428,0.52,0.873,0.0,0.0,0.616,0.174,0.489,0.561,0.407,0.391,0.0,0.741,0.252,0.071,0.551,0.343,0.682,0.774,0.481,0.892,0.405,0.745,0.758,0.702,0.436,0.25,0.239,0.179,0.118,-2.03,2.154,4.034,3.803,2.44,3.214,1.0,0.9438743126816935,0.02552992895689218,0.02552992895689218,0.7937005259840997,0.9438743126816935,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.15,245.0746714087,0.0,0.42,109.2207458111,0.2425000955,37.6677894926,17.2073210546,1.1595808383,70161.1429731015,77193.6118491933,1.8935475134912265,2.0765897868706764,0.8958202418116684
1367,129,28,100,15,565.0,31923117.0,0.0,25.0,1.0,57.0,72.0,56.0,0.0,649581.4,2.35440679749754,2.18818380743982,8.8778028108572,9615899978.60287,26365652053000.0,3619.21976319093,68.533,1.01522994041443,1.00713002681732,68.86982,8.8,21.8,38.7531172897734,65.0,-27370.0,0.304266834868313,30.1,32.7,35.9051097002101,59.8128132229848,4.28207707680505,2.10958011736201,69.008,177.5123227146429,407.0,-53154.0,7366121.5,0.357,0.146,0.304,0.319,0.475,0.255,0.595,0.511,0.416,0.515,-0.117,0.551,0.189,0.454,0.594,0.551,0.445,0.455,0.742,0.397,0.428,0.52,0.873,0.0,0.0,0.616,0.174,0.489,0.561,0.407,0.391,0.0,0.741,0.252,0.071,0.551,0.343,0.682,0.774,0.481,0.892,0.405,0.745,0.758,0.702,0.436,0.25,0.239,0.179,0.118,-2.03,2.154,4.034,3.803,2.44,3.214,0.9715319411536059,0.9170040432046712,0.024803141437003122,0.024803141437003122,0.7711054127039704,0.9170040432046712,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.15,245.0746714087,0.0,0.42,109.2207458111,0.2425000955,37.6677894926,17.2073210546,1.1595808383,70161.1429731015,77193.6118491933,1.868109950295109,2.017473306618221,0.8703179784519829
1534,130,28,100,10,575.0,31923117.0,15.0,0.0,25.0,1.0,57.0,72.0,9.0,649581.4,2.35440679749754,2.18818380743982,8.8778028108572,9615899978.60287,26365652053000.0,3619.21976319093,68.533,1.01522994041443,1.00713002681732,68.86982,8.8,21.8,38.7531172897734,65.0,-27370.0,0.304266834868313,30.1,32.7,35.9051097002101,59.8128132229848,4.28207707680505,2.10958011736201,69.008,177.5123227146429,407.0,-53154.0,7366121.5,0.357,0.146,0.304,0.319,0.475,0.255,0.595,0.511,0.416,0.515,-0.117,0.551,0.189,0.454,0.594,0.551,0.445,0.455,0.742,0.397,0.428,0.52,0.873,0.0,0.0,0.616,0.174,0.489,0.561,0.407,0.391,0.0,0.741,0.252,0.071,0.551,0.343,0.682,0.774,0.481,0.892,0.405,0.745,0.758,0.702,0.436,0.25,0.239,0.179,0.118,-2.03,2.154,4.034,3.803,2.44,3.214,1.0,1.0,0.024097044146999074,0.024097044146999074,0.7491535384383408,1.0,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.15,245.0746714087,0.0,0.42,109.2207458111,0.2425000955,37.6677894926,17.2073210546,1.1595808383,70161.1429731015,77193.6118491933,1.8433965451449676,2.0161654451226907,0.845541715026337
1702,131,28,100,53,628.0,31923117.0,10.0,15.0,0.0,25.0,1.0,57.0,0.0,649581.4,2.35440679749754,2.18818380743982,8.8778028108572,9615899978.60287,26365652053000.0,3619.21976319093,68.533,1.01522994041443,1.00713002681732,68.86982,8.8,21.8,38.7531172897734,65.0,-27370.0,0.304266834868313,30.1,32.7,35.9051097002101,59.8128132229848,4.28207707680505,2.10958011736201,69.008,177.5123227146429,407.0,-53154.0,7366121.5,0.357,0.146,0.304,0.319,0.475,0.255,0.595,0.511,0.416,0.515,-0.117,0.551,0.189,0.454,0.594,0.551,0.445,0.455,0.742,0.397,0.428,0.52,0.873,0.0,0.0,0.616,0.174,0.489,0.561,0.407,0.391,0.0,0.741,0.252,0.071,0.551,0.343,0.682,0.774,0.481,0.892,0.405,0.745,0.758,0.702,0.436,0.25,0.239,0.179,0.118,-2.03,2.154,4.034,3.803,2.44,3.214,1.0,0.9715319411536059,0.023411048076198145,0.023411048076198145,0.7278265914210937,1.0,0.023411048076198145,0.023411048076198145,0.023411048076198145,0.023411048076198145,0.15,245.0746714087,0.0,0.42,109.2207458111,0.2425000955,37.6677894926,17.2073210546,1.1595808383,70161.1429731015,77193.6118491933,1.8193866826669352,1.9872371874332655,1.0936441923047926
