,month_id,country_id,gleditsch_ward,ged_sb,ged_sb_tsum_24,wdi_sp_pop_totl,ged_sb_tlag_1,ged_sb_tlag_2,ged_sb_tlag_3,ged_sb_tlag_4,ged_sb_tlag_5,ged_sb_tlag_6,ged_os_tlag_1,wdi_ag_lnd_frst_k2,wdi_dt_oda_odat_pc_zs,wdi_ms_mil_xpnd_gd_zs,wdi_ms_mil_xpnd_zs,wdi_nv_agr_totl_kd,wdi_nv_agr_totl_kn,wdi_ny_gdp_pcap_kd,wdi_sp_dyn_le00_in,wdi_se_enr_prim_fm_zs,wdi_se_enr_prsc_fm_zs,wdi_se_prm_nenr,wdi_sh_sta_maln_zs,wdi_sh_sta_stnt_zs,wdi_sl_tlf_totl_fe_zs,wdi_sm_pop_refg_or,wdi_sm_pop_netm,wdi_sm_pop_totl_zs,wdi_sp_dyn_imrt_in,wdi_sh_dyn_mort_fe,wdi_sp_pop_0014_fe_zs,wdi_sp_pop_1564_fe_zs,wdi_sp_pop_65up_fe_zs,wdi_sp_pop_grow,wdi_sp_urb_totl_in_zs,splag_wdi_sl_tlf_totl_fe_zs,splag_wdi_sm_pop_refg_or,splag_wdi_sm_pop_netm,splag_wdi_ag_lnd_frst_k2,vdem_v2x_delibdem,vdem_v2x_egaldem,vdem_v2x_libdem,vdem_v2x_libdem_48,vdem_v2x_partip,vdem_v2x_partipdem,vdem_v2x_accountability,vdem_v2x_civlib,vdem_v2x_clphy,vdem_v2x_cspart,vdem_v2x_divparctrl,vdem_v2x_edcomp_thick,vdem_v2x_egal,vdem_v2x_execorr,vdem_v2x_frassoc_thick,vdem_v2x_gencs,vdem_v2x_gender,vdem_v2x_genpp,vdem_v2x_horacc,vdem_v2x_neopat,vdem_v2x_pubcorr,vdem_v2x_rule,vdem_v2x_veracc,vdem_v2x_ex_military,vdem_v2x_ex_party,vdem_v2x_freexp,vdem_v2xcl_acjst,vdem_v2xcl_dmove,vdem_v2xcl_prpty,vdem_v2xcl_rol,vdem_v2xcl_slave,vdem_v2xdd_dd,vdem_v2xdl_delib,vdem_v2xeg_eqdr,vdem_v2xeg_eqprotec,vdem_v2xel_frefair,vdem_v2xel_regelec,vdem_v2xme_altinf,vdem_v2xnp_client,vdem_v2xnp_regcorr,vdem_v2xpe_exlecon,vdem_v2xpe_exlpol,vdem_v2xpe_exlgeo,vdem_v2xpe_exlgender,vdem_v2xpe_exlsocgr,vdem_v2xps_party,vdem_v2xcs_ccsi,vdem_v2xnp_pres,vdem_v2xeg_eqaccess,vdem_v2x_diagacc,vdem_v2clrgunev,splag_vdem_v2x_libdem,splag_vdem_v2xcl_dmove,splag_vdem_v2x_accountability,splag_vdem_v2xpe_exlsocgr,splag_vdem_v2xcl_rol,decay_ged_sb_5,decay_ged_os_5,decay_ged_sb_100,decay_ged_sb_500,decay_ged_os_100,decay_ged_ns_5,decay_ged_ns_100,decay_acled_sb_5,decay_acled_os_5,decay_acled_ns_5,agr_withdrawal_pct_t48,dam_cap_pcap_t48,groundwater_export_t48,fresh_withdrawal_pct_t48,ind_efficiency_t48,irr_agr_efficiency_t48,services_efficiency_t48,general_efficiency_t48,water_stress_t48,renewable_internal_pcap_t48,renewable_pcap_t48,splag_1_decay_ged_sb_5,splag_1_decay_ged_os_5,splag_1_decay_ged_ns_5
126,121,167,490,0,0.0,34825891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506290.0,20.9645744699414,5.22608568530078,16.0573476702509,4525553217.84602,1156463278900.0,903.692779117922,48.17,0.738529980182648,0.679139971733093,64.55159,30.7,51.0,50.5144250065441,100786.0,78215.0,2.15714037449536,120.8,180.7,44.0316280531236,52.7749850966085,3.1933868502679,3.13791463486827,30.202,403.035298949398,1381416.0,-393870.0,2644790.5,0.042,0.071,0.035,0.034,0.417,0.128,-1.097,0.131,0.073,0.152,-0.626,0.264,0.21,0.946,0.048,0.128,0.316,0.62,-1.264,0.969,0.918,0.029,-0.456,0.167,0.0,0.166,0.124,0.287,0.148,0.093,0.501,0.323,0.107,0.124,0.099,0.044,0.028,0.049,0.893,0.913,0.928,0.864,0.907,0.709,0.816,0.222,0.162,0.96,0.33,-0.964,0.508,1.0499999999999998,4.279,-4.452,6.413,3.3609999999999998,0.03125,0.7491535384383408,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.0064692128,1.722990018,0.0,0.0371083398,129.8403478868,0.7344869166,56.643124342,18.2098283238,0.1580152672,29331.3727809228,41813.5014199155,3.1875,4.044785984358278,1.1670040432046713
293,122,167,490,0,0.0,34825891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506290.0,20.9645744699414,5.22608568530078,16.0573476702509,4525553217.84602,1156463278900.0,903.692779117922,48.17,0.738529980182648,0.679139971733093,64.55159,30.7,51.0,50.5144250065441,100786.0,78215.0,2.15714037449536,120.8,180.7,44.0316280531236,52.7749850966085,3.1933868502679,3.13791463486827,30.202,403.035298949398,1381416.0,-393870.0,2644790.5,0.042,0.071,0.035,0.034,0.417,0.128,-1.097,0.131,0.073,0.152,-0.626,0.264,0.21,0.946,0.048,0.128,0.316,0.62,-1.264,0.969,0.918,0.029,-0.456,0.167,0.0,0.166,0.124,0.287,0.148,0.093,0.501,0.323,0.107,0.124,0.099,0.044,0.028,0.049,0.893,0.913,0.928,0.864,0.907,0.709,0.816,0.222,0.162,0.96,0.33,-0.964,0.508,1.0499999999999998,4.279,-4.452,6.413,3.3609999999999998,0.03036037316105018,0.7278265914210937,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.0064692128,1.722990018,0.0,0.0371083398,129.8403478868,0.7344869166,56.643124342,18.2098283238,0.1580152672,29331.3727809228,41813.5014199155,3.1536941801199068,3.985764466252802,1.1337817034287407
461,123,167,490,0,0.0,34825891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506290.0,20.9645744699414,5.22608568530078,16.0573476702509,4525553217.84602,1156463278900.0,903.692779117922,48.17,0.738529980182648,0.679139971733093,64.55159,30.7,51.0,50.5144250065441,100786.0,78215.0,2.15714037449536,120.8,180.7,44.0316280531236,52.7749850966085,3.1933868502679,3.13791463486827,30.202,403.035298949398,1381416.0,-393870.0,2644790.5,0.042,0.071,0.035,0.034,0.417,0.128,-1.097,0.131,0.073,0.152,-0.626,0.264,0.21,0.946,0.048,0.128,0.316,0.62,-1.264,0.969,0.918,0.029,-0.456,0.167,0.0,0.166,0.124,0.287,0.148,0.093,0.501,0.323,0.107,0.124,0.099,0.044,0.028,0.049,0.893,0.913,0.928,0.864,0.907,0.709,0.816,0.222,0.162,0.96,0.33,-0.964,0.508,1.0499999999999998,4.279,-4.452,6.413,3.3609999999999998,0.029496072271302926,0.7071067811865476,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.0064692128,1.722990018,0.0,0.0371083398,129.8403478868,0.7344869166,56.643124342,18.2098283238,0.1580152672,29331.3727809228,41813.5014199155,3.1769764336278175,3.9284231761979567,1.1015051391765662
630,124,167,490,0,0.0,34825891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506290.0,20.9645744699414,5.22608568530078,16.0573476702509,4525553217.84602,1156463278900.0,903.692779117922,48.17,0.738529980182648,0.679139971733093,64.55159,30.7,51.0,50.5144250065441,100786.0,78215.0,2.15714037449536,120.8,180.7,44.0316280531236,52.7749850966085,3.1933868502679,3.13791463486827,30.202,403.035298949398,1381416.0,-393870.0,2644790.5,0.042,0.071,0.035,0.034,0.417,0.128,-1.097,0.131,0.073,0.152,-0.626,0.264,0.21,0.946,0.048,0.128,0.316,0.62,-1.264,0.969,0.918,0.029,-0.456,0.167,0.0,0.166,0.124,0.287,0.148,0.093,0.501,0.323,0.107,0.124,0.099,0.044,0.028,0.049,0.893,0.913,0.928,0.864,0.907,0.709,0.816,0.222,0.162,0.96,0.33,-0.964,0.508,1.0499999999999998,4.279,-4.452,6.413,3.3609999999999998,0.028656376350145975,0.6869768237290446,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.0064692128,1.722990018,0.0,0.0371083398,129.8403478868,0.7344869166,56.643124342,18.2098283238,0.1580152672,29331.3727809228,41813.5014199155,3.1719382581008757,3.8995845508397435,1.0701474260548822
798,125,167,490,0,0.0,34825891.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1506290.0,20.9645744699414,5.22608568530078,16.0573476702509,4525553217.84602,1156463278900.0,903.692779117922,48.17,0.738529980182648,0.679139971733093,64.55159,30.7,51.0,50.5144250065441,100786.0,78215.0,2.15714037449536,120.8,180.7,44.0316280531236,52.7749850966085,3.1933868502679,3.13791463486827,30.202,403.035298949398,1381416.0,-393870.0,2644790.5,0.042,0.071,0.035,0.034,0.417,0.128,-1.097,0.131,0.073,0.152,-0.626,0.264,0.21,0.946,0.048,0.128,0.316,0.62,-1.264,0.969,0.918,0.029,-0.456,0.167,0.0,0.166,0.124,0.287,0.148,0.093,0.501,0.323,0.107,0.124,0.099,0.044,0.028,0.049,0.893,0.913,0.928,0.864,0.907,0.709,0.816,0.222,0.162,0.96,0.33,-0.964,0.508,1.0499999999999998,4.279,-4.452,6.413,3.3609999999999998,0.027840584941885595,1.0,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.0064692128,1.722990018,0.0,0.0371083398,129.8403478868,0.7344869166,56.643124342,18.2098283238,0.1580152672,29331.3727809228,41813.5014199155,3.1385754508049195,3.9000349640116716,1.0396824061556347
967,126,167,490,0,0.0,34825891.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,1506290.0,20.9645744699414,5.22608568530078,16.0573476702509,4525553217.84602,1156463278900.0,903.692779117922,48.17,0.738529980182648,0.679139971733093,64.55159,30.7,51.0,50.5144250065441,100786.0,78215.0,2.15714037449536,120.8,180.7,44.0316280531236,52.7749850966085,3.1933868502679,3.13791463486827,30.202,403.035298949398,1381416.0,-393870.0,2644790.5,0.042,0.071,0.035,0.034,0.417,0.128,-1.097,0.131,0.073,0.152,-0.626,0.264,0.21,0.946,0.048,0.128,0.316,0.62,-1.264,0.969,0.918,0.029,-0.456,0.167,0.0,0.166,0.124,0.287,0.148,0.093,0.501,0.323,0.107,0.124,0.099,0.044,0.028,0.049,0.893,0.913,0.928,0.864,0.907,0.709,0.816,0.222,0.162,0.96,0.33,-0.964,0.508,1.0499999999999998,4.279,-4.452,6.413,3.3609999999999998,0.027048017531441974,1.0,0.027048017531441974,0.027048017531441974,1.0,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.0064692128,1.722990018,0.0,0.0371083398,129.8403478868,0.7344869166,56.643124342,18.2098283238,0.1580152672,29331.3727809228,41813.5014199155,3.1622881051886518,3.817476597999587,1.0100846662356355
1134,127,167,490,0,0.0,34825891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506290.0,20.9645744699414,5.22608568530078,16.0573476702509,4525553217.84602,1156463278900.0,903.692779117922,48.17,0.738529980182648,0.679139971733093,64.55159,30.7,51.0,50.5144250065441,100786.0,78215.0,2.15714037449536,120.8,180.7,44.0316280531236,52.7749850966085,3.1933868502679,3.13791463486827,30.202,403.035298949398,1381416.0,-393870.0,2644790.5,0.042,0.071,0.035,0.034,0.417,0.128,-1.097,0.131,0.073,0.152,-0.626,0.264,0.21,0.946,0.048,0.128,0.316,0.62,-1.264,0.969,0.918,0.029,-0.456,0.167,0.0,0.166,0.124,0.287,0.148,0.093,0.501,0.323,0.107,0.124,0.099,0.044,0.028,0.049,0.893,0.913,0.928,0.864,0.907,0.709,0.816,0.222,0.162,0.96,0.33,-0.964,0.508,1.0499999999999998,4.279,-4.452,6.413,3.3609999999999998,0.026278012976678578,0.9715319411536059,0.026278012976678578,0.026278012976678578,0.9715319411536059,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.0064692128,1.722990018,0.0,0.0371083398,129.8403478868,0.7344869166,56.643124342,18.2098283238,0.1580152672,29331.3727809228,41813.5014199155,3.1576680778600714,3.7088004495630016,0.981329516517399
1301,128,167,490,0,0.0,34825891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506290.0,20.9645744699414,5.22608568530078,16.0573476702509,4525553217.84602,1156463278900.0,903.692779117922,48.17,0.738529980182648,0.679139971733093,64.55159,30.7,51.0,50.5144250065441,100786.0,78215.0,2.15714037449536,120.8,180.7,44.0316280531236,52.7749850966085,3.1933868502679,3.13791463486827,30.202,403.035298949398,1381416.0,-393870.0,2644790.5,0.042,0.071,0.035,0.034,0.417,0.128,-1.097,0.131,0.073,0.152,-0.626,0.264,0.21,0.946,0.048,0.128,0.316,0.62,-1.264,0.969,0.918,0.029,-0.456,0.167,0.0,0.166,0.124,0.287,0.148,0.093,0.501,0.323,0.107,0.124,0.099,0.044,0.028,0.049,0.893,0.913,0.928,0.864,0.907,0.709,0.816,0.222,0.162,0.96,0.33,-0.964,0.508,1.0499999999999998,4.279,-4.452,6.413,3.3609999999999998,0.02552992895689218,0.9438743126816935,0.02552992895689218,0.02552992895689218,0.9438743126816935,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.0064692128,1.722990018,0.0,0.0371083398,129.8403478868,0.7344869166,56.643124342,18.2098283238,0.1580152672,29331.3727809228,41813.5014199155,3.1531795737413533,3.9885280006708252,0.9533929700934782
1468,129,167,490,0,0.0,34825891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506290.0,20.9645744699414,5.22608568530078,16.0573476702509,4525553217.84602,1156463278900.0,903.692779117922,48.17,0.738529980182648,0.679139971733093,64.55159,30.7,51.0,50.5144250065441,100786.0,78215.0,2.15714037449536,120.8,180.7,44.0316280531236,52.7749850966085,3.1933868502679,3.13791463486827,30.202,403.035298949398,1381416.0,-393870.0,2644790.5,0.042,0.071,0.035,0.034,0.417,0.128,-1.097,0.131,0.073,0.152,-0.626,0.264,0.21,0.946,0.048,0.128,0.316,0.62,-1.264,0.969,0.918,0.029,-0.456,0.167,0.0,0.166,0.124,0.287,0.148,0.093,0.501,0.323,0.107,0.124,0.099,0.044,0.028,0.049,0.893,0.913,0.928,0.864,0.907,0.709,0.816,0.222,0.162,0.96,0.33,-0.964,0.508,1.0499999999999998,4.279,-4.452,6.413,3.3609999999999998,0.024803141437003122,0.9170040432046712,0.024803141437003122,0.024803141437003122,0.9170040432046712,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.0064692128,1.722990018,0.0,0.0371083398,129.8403478868,0.7344869166,56.643124342,18.2098283238,0.1580152672,29331.3727809228,41813.5014199155,4.124015707185015,3.9579783076325663,0.9262517229171188
1635,130,167,490,0,0.0,34825891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506290.0,20.9645744699414,5.22608568530078,16.0573476702509,4525553217.84602,1156463278900.0,903.692779117922,48.17,0.738529980182648,0.679139971733093,64.55159,30.7,51.0,50.5144250065441,100786.0,78215.0,2.15714037449536,120.8,180.7,44.0316280531236,52.7749850966085,3.1933868502679,3.13791463486827,30.202,403.035298949398,1381416.0,-393870.0,2644790.5,0.042,0.071,0.035,0.034,0.417,0.128,-1.097,0.131,0.073,0.152,-0.626,0.264,0.21,0.946,0.048,0.128,0.316,0.62,-1.264,0.969,0.918,0.029,-0.456,0.167,0.0,0.166,0.124,0.287,0.148,0.093,0.501,0.323,0.107,0.124,0.099,0.044,0.028,0.049,0.893,0.913,0.928,0.864,0.907,0.709,0.816,0.222,0.162,0.96,0.33,-0.964,0.508,1.0499999999999998,4.279,-4.452,6.413,3.3609999999999998,0.024097044146999074,0.8908987181403393,0.024097044146999074,0.024097044146999074,0.8908987181403393,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.0064692128,1.722990018,0.0,0.0371083398,129.8403478868,0.7344869166,56.643124342,18.2098283238,0.1580152672,29331.3727809228,41813.5014199155,4.092017161888601,3.9860217817411385,0.8998831343625402
