,month_id,country_id,gleditsch_ward,ged_sb,ged_sb_tsum_24,wdi_sp_pop_totl,ged_sb_tlag_1,ged_sb_tlag_2,ged_sb_tlag_3,ged_sb_tlag_4,ged_sb_tlag_5,ged_sb_tlag_6,ged_os_tlag_1,wdi_ag_lnd_frst_k2,wdi_dt_oda_odat_pc_zs,wdi_ms_mil_xpnd_gd_zs,wdi_ms_mil_xpnd_zs,wdi_nv_agr_totl_kd,wdi_nv_agr_totl_kn,wdi_ny_gdp_pcap_kd,wdi_sp_dyn_le00_in,wdi_se_enr_prim_fm_zs,wdi_se_enr_prsc_fm_zs,wdi_se_prm_nenr,wdi_sh_sta_maln_zs,wdi_sh_sta_stnt_zs,wdi_sl_tlf_totl_fe_zs,wdi_sm_pop_refg_or,wdi_sm_pop_netm,wdi_sm_pop_totl_zs,wdi_sp_dyn_imrt_in,wdi_sh_dyn_mort_fe,wdi_sp_pop_0014_fe_zs,wdi_sp_pop_1564_fe_zs,wdi_sp_pop_65up_fe_zs,wdi_sp_pop_grow,wdi_sp_urb_totl_in_zs,splag_wdi_sl_tlf_totl_fe_zs,splag_wdi_sm_pop_refg_or,splag_wdi_sm_pop_netm,splag_wdi_ag_lnd_frst_k2,vdem_v2x_delibdem,vdem_v2x_egaldem,vdem_v2x_libdem,vdem_v2x_libdem_48,vdem_v2x_partip,vdem_v2x_partipdem,vdem_v2x_accountability,vdem_v2x_civlib,vdem_v2x_clphy,vdem_v2x_cspart,vdem_v2x_divparctrl,vdem_v2x_edcomp_thick,vdem_v2x_egal,vdem_v2x_execorr,vdem_v2x_frassoc_thick,vdem_v2x_gencs,vdem_v2x_gender,vdem_v2x_genpp,vdem_v2x_horacc,vdem_v2x_neopat,vdem_v2x_pubcorr,vdem_v2x_rule,vdem_v2x_veracc,vdem_v2x_ex_military,vdem_v2x_ex_party,vdem_v2x_freexp,vdem_v2xcl_acjst,vdem_v2xcl_dmove,vdem_v2xcl_prpty,vdem_v2xcl_rol,vdem_v2xcl_slave,vdem_v2xdd_dd,vdem_v2xdl_delib,vdem_v2xeg_eqdr,vdem_v2xeg_eqprotec,vdem_v2xel_frefair,vdem_v2xel_regelec,vdem_v2xme_altinf,vdem_v2xnp_client,vdem_v2xnp_regcorr,vdem_v2xpe_exlecon,vdem_v2xpe_exlpol,vdem_v2xpe_exlgeo,vdem_v2xpe_exlgender,vdem_v2xpe_exlsocgr,vdem_v2xps_party,vdem_v2xcs_ccsi,vdem_v2xnp_pres,vdem_v2xeg_eqaccess,vdem_v2x_diagacc,vdem_v2clrgunev,splag_vdem_v2x_libdem,splag_vdem_v2xcl_dmove,splag_vdem_v2x_accountability,splag_vdem_v2xpe_exlsocgr,splag_vdem_v2xcl_rol,decay_ged_sb_5,decay_ged_os_5,decay_ged_sb_100,decay_ged_sb_500,decay_ged_os_100,decay_ged_ns_5,decay_ged_ns_100,decay_acled_sb_5,decay_acled_os_5,decay_acled_ns_5,agr_withdrawal_pct_t48,dam_cap_pcap_t48,groundwater_export_t48,fresh_withdrawal_pct_t48,ind_efficiency_t48,irr_agr_efficiency_t48,services_efficiency_t48,general_efficiency_t48,water_stress_t48,renewable_internal_pcap_t48,renewable_pcap_t48,splag_1_decay_ged_sb_5,splag_1_decay_ged_os_5,splag_1_decay_ged_ns_5
109,121,149,775,137,1653.0,39489419.0,373.0,1.0,0.0,0.0,0.0,55.0,0.0,392184.8,3.78126625069412,2.95910673319109,10.4838664287765,8118883395.02309,9088495346600.0,186.877958582067,56.565,0.919210016727448,0.91185998916626,89.72516,32.5,53.6,45.4584751376579,7.0,-26579.0,0.317908961985639,83.3,109.6,35.9951463716872,59.0469767431706,4.95787688514222,1.58545260633439,25.069,184.6290293116418,133945.0,-817459.0,2602029.2,0.031,0.071,0.016,0.026,0.166,0.049,-1.249,0.124,0.155,0.116,-1.577,0.144,0.251,0.951,0.175,0.293,0.292,0.399,-1.858,0.973,0.811,0.043,-0.893,0.333,0.167,0.053,0.115,0.162,0.194,0.082,0.133,0.069,0.098,0.114,0.208,0.0,0.302,0.049,0.675,0.938,0.776,0.915,0.847,0.743,0.894,0.726,0.083,0.979,0.396,-1.223,-1.592,1.083,2.518,-0.6259999999999999,2.8870000000000005,2.088,1.0,0.8408964152537145,1.0,0.7937005259840997,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,2.3856824799,90.1627097414,0.0,2.419592396,5.2165399218,0.0430324844,7.8835995203,0.1403703546,4.9329608939,25913.1611415662,30176.894277145,2.8972730308220327,2.8204004584583857,1.0965319411536059
276,122,149,775,107,1760.0,39489419.0,137.0,373.0,1.0,0.0,0.0,0.0,0.0,392184.8,3.78126625069412,2.95910673319109,10.4838664287765,8118883395.02309,9088495346600.0,186.877958582067,56.565,0.919210016727448,0.91185998916626,89.72516,32.5,53.6,45.4584751376579,7.0,-26579.0,0.317908961985639,83.3,109.6,35.9951463716872,59.0469767431706,4.95787688514222,1.58545260633439,25.069,184.6290293116418,133945.0,-817459.0,2602029.2,0.031,0.071,0.016,0.026,0.166,0.049,-1.249,0.124,0.155,0.116,-1.577,0.144,0.251,0.951,0.175,0.293,0.292,0.399,-1.858,0.973,0.811,0.043,-0.893,0.333,0.167,0.053,0.115,0.162,0.194,0.082,0.133,0.069,0.098,0.114,0.208,0.0,0.302,0.049,0.675,0.938,0.776,0.915,0.847,0.743,0.894,0.726,0.083,0.979,0.396,-1.223,-1.592,1.083,2.518,-0.6259999999999999,2.8870000000000005,2.088,1.0,0.8169577266205499,1.0,0.7711054127039704,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,2.3856824799,90.1627097414,0.0,2.419592396,5.2165399218,0.0430324844,7.8835995203,0.1403703546,4.9329608939,25913.1611415662,30176.894277145,3.0607207463221,3.8188500409352057,1.0653158053258942
443,123,149,775,64,1824.0,39489419.0,107.0,137.0,373.0,1.0,0.0,0.0,1.0,392184.8,3.78126625069412,2.95910673319109,10.4838664287765,8118883395.02309,9088495346600.0,186.877958582067,56.565,0.919210016727448,0.91185998916626,89.72516,32.5,53.6,45.4584751376579,7.0,-26579.0,0.317908961985639,83.3,109.6,35.9951463716872,59.0469767431706,4.95787688514222,1.58545260633439,25.069,184.6290293116418,133945.0,-817459.0,2602029.2,0.031,0.071,0.016,0.026,0.166,0.049,-1.249,0.124,0.155,0.116,-1.577,0.144,0.251,0.951,0.175,0.293,0.292,0.399,-1.858,0.973,0.811,0.043,-0.893,0.333,0.167,0.053,0.115,0.162,0.194,0.082,0.133,0.069,0.098,0.114,0.208,0.0,0.302,0.049,0.675,0.938,0.776,0.915,0.847,0.743,0.894,0.726,0.083,0.979,0.396,-1.223,-1.592,1.083,2.518,-0.6259999999999999,2.8870000000000005,2.088,1.0,0.7937005259840997,1.0,0.7491535384383408,0.029496072271302926,1.0,1.0,0.029496072271302926,0.029496072271302926,0.029496072271302926,2.3856824799,90.1627097414,0.0,2.419592396,5.2165399218,0.0430324844,7.8835995203,0.1403703546,4.9329608939,25913.1611415662,30176.894277145,4.001028013424909,3.7662604805626145,1.034988332289883
612,124,149,775,172,1996.0,39489419.0,64.0,107.0,137.0,373.0,1.0,0.0,0.0,392184.8,3.78126625069412,2.95910673319109,10.4838664287765,8118883395.02309,9088495346600.0,186.877958582067,56.565,0.919210016727448,0.91185998916626,89.72516,32.5,53.6,45.4584751376579,7.0,-26579.0,0.317908961985639,83.3,109.6,35.9951463716872,59.0469767431706,4.95787688514222,1.58545260633439,25.069,184.6290293116418,133945.0,-817459.0,2602029.2,0.031,0.071,0.016,0.026,0.166,0.049,-1.249,0.124,0.155,0.116,-1.577,0.144,0.251,0.951,0.175,0.293,0.292,0.399,-1.858,0.973,0.811,0.043,-0.893,0.333,0.167,0.053,0.115,0.162,0.194,0.082,0.133,0.069,0.098,0.114,0.208,0.0,0.302,0.049,0.675,0.938,0.776,0.915,0.847,0.743,0.894,0.726,0.083,0.979,0.396,-1.223,-1.592,1.083,2.518,-0.6259999999999999,2.8870000000000005,2.088,1.0,0.7711054127039704,0.9715319411536059,0.7278265914210937,0.028656376350145975,1.0,1.0,0.028656376350145975,0.028656376350145975,0.028656376350145975,2.3856824799,90.1627097414,0.0,2.419592396,5.2165399218,0.0430324844,7.8835995203,0.1403703546,4.9329608939,25913.1611415662,30176.894277145,4.000188317503752,3.6875104144175035,1.1146255054005838
780,125,149,775,6,2002.0,39489419.0,172.0,64.0,107.0,137.0,373.0,1.0,2.0,392184.8,3.78126625069412,2.95910673319109,10.4838664287765,8118883395.02309,9088495346600.0,186.877958582067,56.565,0.919210016727448,0.91185998916626,89.72516,32.5,53.6,45.4584751376579,7.0,-26579.0,0.317908961985639,83.3,109.6,35.9951463716872,59.0469767431706,4.95787688514222,1.58545260633439,25.069,184.6290293116418,133945.0,-817459.0,2602029.2,0.031,0.071,0.016,0.026,0.166,0.049,-1.249,0.124,0.155,0.116,-1.577,0.144,0.251,0.951,0.175,0.293,0.292,0.399,-1.858,0.973,0.811,0.043,-0.893,0.333,0.167,0.053,0.115,0.162,0.194,0.082,0.133,0.069,0.098,0.114,0.208,0.0,0.302,0.049,0.675,0.938,0.776,0.915,0.847,0.743,0.894,0.726,0.083,0.979,0.396,-1.223,-1.592,1.083,2.518,-0.6259999999999999,2.8870000000000005,2.088,1.0,0.7491535384383408,1.0,0.7071067811865476,0.027840584941885595,0.9715319411536059,0.9715319411536059,0.027840584941885595,0.027840584941885595,0.027840584941885595,2.3856824799,90.1627097414,0.0,2.419592396,5.2165399218,0.0430324844,7.8835995203,0.1403703546,4.9329608939,25913.1611415662,30176.894277145,4.886938194988906,3.6939981665848975,1.1113623397675423
949,126,149,775,0,2002.0,39489419.0,6.0,172.0,64.0,107.0,137.0,373.0,0.0,392184.8,3.78126625069412,2.95910673319109,10.4838664287765,8118883395.02309,9088495346600.0,186.877958582067,56.565,0.919210016727448,0.91185998916626,89.72516,32.5,53.6,45.4584751376579,7.0,-26579.0,0.317908961985639,83.3,109.6,35.9951463716872,59.0469767431706,4.95787688514222,1.58545260633439,25.069,184.6290293116418,133945.0,-817459.0,2602029.2,0.031,0.071,0.016,0.026,0.166,0.049,-1.249,0.124,0.155,0.116,-1.577,0.144,0.251,0.951,0.175,0.293,0.292,0.399,-1.858,0.973,0.811,0.043,-0.893,0.333,0.167,0.053,0.115,0.162,0.194,0.082,0.133,0.069,0.098,0.114,0.208,0.0,0.302,0.049,0.675,0.938,0.776,0.915,0.847,0.743,0.894,0.726,0.083,0.979,0.396,-1.223,-1.592,1.083,2.518,-0.6259999999999999,2.8870000000000005,2.088,1.0,0.7278265914210937,0.9715319411536059,0.6869768237290446,0.027048017531441974,0.9438743126816935,0.9438743126816935,0.027048017531441974,0.027048017531441974,0.027048017531441974,2.3856824799,90.1627097414,0.0,2.419592396,5.2165399218,0.0430324844,7.8835995203,0.1403703546,4.9329608939,25913.1611415662,30176.894277145,4.776284609721664,3.617305268246481,1.0797240112793738
1116,127,149,775,0,2002.0,39489419.0,0.0,6.0,172.0,64.0,107.0,137.0,0.0,392184.8,3.78126625069412,2.95910673319109,10.4838664287765,8118883395.02309,9088495346600.0,186.877958582067,56.565,0.919210016727448,0.91185998916626,89.72516,32.5,53.6,45.4584751376579,7.0,-26579.0,0.317908961985639,83.3,109.6,35.9951463716872,59.0469767431706,4.95787688514222,1.58545260633439,25.069,184.6290293116418,133945.0,-817459.0,2602029.2,0.031,0.071,0.016,0.026,0.166,0.049,-1.249,0.124,0.155,0.116,-1.577,0.144,0.251,0.951,0.175,0.293,0.292,0.399,-1.858,0.973,0.811,0.043,-0.893,0.333,0.167,0.053,0.115,0.162,0.194,0.082,0.133,0.069,0.098,0.114,0.208,0.0,0.302,0.049,0.675,0.938,0.776,0.915,0.847,0.743,0.894,0.726,0.083,0.979,0.396,-1.223,-1.592,1.083,2.518,-0.6259999999999999,2.8870000000000005,2.088,0.9715319411536059,0.7071067811865476,0.9438743126816935,0.6674199270850172,0.026278012976678578,0.9170040432046712,0.9170040432046712,0.026278012976678578,0.026278012976678578,0.026278012976678578,2.3856824799,90.1627097414,0.0,2.419592396,5.2165399218,0.0430324844,7.8835995203,0.1403703546,4.9329608939,25913.1611415662,30176.894277145,4.668781117231376,3.5989213551693693,1.0489863645884079
1283,128,149,775,0,2002.0,39489419.0,0.0,0.0,6.0,172.0,64.0,107.0,12.0,392184.8,3.78126625069412,2.95910673319109,10.4838664287765,8118883395.02309,9088495346600.0,186.877958582067,56.565,0.919210016727448,0.91185998916626,89.72516,32.5,53.6,45.4584751376579,7.0,-26579.0,0.317908961985639,83.3,109.6,35.9951463716872,59.0469767431706,4.95787688514222,1.58545260633439,25.069,184.6290293116418,133945.0,-817459.0,2602029.2,0.031,0.071,0.016,0.026,0.166,0.049,-1.249,0.124,0.155,0.116,-1.577,0.144,0.251,0.951,0.175,0.293,0.292,0.399,-1.858,0.973,0.811,0.043,-0.893,0.333,0.167,0.053,0.115,0.162,0.194,0.082,0.133,0.069,0.098,0.114,0.208,0.0,0.302,0.049,0.675,0.938,0.776,0.915,0.847,0.743,0.894,0.726,0.083,0.979,0.396,-1.223,-1.592,1.083,2.518,-0.6259999999999999,2.8870000000000005,2.088,0.9438743126816935,1.0,0.9170040432046712,0.6484197773255048,0.02552992895689218,0.8908987181403393,0.8908987181403393,0.02552992895689218,0.02552992895689218,0.02552992895689218,2.3856824799,90.1627097414,0.0,2.419592396,5.2165399218,0.0430324844,7.8835995203,0.1403703546,4.9329608939,25913.1611415662,30176.894277145,4.564338040491493,3.5249351090932572,1.01912375903224
1450,129,149,775,6,2008.0,39489419.0,0.0,0.0,0.0,6.0,172.0,64.0,7.0,392184.8,3.78126625069412,2.95910673319109,10.4838664287765,8118883395.02309,9088495346600.0,186.877958582067,56.565,0.919210016727448,0.91185998916626,89.72516,32.5,53.6,45.4584751376579,7.0,-26579.0,0.317908961985639,83.3,109.6,35.9951463716872,59.0469767431706,4.95787688514222,1.58545260633439,25.069,184.6290293116418,133945.0,-817459.0,2602029.2,0.031,0.071,0.016,0.026,0.166,0.049,-1.249,0.124,0.155,0.116,-1.577,0.144,0.251,0.951,0.175,0.293,0.292,0.399,-1.858,0.973,0.811,0.043,-0.893,0.333,0.167,0.053,0.115,0.162,0.194,0.082,0.133,0.069,0.098,0.114,0.208,0.0,0.302,0.049,0.675,0.938,0.776,0.915,0.847,0.743,0.894,0.726,0.083,0.979,0.396,-1.223,-1.592,1.083,2.518,-0.6259999999999999,2.8870000000000005,2.088,0.9170040432046712,1.0,0.8908987181403393,0.6299605249474366,0.024803141437003122,0.865536561006143,0.865536561006143,0.024803141437003122,0.024803141437003122,0.024803141437003122,2.3856824799,90.1627097414,0.0,2.419592396,5.2165399218,0.0430324844,7.8835995203,0.1403703546,4.9329608939,25913.1611415662,30176.894277145,4.46286825540634,3.480712736296176,0.9901112838883518
1617,130,149,775,0,2008.0,39489419.0,6.0,0.0,0.0,0.0,6.0,172.0,0.0,392184.8,3.78126625069412,2.95910673319109,10.4838664287765,8118883395.02309,9088495346600.0,186.877958582067,56.565,0.919210016727448,0.91185998916626,89.72516,32.5,53.6,45.4584751376579,7.0,-26579.0,0.317908961985639,83.3,109.6,35.9951463716872,59.0469767431706,4.95787688514222,1.58545260633439,25.069,184.6290293116418,133945.0,-817459.0,2602029.2,0.031,0.071,0.016,0.026,0.166,0.049,-1.249,0.124,0.155,0.116,-1.577,0.144,0.251,0.951,0.175,0.293,0.292,0.399,-1.858,0.973,0.811,0.043,-0.893,0.333,0.167,0.053,0.115,0.162,0.194,0.082,0.133,0.069,0.098,0.114,0.208,0.0,0.302,0.049,0.675,0.938,0.776,0.915,0.847,0.743,0.894,0.726,0.083,0.979,0.396,-1.223,-1.592,1.083,2.518,-0.6259999999999999,2.8870000000000005,2.088,1.0,0.9715319411536059,0.865536561006143,0.6120267716523276,0.024097044146999074,0.8408964152537145,0.8408964152537145,0.024097044146999074,0.024097044146999074,0.024097044146999074,2.3856824799,90.1627097414,0.0,2.419592396,5.2165399218,0.0430324844,7.8835995203,0.1403703546,4.9329608939,25913.1611415662,30176.894277145,4.3358190592877275,3.4377492886102092,0.9619247375941392
