,month_id,country_id,gleditsch_ward,ged_sb,ged_sb_tsum_24,wdi_sp_pop_totl,ged_sb_tlag_1,ged_sb_tlag_2,ged_sb_tlag_3,ged_sb_tlag_4,ged_sb_tlag_5,ged_sb_tlag_6,ged_os_tlag_1,wdi_ag_lnd_frst_k2,wdi_dt_oda_odat_pc_zs,wdi_ms_mil_xpnd_gd_zs,wdi_ms_mil_xpnd_zs,wdi_nv_agr_totl_kd,wdi_nv_agr_totl_kn,wdi_ny_gdp_pcap_kd,wdi_sp_dyn_le00_in,wdi_se_enr_prim_fm_zs,wdi_se_enr_prsc_fm_zs,wdi_se_prm_nenr,wdi_sh_sta_maln_zs,wdi_sh_sta_stnt_zs,wdi_sl_tlf_totl_fe_zs,wdi_sm_pop_refg_or,wdi_sm_pop_netm,wdi_sm_pop_totl_zs,wdi_sp_dyn_imrt_in,wdi_sh_dyn_mort_fe,wdi_sp_pop_0014_fe_zs,wdi_sp_pop_1564_fe_zs,wdi_sp_pop_65up_fe_zs,wdi_sp_pop_grow,wdi_sp_urb_totl_in_zs,splag_wdi_sl_tlf_totl_fe_zs,splag_wdi_sm_pop_refg_or,splag_wdi_sm_pop_netm,splag_wdi_ag_lnd_frst_k2,vdem_v2x_delibdem,vdem_v2x_egaldem,vdem_v2x_libdem,vdem_v2x_libdem_48,vdem_v2x_partip,vdem_v2x_partipdem,vdem_v2x_accountability,vdem_v2x_civlib,vdem_v2x_clphy,vdem_v2x_cspart,vdem_v2x_divparctrl,vdem_v2x_edcomp_thick,vdem_v2x_egal,vdem_v2x_execorr,vdem_v2x_frassoc_thick,vdem_v2x_gencs,vdem_v2x_gender,vdem_v2x_genpp,vdem_v2x_horacc,vdem_v2x_neopat,vdem_v2x_pubcorr,vdem_v2x_rule,vdem_v2x_veracc,vdem_v2x_ex_military,vdem_v2x_ex_party,vdem_v2x_freexp,vdem_v2xcl_acjst,vdem_v2xcl_dmove,vdem_v2xcl_prpty,vdem_v2xcl_rol,vdem_v2xcl_slave,vdem_v2xdd_dd,vdem_v2xdl_delib,vdem_v2xeg_eqdr,vdem_v2xeg_eqprotec,vdem_v2xel_frefair,vdem_v2xel_regelec,vdem_v2xme_altinf,vdem_v2xnp_client,vdem_v2xnp_regcorr,vdem_v2xpe_exlecon,vdem_v2xpe_exlpol,vdem_v2xpe_exlgeo,vdem_v2xpe_exlgender,vdem_v2xpe_exlsocgr,vdem_v2xps_party,vdem_v2xcs_ccsi,vdem_v2xnp_pres,vdem_v2xeg_eqaccess,vdem_v2x_diagacc,vdem_v2clrgunev,splag_vdem_v2x_libdem,splag_vdem_v2xcl_dmove,splag_vdem_v2x_accountability,splag_vdem_v2xpe_exlsocgr,splag_vdem_v2xcl_rol,decay_ged_sb_5,decay_ged_os_5,decay_ged_sb_100,decay_ged_sb_500,decay_ged_os_100,decay_ged_ns_5,decay_ged_ns_100,decay_acled_sb_5,decay_acled_os_5,decay_acled_ns_5,agr_withdrawal_pct_t48,dam_cap_pcap_t48,groundwater_export_t48,fresh_withdrawal_pct_t48,ind_efficiency_t48,irr_agr_efficiency_t48,services_efficiency_t48,general_efficiency_t48,water_stress_t48,renewable_internal_pcap_t48,renewable_pcap_t48,splag_1_decay_ged_sb_5,splag_1_decay_ged_os_5,splag_1_decay_ged_ns_5
65,121,78,436,0,0.0,8116075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19450.0,36.7234146792592,0.635210396039604,6.43073331329554,965072157.925833,570561951110.0,481.988972017307,41.221,0.58407998085022,0.527620017528534,22.57018,45.0,43.8,44.4397934502017,22006.0,619.0,1.45937427798486,135.6,334.8,46.1404519492442,51.4087406963166,2.45080735443919,3.0502491493597,15.289,265.4720824657458,141351.0,-40521.0,609878.4,0.074,0.171,0.119,0.087,0.291,0.093,-0.369,0.465,0.604,0.539,0.923,0.144,0.571,0.643,0.093,0.579,0.457,0.379,-0.942,0.616,0.738,0.481,-0.024,0.333,0.0,0.546,0.462,0.65,0.357,0.545,0.176,0.1,0.219,0.348,0.79,0.018,0.15,0.606,0.523,0.647,0.343,0.4,0.668,0.416,0.329,0.47,0.217,0.615,0.587,-0.154,-0.155,0.62,4.485,-4.803,3.498,2.5639999999999996,0.03125,0.9170040432046712,0.03125,0.03125,0.9170040432046712,0.03125,0.03125,0.03125,0.03125,0.03125,1.2041116006,11.7111069251,0.0,1.4684287812,67.8841442235,0.0071102378,22.8270992726,3.4370072942,2.133105802,491.6501647801,4783.0537459318,0.9586054127039704,0.21875,0.21875
232,122,78,436,0,0.0,8116075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19450.0,36.7234146792592,0.635210396039604,6.43073331329554,965072157.925833,570561951110.0,481.988972017307,41.221,0.58407998085022,0.527620017528534,22.57018,45.0,43.8,44.4397934502017,22006.0,619.0,1.45937427798486,135.6,334.8,46.1404519492442,51.4087406963166,2.45080735443919,3.0502491493597,15.289,265.4720824657458,141351.0,-40521.0,609878.4,0.074,0.171,0.119,0.087,0.291,0.093,-0.369,0.465,0.604,0.539,0.923,0.144,0.571,0.643,0.093,0.579,0.457,0.379,-0.942,0.616,0.738,0.481,-0.024,0.333,0.0,0.546,0.462,0.65,0.357,0.545,0.176,0.1,0.219,0.348,0.79,0.018,0.15,0.606,0.523,0.647,0.343,0.4,0.668,0.416,0.329,0.47,0.217,0.615,0.587,-0.154,-0.155,0.62,4.485,-4.803,3.498,2.5639999999999996,0.03036037316105018,0.8908987181403393,0.03036037316105018,0.03036037316105018,0.8908987181403393,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,1.2041116006,11.7111069251,0.0,1.4684287812,67.8841442235,0.0071102378,22.8270992726,3.4370072942,2.133105802,491.6501647801,4783.0537459318,0.9313157774046419,0.21252261212735124,0.21252261212735124
399,123,78,436,0,0.0,8116075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19450.0,36.7234146792592,0.635210396039604,6.43073331329554,965072157.925833,570561951110.0,481.988972017307,41.221,0.58407998085022,0.527620017528534,22.57018,45.0,43.8,44.4397934502017,22006.0,619.0,1.45937427798486,135.6,334.8,46.1404519492442,51.4087406963166,2.45080735443919,3.0502491493597,15.289,265.4720824657458,141351.0,-40521.0,609878.4,0.074,0.171,0.119,0.087,0.291,0.093,-0.369,0.465,0.604,0.539,0.923,0.144,0.571,0.643,0.093,0.579,0.457,0.379,-0.942,0.616,0.738,0.481,-0.024,0.333,0.0,0.546,0.462,0.65,0.357,0.545,0.176,0.1,0.219,0.348,0.79,0.018,0.15,0.606,0.523,0.647,0.343,0.4,0.668,0.416,0.329,0.47,0.217,0.615,0.587,-0.154,-0.155,0.62,4.485,-4.803,3.498,2.5639999999999996,0.029496072271302926,0.865536561006143,0.029496072271302926,0.029496072271302926,0.865536561006143,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,1.2041116006,11.7111069251,0.0,1.4684287812,67.8841442235,0.0071102378,22.8270992726,3.4370072942,2.133105802,491.6501647801,4783.0537459318,0.9048030250489113,0.2064725058991205,0.2064725058991205
568,124,78,436,0,0.0,8116075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19450.0,36.7234146792592,0.635210396039604,6.43073331329554,965072157.925833,570561951110.0,481.988972017307,41.221,0.58407998085022,0.527620017528534,22.57018,45.0,43.8,44.4397934502017,22006.0,619.0,1.45937427798486,135.6,334.8,46.1404519492442,51.4087406963166,2.45080735443919,3.0502491493597,15.289,265.4720824657458,141351.0,-40521.0,609878.4,0.074,0.171,0.119,0.087,0.291,0.093,-0.369,0.465,0.604,0.539,0.923,0.144,0.571,0.643,0.093,0.579,0.457,0.379,-0.942,0.616,0.738,0.481,-0.024,0.333,0.0,0.546,0.462,0.65,0.357,0.545,0.176,0.1,0.219,0.348,0.79,0.018,0.15,0.606,0.523,0.647,0.343,0.4,0.668,0.416,0.329,0.47,0.217,0.615,0.587,-0.154,-0.155,0.62,4.485,-4.803,3.498,2.5639999999999996,0.028656376350145975,0.8408964152537145,0.028656376350145975,0.028656376350145975,0.8408964152537145,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,1.2041116006,11.7111069251,0.0,1.4684287812,67.8841442235,0.0071102378,22.8270992726,3.4370072942,2.133105802,491.6501647801,4783.0537459318,0.8790450392874234,0.20059463445102182,0.20059463445102182
736,125,78,436,0,0.0,8116075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19450.0,36.7234146792592,0.635210396039604,6.43073331329554,965072157.925833,570561951110.0,481.988972017307,41.221,0.58407998085022,0.527620017528534,22.57018,45.0,43.8,44.4397934502017,22006.0,619.0,1.45937427798486,135.6,334.8,46.1404519492442,51.4087406963166,2.45080735443919,3.0502491493597,15.289,265.4720824657458,141351.0,-40521.0,609878.4,0.074,0.171,0.119,0.087,0.291,0.093,-0.369,0.465,0.604,0.539,0.923,0.144,0.571,0.643,0.093,0.579,0.457,0.379,-0.942,0.616,0.738,0.481,-0.024,0.333,0.0,0.546,0.462,0.65,0.357,0.545,0.176,0.1,0.219,0.348,0.79,0.018,0.15,0.606,0.523,0.647,0.343,0.4,0.668,0.416,0.329,0.47,0.217,0.615,0.587,-0.154,-0.155,0.62,4.485,-4.803,3.498,2.5639999999999996,0.027840584941885595,0.8169577266205499,0.027840584941885595,0.027840584941885595,0.8169577266205499,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,1.2041116006,11.7111069251,0.0,1.4684287812,67.8841442235,0.0071102378,22.8270992726,3.4370072942,2.133105802,491.6501647801,4783.0537459318,1.1670435096513136,1.1670435096513136,0.19488409459319916
905,126,78,436,0,0.0,8116075.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,19450.0,36.7234146792592,0.635210396039604,6.43073331329554,965072157.925833,570561951110.0,481.988972017307,41.221,0.58407998085022,0.527620017528534,22.57018,45.0,43.8,44.4397934502017,22006.0,619.0,1.45937427798486,135.6,334.8,46.1404519492442,51.4087406963166,2.45080735443919,3.0502491493597,15.289,265.4720824657458,141351.0,-40521.0,609878.4,0.074,0.171,0.119,0.087,0.291,0.093,-0.369,0.465,0.604,0.539,0.923,0.144,0.571,0.643,0.093,0.579,0.457,0.379,-0.942,0.616,0.738,0.481,-0.024,0.333,0.0,0.546,0.462,0.65,0.357,0.545,0.176,0.1,0.219,0.348,0.79,0.018,0.15,0.606,0.523,0.647,0.343,0.4,0.668,0.416,0.329,0.47,0.217,0.615,0.587,-0.154,-0.155,0.62,4.485,-4.803,3.498,2.5639999999999996,0.027048017531441974,1.0,0.027048017531441974,0.027048017531441974,1.0,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.027048017531441974,1.2041116006,11.7111069251,0.0,1.4684287812,67.8841442235,0.0071102378,22.8270992726,3.4370072942,2.133105802,491.6501647801,4783.0537459318,1.1622881051886518,1.1338200463422576,0.18933612272009384
1072,127,78,436,0,0.0,8116075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19450.0,36.7234146792592,0.635210396039604,6.43073331329554,965072157.925833,570561951110.0,481.988972017307,41.221,0.58407998085022,0.527620017528534,22.57018,45.0,43.8,44.4397934502017,22006.0,619.0,1.45937427798486,135.6,334.8,46.1404519492442,51.4087406963166,2.45080735443919,3.0502491493597,15.289,265.4720824657458,141351.0,-40521.0,609878.4,0.074,0.171,0.119,0.087,0.291,0.093,-0.369,0.465,0.604,0.539,0.923,0.144,0.571,0.643,0.093,0.579,0.457,0.379,-0.942,0.616,0.738,0.481,-0.024,0.333,0.0,0.546,0.462,0.65,0.357,0.545,0.176,0.1,0.219,0.348,0.79,0.018,0.15,0.606,0.523,0.647,0.343,0.4,0.668,0.416,0.329,0.47,0.217,0.615,0.587,-0.154,-0.155,0.62,4.485,-4.803,3.498,2.5639999999999996,0.026278012976678578,0.9715319411536059,0.026278012976678578,0.026278012976678578,0.9715319411536059,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.026278012976678578,1.2041116006,11.7111069251,0.0,1.4684287812,67.8841442235,0.0071102378,22.8270992726,3.4370072942,2.133105802,491.6501647801,4783.0537459318,2.102922006036999,1.101542390541765,0.18394609083675006
1239,128,78,436,0,0.0,8116075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19450.0,36.7234146792592,0.635210396039604,6.43073331329554,965072157.925833,570561951110.0,481.988972017307,41.221,0.58407998085022,0.527620017528534,22.57018,45.0,43.8,44.4397934502017,22006.0,619.0,1.45937427798486,135.6,334.8,46.1404519492442,51.4087406963166,2.45080735443919,3.0502491493597,15.289,265.4720824657458,141351.0,-40521.0,609878.4,0.074,0.171,0.119,0.087,0.291,0.093,-0.369,0.465,0.604,0.539,0.923,0.144,0.571,0.643,0.093,0.579,0.457,0.379,-0.942,0.616,0.738,0.481,-0.024,0.333,0.0,0.546,0.462,0.65,0.357,0.545,0.176,0.1,0.219,0.348,0.79,0.018,0.15,0.606,0.523,0.647,0.343,0.4,0.668,0.416,0.329,0.47,0.217,0.615,0.587,-0.154,-0.155,0.62,4.485,-4.803,3.498,2.5639999999999996,0.02552992895689218,0.9438743126816935,0.02552992895689218,0.02552992895689218,0.9438743126816935,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.02552992895689218,1.2041116006,11.7111069251,0.0,1.4684287812,67.8841442235,0.0071102378,22.8270992726,3.4370072942,2.133105802,491.6501647801,4783.0537459318,2.0715239574661544,2.044653687989132,0.17870950269824526
1406,129,78,436,0,0.0,8116075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19450.0,36.7234146792592,0.635210396039604,6.43073331329554,965072157.925833,570561951110.0,481.988972017307,41.221,0.58407998085022,0.527620017528534,22.57018,45.0,43.8,44.4397934502017,22006.0,619.0,1.45937427798486,135.6,334.8,46.1404519492442,51.4087406963166,2.45080735443919,3.0502491493597,15.289,265.4720824657458,141351.0,-40521.0,609878.4,0.074,0.171,0.119,0.087,0.291,0.093,-0.369,0.465,0.604,0.539,0.923,0.144,0.571,0.643,0.093,0.579,0.457,0.379,-0.942,0.616,0.738,0.481,-0.024,0.333,0.0,0.546,0.462,0.65,0.357,0.545,0.176,0.1,0.219,0.348,0.79,0.018,0.15,0.606,0.523,0.647,0.343,0.4,0.668,0.416,0.329,0.47,0.217,0.615,0.587,-0.154,-0.155,0.62,4.485,-4.803,3.498,2.5639999999999996,0.024803141437003122,0.9170040432046712,0.024803141437003122,0.024803141437003122,0.9170040432046712,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.024803141437003122,1.2041116006,11.7111069251,0.0,1.4684287812,67.8841442235,0.0071102378,22.8270992726,3.4370072942,2.133105802,491.6501647801,4783.0537459318,2.0410197503896867,2.014914425325355,0.17362199005902187
1573,130,78,436,0,0.0,8116075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19450.0,36.7234146792592,0.635210396039604,6.43073331329554,965072157.925833,570561951110.0,481.988972017307,41.221,0.58407998085022,0.527620017528534,22.57018,45.0,43.8,44.4397934502017,22006.0,619.0,1.45937427798486,135.6,334.8,46.1404519492442,51.4087406963166,2.45080735443919,3.0502491493597,15.289,265.4720824657458,141351.0,-40521.0,609878.4,0.074,0.171,0.119,0.087,0.291,0.093,-0.369,0.465,0.604,0.539,0.923,0.144,0.571,0.643,0.093,0.579,0.457,0.379,-0.942,0.616,0.738,0.481,-0.024,0.333,0.0,0.546,0.462,0.65,0.357,0.545,0.176,0.1,0.219,0.348,0.79,0.018,0.15,0.606,0.523,0.647,0.343,0.4,0.668,0.416,0.329,0.47,0.217,0.615,0.587,-0.154,-0.155,0.62,4.485,-4.803,3.498,2.5639999999999996,0.024097044146999074,0.8908987181403393,0.024097044146999074,0.024097044146999074,0.8908987181403393,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.024097044146999074,1.2041116006,11.7111069251,0.0,1.4684287812,67.8841442235,0.0071102378,22.8270992726,3.4370072942,2.133105802,491.6501647801,4783.0537459318,2.0113839388753343,1.957553722894744,0.1686793090289935
