,month_id,country_id,gleditsch_ward,ged_sb,ged_sb_tsum_24,wdi_sp_pop_totl,ged_sb_tlag_1,ged_sb_tlag_2,ged_sb_tlag_3,ged_sb_tlag_4,ged_sb_tlag_5,ged_sb_tlag_6,ged_os_tlag_1,wdi_ag_lnd_frst_k2,wdi_dt_oda_odat_pc_zs,wdi_ms_mil_xpnd_gd_zs,wdi_ms_mil_xpnd_zs,wdi_nv_agr_totl_kd,wdi_nv_agr_totl_kn,wdi_ny_gdp_pcap_kd,wdi_sp_dyn_le00_in,wdi_se_enr_prim_fm_zs,wdi_se_enr_prsc_fm_zs,wdi_se_prm_nenr,wdi_sh_sta_maln_zs,wdi_sh_sta_stnt_zs,wdi_sl_tlf_totl_fe_zs,wdi_sm_pop_refg_or,wdi_sm_pop_netm,wdi_sm_pop_totl_zs,wdi_sp_dyn_imrt_in,wdi_sh_dyn_mort_fe,wdi_sp_pop_0014_fe_zs,wdi_sp_pop_1564_fe_zs,wdi_sp_pop_65up_fe_zs,wdi_sp_pop_grow,wdi_sp_urb_totl_in_zs,splag_wdi_sl_tlf_totl_fe_zs,splag_wdi_sm_pop_refg_or,splag_wdi_sm_pop_netm,splag_wdi_ag_lnd_frst_k2,vdem_v2x_delibdem,vdem_v2x_egaldem,vdem_v2x_libdem,vdem_v2x_libdem_48,vdem_v2x_partip,vdem_v2x_partipdem,vdem_v2x_accountability,vdem_v2x_civlib,vdem_v2x_clphy,vdem_v2x_cspart,vdem_v2x_divparctrl,vdem_v2x_edcomp_thick,vdem_v2x_egal,vdem_v2x_execorr,vdem_v2x_frassoc_thick,vdem_v2x_gencs,vdem_v2x_gender,vdem_v2x_genpp,vdem_v2x_horacc,vdem_v2x_neopat,vdem_v2x_pubcorr,vdem_v2x_rule,vdem_v2x_veracc,vdem_v2x_ex_military,vdem_v2x_ex_party,vdem_v2x_freexp,vdem_v2xcl_acjst,vdem_v2xcl_dmove,vdem_v2xcl_prpty,vdem_v2xcl_rol,vdem_v2xcl_slave,vdem_v2xdd_dd,vdem_v2xdl_delib,vdem_v2xeg_eqdr,vdem_v2xeg_eqprotec,vdem_v2xel_frefair,vdem_v2xel_regelec,vdem_v2xme_altinf,vdem_v2xnp_client,vdem_v2xnp_regcorr,vdem_v2xpe_exlecon,vdem_v2xpe_exlpol,vdem_v2xpe_exlgeo,vdem_v2xpe_exlgender,vdem_v2xpe_exlsocgr,vdem_v2xps_party,vdem_v2xcs_ccsi,vdem_v2xnp_pres,vdem_v2xeg_eqaccess,vdem_v2x_diagacc,vdem_v2clrgunev,splag_vdem_v2x_libdem,splag_vdem_v2xcl_dmove,splag_vdem_v2x_accountability,splag_vdem_v2xpe_exlsocgr,splag_vdem_v2xcl_rol,decay_ged_sb_5,decay_ged_os_5,decay_ged_sb_100,decay_ged_sb_500,decay_ged_os_100,decay_ged_ns_5,decay_ged_ns_100,decay_acled_sb_5,decay_acled_os_5,decay_acled_ns_5,agr_withdrawal_pct_t48,dam_cap_pcap_t48,groundwater_export_t48,fresh_withdrawal_pct_t48,ind_efficiency_t48,irr_agr_efficiency_t48,services_efficiency_t48,general_efficiency_t48,water_stress_t48,renewable_internal_pcap_t48,renewable_pcap_t48,splag_1_decay_ged_sb_5,splag_1_decay_ged_os_5,splag_1_decay_ged_ns_5
90,121,120,520,153,526.0,7035378.0,40.0,20.0,0.0,66.0,19.0,192.0,0.0,82825.0,59.5774660432579,1.52999213555444,0.0,0.0,59776999424.0,334.70755955902,46.717,0.500599980354309,0.5173100233078,14.45418,22.8,29.2,33.1564736983997,360309.0,-266281.0,7.56600963519607,110.3,175.8,45.8076218603132,50.8539806045805,3.33839753510628,-1.76229439085998,29.312,112.74993426982121,1474931.0,251125.0,242727.0,0.023,0.075,0.042,0.041,0.141,0.05,-1.277,0.066,0.044,0.053,-0.7,0.264,0.232,0.627,0.064,0.136,0.189,0.241,-0.816,0.875,0.531,0.183,-0.536,0.25,0.167,0.046,0.155,0.341,0.152,0.072,0.196,0.0,0.042,0.316,0.129,0.042,0.168,0.03,0.625,0.636,0.852,0.797,0.848,0.91,0.892,0.149,0.103,0.895,0.198,-1.43,0.448,0.20800000000000002,1.157,-2.503,2.385,0.626,1.0,0.9715319411536059,0.865536561006143,0.03125,0.9715319411536059,0.03125,0.03125,0.03125,0.03125,0.03125,5.3469387755,0.0,0.0,5.5102040816,95.1636947115,0.3526783496,13.769330467,0.1332320078,6.0240963855,890.6374410918,2182.0617306748,1.8721464152537144,1.0625,1.5734608254079407
257,122,120,520,0,526.0,7035378.0,153.0,40.0,20.0,0.0,66.0,19.0,0.0,82825.0,59.5774660432579,1.52999213555444,0.0,0.0,59776999424.0,334.70755955902,46.717,0.500599980354309,0.5173100233078,14.45418,22.8,29.2,33.1564736983997,360309.0,-266281.0,7.56600963519607,110.3,175.8,45.8076218603132,50.8539806045805,3.33839753510628,-1.76229439085998,29.312,112.74993426982121,1474931.0,251125.0,242727.0,0.023,0.075,0.042,0.041,0.141,0.05,-1.277,0.066,0.044,0.053,-0.7,0.264,0.232,0.627,0.064,0.136,0.189,0.241,-0.816,0.875,0.531,0.183,-0.536,0.25,0.167,0.046,0.155,0.341,0.152,0.072,0.196,0.0,0.042,0.316,0.129,0.042,0.168,0.03,0.625,0.636,0.852,0.797,0.848,0.91,0.892,0.149,0.103,0.895,0.198,-1.43,0.448,0.20800000000000002,1.157,-2.503,2.385,0.626,1.0,0.9438743126816935,1.0,0.03036037316105018,0.9438743126816935,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,5.3469387755,0.0,0.0,5.5102040816,95.1636947115,0.3526783496,13.769330467,0.1332320078,6.0240963855,890.6374410918,2182.0617306748,1.8473180997816,1.0322526874757063,1.5286674500377317
424,123,120,520,90,616.0,7035378.0,0.0,153.0,40.0,20.0,0.0,66.0,0.0,82825.0,59.5774660432579,1.52999213555444,0.0,0.0,59776999424.0,334.70755955902,46.717,0.500599980354309,0.5173100233078,14.45418,22.8,29.2,33.1564736983997,360309.0,-266281.0,7.56600963519607,110.3,175.8,45.8076218603132,50.8539806045805,3.33839753510628,-1.76229439085998,29.312,112.74993426982121,1474931.0,251125.0,242727.0,0.023,0.075,0.042,0.041,0.141,0.05,-1.277,0.066,0.044,0.053,-0.7,0.264,0.232,0.627,0.064,0.136,0.189,0.241,-0.816,0.875,0.531,0.183,-0.536,0.25,0.167,0.046,0.155,0.341,0.152,0.072,0.196,0.0,0.042,0.316,0.129,0.042,0.168,0.03,0.625,0.636,0.852,0.797,0.848,0.91,0.892,0.149,0.103,0.895,0.198,-1.43,0.448,0.20800000000000002,1.157,-2.503,2.385,0.626,0.9715319411536059,0.9170040432046712,0.9715319411536059,0.029496072271302926,0.9170040432046712,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,5.3469387755,0.0,0.0,5.5102040816,95.1636947115,0.3526783496,13.769330467,0.1332320078,6.0240963855,890.6374410918,2182.0617306748,1.8231965982554026,1.0028664572242993,1.4851492551134904
593,124,120,520,28,644.0,7035378.0,90.0,0.0,153.0,40.0,20.0,0.0,0.0,82825.0,59.5774660432579,1.52999213555444,0.0,0.0,59776999424.0,334.70755955902,46.717,0.500599980354309,0.5173100233078,14.45418,22.8,29.2,33.1564736983997,360309.0,-266281.0,7.56600963519607,110.3,175.8,45.8076218603132,50.8539806045805,3.33839753510628,-1.76229439085998,29.312,112.74993426982121,1474931.0,251125.0,242727.0,0.023,0.075,0.042,0.041,0.141,0.05,-1.277,0.066,0.044,0.053,-0.7,0.264,0.232,0.627,0.064,0.136,0.189,0.241,-0.816,0.875,0.531,0.183,-0.536,0.25,0.167,0.046,0.155,0.341,0.152,0.072,0.196,0.0,0.042,0.316,0.129,0.042,0.168,0.03,0.625,0.636,0.852,0.797,0.848,0.91,0.892,0.149,0.103,0.895,0.198,-1.43,0.448,0.20800000000000002,1.157,-2.503,2.385,0.626,1.0,0.8908987181403393,0.9438743126816935,0.028656376350145975,0.8908987181403393,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,5.3469387755,0.0,0.0,5.5102040816,95.1636947115,0.3526783496,13.769330467,0.1332320078,6.0240963855,890.6374410918,2182.0617306748,1.7997617890541164,1.057312752700292,1.442869938723241
761,125,120,520,0,644.0,7035378.0,28.0,90.0,0.0,153.0,40.0,20.0,0.0,82825.0,59.5774660432579,1.52999213555444,0.0,0.0,59776999424.0,334.70755955902,46.717,0.500599980354309,0.5173100233078,14.45418,22.8,29.2,33.1564736983997,360309.0,-266281.0,7.56600963519607,110.3,175.8,45.8076218603132,50.8539806045805,3.33839753510628,-1.76229439085998,29.312,112.74993426982121,1474931.0,251125.0,242727.0,0.023,0.075,0.042,0.041,0.141,0.05,-1.277,0.066,0.044,0.053,-0.7,0.264,0.232,0.627,0.064,0.136,0.189,0.241,-0.816,0.875,0.531,0.183,-0.536,0.25,0.167,0.046,0.155,0.341,0.152,0.072,0.196,0.0,0.042,0.316,0.129,0.042,0.168,0.03,0.625,0.636,0.852,0.797,0.848,0.91,0.892,0.149,0.103,0.895,0.198,-1.43,0.448,0.20800000000000002,1.157,-2.503,2.385,0.626,1.0,0.865536561006143,0.9170040432046712,0.027840584941885595,0.865536561006143,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,5.3469387755,0.0,0.0,5.5102040816,95.1636947115,0.3526783496,13.769330467,0.1332320078,6.0240963855,890.6374410918,2182.0617306748,1.7769941233802264,1.0556811698837714,1.4017942323999746
930,126,120,520,0,644.0,7035378.0,0.0,28.0,90.0,0.0,153.0,40.0,0.0,82825.0,59.5774660432579,1.52999213555444,0.0,0.0,59776999424.0,334.70755955902,46.717,0.500599980354309,0.5173100233078,14.45418,22.8,29.2,33.1564736983997,360309.0,-266281.0,7.56600963519607,110.3,175.8,45.8076218603132,50.8539806045805,3.33839753510628,-1.76229439085998,29.312,112.74993426982121,1474931.0,251125.0,242727.0,0.023,0.075,0.042,0.041,0.141,0.05,-1.277,0.066,0.044,0.053,-0.7,0.264,0.232,0.627,0.064,0.136,0.189,0.241,-0.816,0.875,0.531,0.183,-0.536,0.25,0.167,0.046,0.155,0.341,0.152,0.072,0.196,0.0,0.042,0.316,0.129,0.042,0.168,0.03,0.625,0.636,0.852,0.797,0.848,0.91,0.892,0.149,0.103,0.895,0.198,-1.43,0.448,0.20800000000000002,1.157,-2.503,2.385,0.626,0.9715319411536059,0.8408964152537145,0.8908987181403393,0.027048017531441974,0.8408964152537145,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.027048017531441974,5.3469387755,0.0,0.0,5.5102040816,95.1636947115,0.3526783496,13.769330467,0.1332320078,6.0240963855,890.6374410918,2182.0617306748,2.027048017531442,1.9985799586850477,1.3618878717014762
1097,127,120,520,15,659.0,7035378.0,0.0,0.0,28.0,90.0,0.0,153.0,0.0,82825.0,59.5774660432579,1.52999213555444,0.0,0.0,59776999424.0,334.70755955902,46.717,0.500599980354309,0.5173100233078,14.45418,22.8,29.2,33.1564736983997,360309.0,-266281.0,7.56600963519607,110.3,175.8,45.8076218603132,50.8539806045805,3.33839753510628,-1.76229439085998,29.312,112.74993426982121,1474931.0,251125.0,242727.0,0.023,0.075,0.042,0.041,0.141,0.05,-1.277,0.066,0.044,0.053,-0.7,0.264,0.232,0.627,0.064,0.136,0.189,0.241,-0.816,0.875,0.531,0.183,-0.536,0.25,0.167,0.046,0.155,0.341,0.152,0.072,0.196,0.0,0.042,0.316,0.129,0.042,0.168,0.03,0.625,0.636,0.852,0.797,0.848,0.91,0.892,0.149,0.103,0.895,0.198,-1.43,0.448,0.20800000000000002,1.157,-2.503,2.385,0.626,0.9438743126816935,0.8169577266205499,0.865536561006143,0.026278012976678578,0.8169577266205499,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.026278012976678578,5.3469387755,0.0,0.0,5.5102040816,95.1636947115,0.3526783496,13.769330467,0.1332320078,6.0240963855,890.6374410918,2182.0617306748,1.9978099541302845,1.9978099541302845,1.3231175676276883
1264,128,120,520,80,739.0,7035378.0,15.0,0.0,0.0,28.0,90.0,0.0,0.0,82825.0,59.5774660432579,1.52999213555444,0.0,0.0,59776999424.0,334.70755955902,46.717,0.500599980354309,0.5173100233078,14.45418,22.8,29.2,33.1564736983997,360309.0,-266281.0,7.56600963519607,110.3,175.8,45.8076218603132,50.8539806045805,3.33839753510628,-1.76229439085998,29.312,112.74993426982121,1474931.0,251125.0,242727.0,0.023,0.075,0.042,0.041,0.141,0.05,-1.277,0.066,0.044,0.053,-0.7,0.264,0.232,0.627,0.064,0.136,0.189,0.241,-0.816,0.875,0.531,0.183,-0.536,0.25,0.167,0.046,0.155,0.341,0.152,0.072,0.196,0.0,0.042,0.316,0.129,0.042,0.168,0.03,0.625,0.636,0.852,0.797,0.848,0.91,0.892,0.149,0.103,0.895,0.198,-1.43,0.448,0.20800000000000002,1.157,-2.503,2.385,0.626,1.0,0.7937005259840997,0.8408964152537145,0.02552992895689218,0.7937005259840997,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.02552992895689218,5.3469387755,0.0,0.0,5.5102040816,95.1636947115,0.3526783496,13.769330467,0.1332320078,6.0240963855,890.6374410918,2182.0617306748,1.9694042416385857,1.9409361827921916,1.2854509788517654
1431,129,120,520,72,811.0,7035378.0,80.0,15.0,0.0,0.0,28.0,90.0,0.0,82825.0,59.5774660432579,1.52999213555444,0.0,0.0,59776999424.0,334.70755955902,46.717,0.500599980354309,0.5173100233078,14.45418,22.8,29.2,33.1564736983997,360309.0,-266281.0,7.56600963519607,110.3,175.8,45.8076218603132,50.8539806045805,3.33839753510628,-1.76229439085998,29.312,112.74993426982121,1474931.0,251125.0,242727.0,0.023,0.075,0.042,0.041,0.141,0.05,-1.277,0.066,0.044,0.053,-0.7,0.264,0.232,0.627,0.064,0.136,0.189,0.241,-0.816,0.875,0.531,0.183,-0.536,0.25,0.167,0.046,0.155,0.341,0.152,0.072,0.196,0.0,0.042,0.316,0.129,0.042,0.168,0.03,0.625,0.636,0.852,0.797,0.848,0.91,0.892,0.149,0.103,0.895,0.198,-1.43,0.448,0.20800000000000002,1.157,-2.503,2.385,0.626,1.0,0.7711054127039704,0.8169577266205499,0.024803141437003122,0.7711054127039704,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.024803141437003122,5.3469387755,0.0,0.0,5.5102040816,95.1636947115,0.3526783496,13.769330467,0.1332320078,6.0240963855,890.6374410918,2182.0617306748,1.9418071846416745,1.9418071846416742,1.2488566847416582
1598,130,120,520,641,1452.0,7035378.0,72.0,80.0,15.0,0.0,0.0,28.0,0.0,82825.0,59.5774660432579,1.52999213555444,0.0,0.0,59776999424.0,334.70755955902,46.717,0.500599980354309,0.5173100233078,14.45418,22.8,29.2,33.1564736983997,360309.0,-266281.0,7.56600963519607,110.3,175.8,45.8076218603132,50.8539806045805,3.33839753510628,-1.76229439085998,29.312,112.74993426982121,1474931.0,251125.0,242727.0,0.023,0.075,0.042,0.041,0.141,0.05,-1.277,0.066,0.044,0.053,-0.7,0.264,0.232,0.627,0.064,0.136,0.189,0.241,-0.816,0.875,0.531,0.183,-0.536,0.25,0.167,0.046,0.155,0.341,0.152,0.072,0.196,0.0,0.042,0.316,0.129,0.042,0.168,0.03,0.625,0.636,0.852,0.797,0.848,0.91,0.892,0.149,0.103,0.895,0.198,-1.43,0.448,0.20800000000000002,1.157,-2.503,2.385,0.626,1.0,0.7491535384383408,0.7937005259840997,0.024097044146999074,0.7491535384383408,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.024097044146999074,5.3469387755,0.0,0.0,5.5102040816,95.1636947115,0.3526783496,13.769330467,0.1332320078,6.0240963855,890.6374410918,2182.0617306748,1.9149957622873381,1.9149957622873384,1.21330415914972
