,month_id,country_id,gleditsch_ward,ged_sb,ged_sb_tsum_24,wdi_sp_pop_totl,ged_sb_tlag_1,ged_sb_tlag_2,ged_sb_tlag_3,ged_sb_tlag_4,ged_sb_tlag_5,ged_sb_tlag_6,ged_os_tlag_1,wdi_ag_lnd_frst_k2,wdi_dt_oda_odat_pc_zs,wdi_ms_mil_xpnd_gd_zs,wdi_ms_mil_xpnd_zs,wdi_nv_agr_totl_kd,wdi_nv_agr_totl_kn,wdi_ny_gdp_pcap_kd,wdi_sp_dyn_le00_in,wdi_se_enr_prim_fm_zs,wdi_se_enr_prsc_fm_zs,wdi_se_prm_nenr,wdi_sh_sta_maln_zs,wdi_sh_sta_stnt_zs,wdi_sl_tlf_totl_fe_zs,wdi_sm_pop_refg_or,wdi_sm_pop_netm,wdi_sm_pop_totl_zs,wdi_sp_dyn_imrt_in,wdi_sh_dyn_mort_fe,wdi_sp_pop_0014_fe_zs,wdi_sp_pop_1564_fe_zs,wdi_sp_pop_65up_fe_zs,wdi_sp_pop_grow,wdi_sp_urb_totl_in_zs,splag_wdi_sl_tlf_totl_fe_zs,splag_wdi_sm_pop_refg_or,splag_wdi_sm_pop_netm,splag_wdi_ag_lnd_frst_k2,vdem_v2x_delibdem,vdem_v2x_egaldem,vdem_v2x_libdem,vdem_v2x_libdem_48,vdem_v2x_partip,vdem_v2x_partipdem,vdem_v2x_accountability,vdem_v2x_civlib,vdem_v2x_clphy,vdem_v2x_cspart,vdem_v2x_divparctrl,vdem_v2x_edcomp_thick,vdem_v2x_egal,vdem_v2x_execorr,vdem_v2x_frassoc_thick,vdem_v2x_gencs,vdem_v2x_gender,vdem_v2x_genpp,vdem_v2x_horacc,vdem_v2x_neopat,vdem_v2x_pubcorr,vdem_v2x_rule,vdem_v2x_veracc,vdem_v2x_ex_military,vdem_v2x_ex_party,vdem_v2x_freexp,vdem_v2xcl_acjst,vdem_v2xcl_dmove,vdem_v2xcl_prpty,vdem_v2xcl_rol,vdem_v2xcl_slave,vdem_v2xdd_dd,vdem_v2xdl_delib,vdem_v2xeg_eqdr,vdem_v2xeg_eqprotec,vdem_v2xel_frefair,vdem_v2xel_regelec,vdem_v2xme_altinf,vdem_v2xnp_client,vdem_v2xnp_regcorr,vdem_v2xpe_exlecon,vdem_v2xpe_exlpol,vdem_v2xpe_exlgeo,vdem_v2xpe_exlgender,vdem_v2xpe_exlsocgr,vdem_v2xps_party,vdem_v2xcs_ccsi,vdem_v2xnp_pres,vdem_v2xeg_eqaccess,vdem_v2x_diagacc,vdem_v2clrgunev,splag_vdem_v2x_libdem,splag_vdem_v2xcl_dmove,splag_vdem_v2x_accountability,splag_vdem_v2xpe_exlsocgr,splag_vdem_v2xcl_rol,decay_ged_sb_5,decay_ged_os_5,decay_ged_sb_100,decay_ged_sb_500,decay_ged_os_100,decay_ged_ns_5,decay_ged_ns_100,decay_acled_sb_5,decay_acled_os_5,decay_acled_ns_5,agr_withdrawal_pct_t48,dam_cap_pcap_t48,groundwater_export_t48,fresh_withdrawal_pct_t48,ind_efficiency_t48,irr_agr_efficiency_t48,services_efficiency_t48,general_efficiency_t48,water_stress_t48,renewable_internal_pcap_t48,renewable_pcap_t48,splag_1_decay_ged_sb_5,splag_1_decay_ged_os_5,splag_1_decay_ged_ns_5
91,121,121,780,52,585.0,17106752.0,66.0,161.0,47.0,37.0,81.0,24.0,194.0,23503.3,31.6518309245762,1.79859542421127,7.50666239204921,3215881530.89597,436899695554.78,1248.2634589554,69.761,0.967769980430603,1.02107000350952,98.17965,32.8,32.3,36.5502944550975,7692.0,-30997.0,0.239809813928564,21.2,25.1,32.1804662573124,61.8610940517107,5.95843969097688,1.34512204374195,18.551,0.0,0.0,0.0,0.0,0.258,0.289,0.268,0.305,0.478,0.253,0.368,0.469,0.233,0.507,0.32,0.55,0.565,0.362,0.661,0.636,0.591,0.585,-0.011,0.421,0.326,0.576,0.717,0.125,0.25,0.497,0.384,0.486,0.656,0.415,0.805,0.125,0.489,0.718,0.529,0.495,0.696,0.744,0.532,0.369,0.53,0.534,0.451,0.319,0.612,0.781,0.38,0.309,0.484,0.068,-2.187,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9715319411536059,0.03125,1.0,1.0,1.0,0.03125,0.03125,0.03125,17.7632575758,256.1948930766,0.0,18.5018939394,25.0812845576,0.1552668934,37.3651317601,3.1142588044,68.5063113604,3217.7740085401,3217.7740085401,0.0,0.0,0.0
258,122,121,780,17,602.0,17106752.0,52.0,66.0,161.0,47.0,37.0,81.0,1.0,23503.3,31.6518309245762,1.79859542421127,7.50666239204921,3215881530.89597,436899695554.78,1248.2634589554,69.761,0.967769980430603,1.02107000350952,98.17965,32.8,32.3,36.5502944550975,7692.0,-30997.0,0.239809813928564,21.2,25.1,32.1804662573124,61.8610940517107,5.95843969097688,1.34512204374195,18.551,0.0,0.0,0.0,0.0,0.258,0.289,0.268,0.305,0.478,0.253,0.368,0.469,0.233,0.507,0.32,0.55,0.565,0.362,0.661,0.636,0.591,0.585,-0.011,0.421,0.326,0.576,0.717,0.125,0.25,0.497,0.384,0.486,0.656,0.415,0.805,0.125,0.489,0.718,0.529,0.495,0.696,0.744,0.532,0.369,0.53,0.534,0.451,0.319,0.612,0.781,0.38,0.309,0.484,0.068,-2.187,0.0,0.0,0.0,0.0,0.0,1.0,0.9715319411536059,0.9438743126816935,0.03036037316105018,0.9715319411536059,1.0,0.9715319411536059,0.03036037316105018,0.03036037316105018,0.03036037316105018,17.7632575758,256.1948930766,0.0,18.5018939394,25.0812845576,0.1552668934,37.3651317601,3.1142588044,68.5063113604,3217.7740085401,3217.7740085401,0.0,0.0,0.0
425,123,121,780,0,602.0,17106752.0,17.0,52.0,66.0,161.0,47.0,37.0,12.0,23503.3,31.6518309245762,1.79859542421127,7.50666239204921,3215881530.89597,436899695554.78,1248.2634589554,69.761,0.967769980430603,1.02107000350952,98.17965,32.8,32.3,36.5502944550975,7692.0,-30997.0,0.239809813928564,21.2,25.1,32.1804662573124,61.8610940517107,5.95843969097688,1.34512204374195,18.551,0.0,0.0,0.0,0.0,0.258,0.289,0.268,0.305,0.478,0.253,0.368,0.469,0.233,0.507,0.32,0.55,0.565,0.362,0.661,0.636,0.591,0.585,-0.011,0.421,0.326,0.576,0.717,0.125,0.25,0.497,0.384,0.486,0.656,0.415,0.805,0.125,0.489,0.718,0.529,0.495,0.696,0.744,0.532,0.369,0.53,0.534,0.451,0.319,0.612,0.781,0.38,0.309,0.484,0.068,-2.187,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9170040432046712,0.029496072271302926,0.9438743126816935,0.9715319411536059,0.9438743126816935,0.029496072271302926,0.029496072271302926,0.029496072271302926,17.7632575758,256.1948930766,0.0,18.5018939394,25.0812845576,0.1552668934,37.3651317601,3.1142588044,68.5063113604,3217.7740085401,3217.7740085401,0.0,0.0,0.0
594,124,121,780,0,602.0,17106752.0,0.0,17.0,52.0,66.0,161.0,47.0,0.0,23503.3,31.6518309245762,1.79859542421127,7.50666239204921,3215881530.89597,436899695554.78,1248.2634589554,69.761,0.967769980430603,1.02107000350952,98.17965,32.8,32.3,36.5502944550975,7692.0,-30997.0,0.239809813928564,21.2,25.1,32.1804662573124,61.8610940517107,5.95843969097688,1.34512204374195,18.551,0.0,0.0,0.0,0.0,0.258,0.289,0.268,0.305,0.478,0.253,0.368,0.469,0.233,0.507,0.32,0.55,0.565,0.362,0.661,0.636,0.591,0.585,-0.011,0.421,0.326,0.576,0.717,0.125,0.25,0.497,0.384,0.486,0.656,0.415,0.805,0.125,0.489,0.718,0.529,0.495,0.696,0.744,0.532,0.369,0.53,0.534,0.451,0.319,0.612,0.781,0.38,0.309,0.484,0.068,-2.187,0.0,0.0,0.0,0.0,0.0,0.9715319411536059,0.9715319411536059,0.8908987181403393,0.028656376350145975,0.9170040432046712,0.9438743126816935,0.9170040432046712,0.028656376350145975,0.028656376350145975,0.028656376350145975,17.7632575758,256.1948930766,0.0,18.5018939394,25.0812845576,0.1552668934,37.3651317601,3.1142588044,68.5063113604,3217.7740085401,3217.7740085401,0.0,0.0,0.0
762,125,121,780,0,602.0,17106752.0,0.0,0.0,17.0,52.0,66.0,161.0,0.0,23503.3,31.6518309245762,1.79859542421127,7.50666239204921,3215881530.89597,436899695554.78,1248.2634589554,69.761,0.967769980430603,1.02107000350952,98.17965,32.8,32.3,36.5502944550975,7692.0,-30997.0,0.239809813928564,21.2,25.1,32.1804662573124,61.8610940517107,5.95843969097688,1.34512204374195,18.551,0.0,0.0,0.0,0.0,0.258,0.289,0.268,0.305,0.478,0.253,0.368,0.469,0.233,0.507,0.32,0.55,0.565,0.362,0.661,0.636,0.591,0.585,-0.011,0.421,0.326,0.576,0.717,0.125,0.25,0.497,0.384,0.486,0.656,0.415,0.805,0.125,0.489,0.718,0.529,0.495,0.696,0.744,0.532,0.369,0.53,0.534,0.451,0.319,0.612,0.781,0.38,0.309,0.484,0.068,-2.187,0.0,0.0,0.0,0.0,0.0,0.9438743126816935,0.9438743126816935,0.865536561006143,0.027840584941885595,0.8908987181403393,0.9170040432046712,0.8908987181403393,0.027840584941885595,0.027840584941885595,0.027840584941885595,17.7632575758,256.1948930766,0.0,18.5018939394,25.0812845576,0.1552668934,37.3651317601,3.1142588044,68.5063113604,3217.7740085401,3217.7740085401,0.0,0.0,0.0
931,126,121,780,1049,1651.0,17106752.0,0.0,0.0,0.0,17.0,52.0,66.0,0.0,23503.3,31.6518309245762,1.79859542421127,7.50666239204921,3215881530.89597,436899695554.78,1248.2634589554,69.761,0.967769980430603,1.02107000350952,98.17965,32.8,32.3,36.5502944550975,7692.0,-30997.0,0.239809813928564,21.2,25.1,32.1804662573124,61.8610940517107,5.95843969097688,1.34512204374195,18.551,0.0,0.0,0.0,0.0,0.258,0.289,0.268,0.305,0.478,0.253,0.368,0.469,0.233,0.507,0.32,0.55,0.565,0.362,0.661,0.636,0.591,0.585,-0.011,0.421,0.326,0.576,0.717,0.125,0.25,0.497,0.384,0.486,0.656,0.415,0.805,0.125,0.489,0.718,0.529,0.495,0.696,0.744,0.532,0.369,0.53,0.534,0.451,0.319,0.612,0.781,0.38,0.309,0.484,0.068,-2.187,0.0,0.0,0.0,0.0,0.0,0.9170040432046712,0.9170040432046712,0.8408964152537145,0.027048017531441974,0.865536561006143,0.8908987181403393,0.865536561006143,0.027048017531441974,0.027048017531441974,0.027048017531441974,17.7632575758,256.1948930766,0.0,18.5018939394,25.0812845576,0.1552668934,37.3651317601,3.1142588044,68.5063113604,3217.7740085401,3217.7740085401,0.0,0.0,0.0
1098,127,121,780,911,2562.0,17106752.0,1049.0,0.0,0.0,0.0,17.0,52.0,526.0,23503.3,31.6518309245762,1.79859542421127,7.50666239204921,3215881530.89597,436899695554.78,1248.2634589554,69.761,0.967769980430603,1.02107000350952,98.17965,32.8,32.3,36.5502944550975,7692.0,-30997.0,0.239809813928564,21.2,25.1,32.1804662573124,61.8610940517107,5.95843969097688,1.34512204374195,18.551,0.0,0.0,0.0,0.0,0.258,0.289,0.268,0.305,0.478,0.253,0.368,0.469,0.233,0.507,0.32,0.55,0.565,0.362,0.661,0.636,0.591,0.585,-0.011,0.421,0.326,0.576,0.717,0.125,0.25,0.497,0.384,0.486,0.656,0.415,0.805,0.125,0.489,0.718,0.529,0.495,0.696,0.744,0.532,0.369,0.53,0.534,0.451,0.319,0.612,0.781,0.38,0.309,0.484,0.068,-2.187,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.865536561006143,0.8408964152537145,0.026278012976678578,0.026278012976678578,0.026278012976678578,17.7632575758,256.1948930766,0.0,18.5018939394,25.0812845576,0.1552668934,37.3651317601,3.1142588044,68.5063113604,3217.7740085401,3217.7740085401,0.0,0.0,0.0
1265,128,121,780,354,2916.0,17106752.0,911.0,1049.0,0.0,0.0,0.0,17.0,103.0,23503.3,31.6518309245762,1.79859542421127,7.50666239204921,3215881530.89597,436899695554.78,1248.2634589554,69.761,0.967769980430603,1.02107000350952,98.17965,32.8,32.3,36.5502944550975,7692.0,-30997.0,0.239809813928564,21.2,25.1,32.1804662573124,61.8610940517107,5.95843969097688,1.34512204374195,18.551,0.0,0.0,0.0,0.0,0.258,0.289,0.268,0.305,0.478,0.253,0.368,0.469,0.233,0.507,0.32,0.55,0.565,0.362,0.661,0.636,0.591,0.585,-0.011,0.421,0.326,0.576,0.717,0.125,0.25,0.497,0.384,0.486,0.656,0.415,0.805,0.125,0.489,0.718,0.529,0.495,0.696,0.744,0.532,0.369,0.53,0.534,0.451,0.319,0.612,0.781,0.38,0.309,0.484,0.068,-2.187,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8408964152537145,0.8169577266205499,0.02552992895689218,0.02552992895689218,0.02552992895689218,17.7632575758,256.1948930766,0.0,18.5018939394,25.0812845576,0.1552668934,37.3651317601,3.1142588044,68.5063113604,3217.7740085401,3217.7740085401,0.0,0.0,0.0
1432,129,121,780,243,3159.0,17106752.0,354.0,911.0,1049.0,0.0,0.0,0.0,484.0,23503.3,31.6518309245762,1.79859542421127,7.50666239204921,3215881530.89597,436899695554.78,1248.2634589554,69.761,0.967769980430603,1.02107000350952,98.17965,32.8,32.3,36.5502944550975,7692.0,-30997.0,0.239809813928564,21.2,25.1,32.1804662573124,61.8610940517107,5.95843969097688,1.34512204374195,18.551,0.0,0.0,0.0,0.0,0.258,0.289,0.268,0.305,0.478,0.253,0.368,0.469,0.233,0.507,0.32,0.55,0.565,0.362,0.661,0.636,0.591,0.585,-0.011,0.421,0.326,0.576,0.717,0.125,0.25,0.497,0.384,0.486,0.656,0.415,0.805,0.125,0.489,0.718,0.529,0.495,0.696,0.744,0.532,0.369,0.53,0.534,0.451,0.319,0.612,0.781,0.38,0.309,0.484,0.068,-2.187,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9715319411536059,1.0,0.8169577266205499,0.7937005259840997,0.024803141437003122,0.024803141437003122,0.024803141437003122,17.7632575758,256.1948930766,0.0,18.5018939394,25.0812845576,0.1552668934,37.3651317601,3.1142588044,68.5063113604,3217.7740085401,3217.7740085401,0.0,0.0,0.0
1599,130,121,780,323,3482.0,17106752.0,243.0,354.0,911.0,1049.0,0.0,0.0,9.0,23503.3,31.6518309245762,1.79859542421127,7.50666239204921,3215881530.89597,436899695554.78,1248.2634589554,69.761,0.967769980430603,1.02107000350952,98.17965,32.8,32.3,36.5502944550975,7692.0,-30997.0,0.239809813928564,21.2,25.1,32.1804662573124,61.8610940517107,5.95843969097688,1.34512204374195,18.551,0.0,0.0,0.0,0.0,0.258,0.289,0.268,0.305,0.478,0.253,0.368,0.469,0.233,0.507,0.32,0.55,0.565,0.362,0.661,0.636,0.591,0.585,-0.011,0.421,0.326,0.576,0.717,0.125,0.25,0.497,0.384,0.486,0.656,0.415,0.805,0.125,0.489,0.718,0.529,0.495,0.696,0.744,0.532,0.369,0.53,0.534,0.451,0.319,0.612,0.781,0.38,0.309,0.484,0.068,-2.187,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9438743126816935,0.9715319411536059,0.7937005259840997,0.7711054127039704,0.024097044146999074,0.024097044146999074,0.024097044146999074,17.7632575758,256.1948930766,0.0,18.5018939394,25.0812845576,0.1552668934,37.3651317601,3.1142588044,68.5063113604,3217.7740085401,3217.7740085401,0.0,0.0,0.0
