,month_id,country_id,gleditsch_ward,ged_sb,ged_sb_tsum_24,wdi_sp_pop_totl,ged_sb_tlag_1,ged_sb_tlag_2,ged_sb_tlag_3,ged_sb_tlag_4,ged_sb_tlag_5,ged_sb_tlag_6,ged_os_tlag_1,wdi_ag_lnd_frst_k2,wdi_dt_oda_odat_pc_zs,wdi_ms_mil_xpnd_gd_zs,wdi_ms_mil_xpnd_zs,wdi_nv_agr_totl_kd,wdi_nv_agr_totl_kn,wdi_ny_gdp_pcap_kd,wdi_sp_dyn_le00_in,wdi_se_enr_prim_fm_zs,wdi_se_enr_prsc_fm_zs,wdi_se_prm_nenr,wdi_sh_sta_maln_zs,wdi_sh_sta_stnt_zs,wdi_sl_tlf_totl_fe_zs,wdi_sm_pop_refg_or,wdi_sm_pop_netm,wdi_sm_pop_totl_zs,wdi_sp_dyn_imrt_in,wdi_sh_dyn_mort_fe,wdi_sp_pop_0014_fe_zs,wdi_sp_pop_1564_fe_zs,wdi_sp_pop_65up_fe_zs,wdi_sp_pop_grow,wdi_sp_urb_totl_in_zs,splag_wdi_sl_tlf_totl_fe_zs,splag_wdi_sm_pop_refg_or,splag_wdi_sm_pop_netm,splag_wdi_ag_lnd_frst_k2,vdem_v2x_delibdem,vdem_v2x_egaldem,vdem_v2x_libdem,vdem_v2x_libdem_48,vdem_v2x_partip,vdem_v2x_partipdem,vdem_v2x_accountability,vdem_v2x_civlib,vdem_v2x_clphy,vdem_v2x_cspart,vdem_v2x_divparctrl,vdem_v2x_edcomp_thick,vdem_v2x_egal,vdem_v2x_execorr,vdem_v2x_frassoc_thick,vdem_v2x_gencs,vdem_v2x_gender,vdem_v2x_genpp,vdem_v2x_horacc,vdem_v2x_neopat,vdem_v2x_pubcorr,vdem_v2x_rule,vdem_v2x_veracc,vdem_v2x_ex_military,vdem_v2x_ex_party,vdem_v2x_freexp,vdem_v2xcl_acjst,vdem_v2xcl_dmove,vdem_v2xcl_prpty,vdem_v2xcl_rol,vdem_v2xcl_slave,vdem_v2xdd_dd,vdem_v2xdl_delib,vdem_v2xeg_eqdr,vdem_v2xeg_eqprotec,vdem_v2xel_frefair,vdem_v2xel_regelec,vdem_v2xme_altinf,vdem_v2xnp_client,vdem_v2xnp_regcorr,vdem_v2xpe_exlecon,vdem_v2xpe_exlpol,vdem_v2xpe_exlgeo,vdem_v2xpe_exlgender,vdem_v2xpe_exlsocgr,vdem_v2xps_party,vdem_v2xcs_ccsi,vdem_v2xnp_pres,vdem_v2xeg_eqaccess,vdem_v2x_diagacc,vdem_v2clrgunev,splag_vdem_v2x_libdem,splag_vdem_v2xcl_dmove,splag_vdem_v2x_accountability,splag_vdem_v2xpe_exlsocgr,splag_vdem_v2xcl_rol,decay_ged_sb_5,decay_ged_os_5,decay_ged_sb_100,decay_ged_sb_500,decay_ged_os_100,decay_ged_ns_5,decay_ged_ns_100,decay_acled_sb_5,decay_acled_os_5,decay_acled_ns_5,agr_withdrawal_pct_t48,dam_cap_pcap_t48,groundwater_export_t48,fresh_withdrawal_pct_t48,ind_efficiency_t48,irr_agr_efficiency_t48,services_efficiency_t48,general_efficiency_t48,water_stress_t48,renewable_internal_pcap_t48,renewable_pcap_t48,splag_1_decay_ged_sb_5,splag_1_decay_ged_os_5,splag_1_decay_ged_ns_5
53,121,59,625,1015,5530.0,20718709.0,234.0,856.0,2899.0,0.0,2.0,0.0,1000.0,307273.1,35.8091801429402,3.55196512149772,12.9303106633081,15792593617.4595,3960437634.6,1398.33959960938,49.337,0.845820009708405,0.836049973964691,0.0,27.0,38.3,23.5602751305057,438899.0,-224983.0,1.25264449650173,83.5,125.9,46.8238672660098,50.4900815492048,2.6860511847854,1.28674952805151,27.41,331.2104696852668,1723909.0,295698.0,2086653.8,0.05,0.076,0.062,0.105,0.158,0.061,-0.397,0.185,0.263,0.165,0.587,0.228,0.212,0.534,0.164,0.253,0.185,0.181,-0.222,0.797,0.605,0.167,0.183,1.0,0.125,0.194,0.127,0.157,0.188,0.099,0.111,0.176,0.121,0.387,0.048,0.136,0.045,0.484,0.526,0.579,0.838,0.737,0.738,0.856,0.913,0.593,0.206,0.822,0.154,-0.716,-2.822,0.6910000000000001,3.5070000000000006,-6.194,5.611000000000001,1.969,1.0,1.0,1.0,0.9715319411536059,1.0,0.9170040432046712,0.8169577266205499,0.03125,0.03125,0.03125,18.6466165414,378.1569117272,1.0,18.0199498747,0.0,0.0,0.0,0.0,46.7335716607,1299.5082877224,3456.6920453416,2.9273554127039705,2.8769354795919466,1.7297108254079407
220,122,59,625,669,6199.0,20718709.0,1015.0,234.0,856.0,2899.0,0.0,2.0,0.0,307273.1,35.8091801429402,3.55196512149772,12.9303106633081,15792593617.4595,3960437634.6,1398.33959960938,49.337,0.845820009708405,0.836049973964691,0.0,27.0,38.3,23.5602751305057,438899.0,-224983.0,1.25264449650173,83.5,125.9,46.8238672660098,50.4900815492048,2.6860511847854,1.28674952805151,27.41,331.2104696852668,1723909.0,295698.0,2086653.8,0.05,0.076,0.062,0.105,0.158,0.061,-0.397,0.185,0.263,0.165,0.587,0.228,0.212,0.534,0.164,0.253,0.185,0.181,-0.222,0.797,0.605,0.167,0.183,1.0,0.125,0.194,0.127,0.157,0.188,0.099,0.111,0.176,0.121,0.387,0.048,0.136,0.045,0.484,0.526,0.579,0.838,0.737,0.738,0.856,0.913,0.593,0.206,0.822,0.154,-0.716,-2.822,0.6910000000000001,3.5070000000000006,-6.194,5.611000000000001,1.969,1.0,0.9715319411536059,1.0,1.0,0.9715319411536059,0.8908987181403393,0.7937005259840997,0.03036037316105018,0.03036037316105018,0.03036037316105018,18.6466165414,378.1569117272,1.0,18.0199498747,0.0,0.0,0.0,0.0,46.7335716607,1299.5082877224,3456.6920453416,2.8724873453971975,2.8511603983799505,1.6804693158429826
387,123,59,625,1769,7968.0,20718709.0,669.0,1015.0,234.0,856.0,2899.0,0.0,0.0,307273.1,35.8091801429402,3.55196512149772,12.9303106633081,15792593617.4595,3960437634.6,1398.33959960938,49.337,0.845820009708405,0.836049973964691,0.0,27.0,38.3,23.5602751305057,438899.0,-224983.0,1.25264449650173,83.5,125.9,46.8238672660098,50.4900815492048,2.6860511847854,1.28674952805151,27.41,331.2104696852668,1723909.0,295698.0,2086653.8,0.05,0.076,0.062,0.105,0.158,0.061,-0.397,0.185,0.263,0.165,0.587,0.228,0.212,0.534,0.164,0.253,0.185,0.181,-0.222,0.797,0.605,0.167,0.183,1.0,0.125,0.194,0.127,0.157,0.188,0.099,0.111,0.176,0.121,0.387,0.048,0.136,0.045,0.484,0.526,0.579,0.838,0.737,0.738,0.856,0.913,0.593,0.206,0.822,0.154,-0.716,-2.822,0.6910000000000001,3.5070000000000006,-6.194,5.611000000000001,1.969,1.0,0.9438743126816935,1.0,1.0,0.9438743126816935,0.865536561006143,0.7711054127039704,0.029496072271302926,0.029496072271302926,0.029496072271302926,18.6466165414,378.1569117272,1.0,18.0199498747,0.0,0.0,0.0,0.0,46.7335716607,1299.5082877224,3456.6920453416,2.875306952777608,2.7699933963783616,1.632629616470005
556,124,59,625,0,7968.0,20718709.0,1769.0,669.0,1015.0,234.0,856.0,2899.0,7.0,307273.1,35.8091801429402,3.55196512149772,12.9303106633081,15792593617.4595,3960437634.6,1398.33959960938,49.337,0.845820009708405,0.836049973964691,0.0,27.0,38.3,23.5602751305057,438899.0,-224983.0,1.25264449650173,83.5,125.9,46.8238672660098,50.4900815492048,2.6860511847854,1.28674952805151,27.41,331.2104696852668,1723909.0,295698.0,2086653.8,0.05,0.076,0.062,0.105,0.158,0.061,-0.397,0.185,0.263,0.165,0.587,0.228,0.212,0.534,0.164,0.253,0.185,0.181,-0.222,0.797,0.605,0.167,0.183,1.0,0.125,0.194,0.127,0.157,0.188,0.099,0.111,0.176,0.121,0.387,0.048,0.136,0.045,0.484,0.526,0.579,0.838,0.737,0.738,0.856,0.913,0.593,0.206,0.822,0.154,-0.716,-2.822,0.6910000000000001,3.5070000000000006,-6.194,5.611000000000001,1.969,1.0,1.0,1.0,1.0,0.9170040432046712,0.8408964152537145,0.7491535384383408,0.028656376350145975,0.028656376350145975,0.028656376350145975,18.6466165414,378.1569117272,1.0,18.0199498747,0.0,0.0,0.0,0.0,46.7335716607,1299.5082877224,3456.6920453416,2.850388662937277,2.774133018161468,1.5861518204739709
724,125,59,625,54,8022.0,20718709.0,0.0,1769.0,669.0,1015.0,234.0,856.0,63.0,307273.1,35.8091801429402,3.55196512149772,12.9303106633081,15792593617.4595,3960437634.6,1398.33959960938,49.337,0.845820009708405,0.836049973964691,0.0,27.0,38.3,23.5602751305057,438899.0,-224983.0,1.25264449650173,83.5,125.9,46.8238672660098,50.4900815492048,2.6860511847854,1.28674952805151,27.41,331.2104696852668,1723909.0,295698.0,2086653.8,0.05,0.076,0.062,0.105,0.158,0.061,-0.397,0.185,0.263,0.165,0.587,0.228,0.212,0.534,0.164,0.253,0.185,0.181,-0.222,0.797,0.605,0.167,0.183,1.0,0.125,0.194,0.127,0.157,0.188,0.099,0.111,0.176,0.121,0.387,0.048,0.136,0.045,0.484,0.526,0.579,0.838,0.737,0.738,0.856,0.913,0.593,0.206,0.822,0.154,-0.716,-2.822,0.6910000000000001,3.5070000000000006,-6.194,5.611000000000001,1.969,0.9715319411536059,1.0,0.9715319411536059,0.9715319411536059,0.8908987181403393,0.8169577266205499,0.7278265914210937,0.027840584941885595,0.027840584941885595,0.027840584941885595,18.6466165414,378.1569117272,1.0,18.0199498747,0.0,0.0,0.0,0.0,46.7335716607,1299.5082877224,3456.6920453416,3.139202924709428,4.111362339767543,1.5409971571094025
893,126,59,625,608,8630.0,20718709.0,54.0,0.0,1769.0,669.0,1015.0,234.0,0.0,307273.1,35.8091801429402,3.55196512149772,12.9303106633081,15792593617.4595,3960437634.6,1398.33959960938,49.337,0.845820009708405,0.836049973964691,0.0,27.0,38.3,23.5602751305057,438899.0,-224983.0,1.25264449650173,83.5,125.9,46.8238672660098,50.4900815492048,2.6860511847854,1.28674952805151,27.41,331.2104696852668,1723909.0,295698.0,2086653.8,0.05,0.076,0.062,0.105,0.158,0.061,-0.397,0.185,0.263,0.165,0.587,0.228,0.212,0.534,0.164,0.253,0.185,0.181,-0.222,0.797,0.605,0.167,0.183,1.0,0.125,0.194,0.127,0.157,0.188,0.099,0.111,0.176,0.121,0.387,0.048,0.136,0.045,0.484,0.526,0.579,0.838,0.737,0.738,0.856,0.913,0.593,0.206,0.822,0.154,-0.716,-2.822,0.6910000000000001,3.5070000000000006,-6.194,5.611000000000001,1.969,1.0,0.9715319411536059,0.9438743126816935,0.9438743126816935,0.865536561006143,0.7937005259840997,0.7071067811865476,0.027048017531441974,0.027048017531441974,0.027048017531441974,18.6466165414,378.1569117272,1.0,18.0199498747,0.0,0.0,0.0,0.0,46.7335716607,1299.5082877224,3456.6920453416,3.13524008765721,5.024207934901538,1.4971279593586861
1060,127,59,625,225,8855.0,20718709.0,608.0,54.0,0.0,1769.0,669.0,1015.0,0.0,307273.1,35.8091801429402,3.55196512149772,12.9303106633081,15792593617.4595,3960437634.6,1398.33959960938,49.337,0.845820009708405,0.836049973964691,0.0,27.0,38.3,23.5602751305057,438899.0,-224983.0,1.25264449650173,83.5,125.9,46.8238672660098,50.4900815492048,2.6860511847854,1.28674952805151,27.41,331.2104696852668,1723909.0,295698.0,2086653.8,0.05,0.076,0.062,0.105,0.158,0.061,-0.397,0.185,0.263,0.165,0.587,0.228,0.212,0.534,0.164,0.253,0.185,0.181,-0.222,0.797,0.605,0.167,0.183,1.0,0.125,0.194,0.127,0.157,0.188,0.099,0.111,0.176,0.121,0.387,0.048,0.136,0.045,0.484,0.526,0.579,0.838,0.737,0.738,0.856,0.913,0.593,0.206,0.822,0.154,-0.716,-2.822,0.6910000000000001,3.5070000000000006,-6.194,5.611000000000001,1.969,1.0,0.9438743126816935,1.0,1.0,0.8408964152537145,0.7711054127039704,0.6869768237290446,0.026278012976678578,0.026278012976678578,0.026278012976678578,18.6466165414,378.1569117272,1.0,18.0199498747,0.0,0.0,0.0,0.0,46.7335716607,1299.5082877224,3456.6920453416,3.102922006036999,4.937304175072547,1.454507632511081
1227,128,59,625,119,8974.0,20718709.0,225.0,608.0,54.0,0.0,1769.0,669.0,0.0,307273.1,35.8091801429402,3.55196512149772,12.9303106633081,15792593617.4595,3960437634.6,1398.33959960938,49.337,0.845820009708405,0.836049973964691,0.0,27.0,38.3,23.5602751305057,438899.0,-224983.0,1.25264449650173,83.5,125.9,46.8238672660098,50.4900815492048,2.6860511847854,1.28674952805151,27.41,331.2104696852668,1723909.0,295698.0,2086653.8,0.05,0.076,0.062,0.105,0.158,0.061,-0.397,0.185,0.263,0.165,0.587,0.228,0.212,0.534,0.164,0.253,0.185,0.181,-0.222,0.797,0.605,0.167,0.183,1.0,0.125,0.194,0.127,0.157,0.188,0.099,0.111,0.176,0.121,0.387,0.048,0.136,0.045,0.484,0.526,0.579,0.838,0.737,0.738,0.856,0.913,0.593,0.206,0.822,0.154,-0.716,-2.822,0.6910000000000001,3.5070000000000006,-6.194,5.611000000000001,1.969,1.0,0.9170040432046712,1.0,0.9715319411536059,0.8169577266205499,0.7491535384383408,0.6674199270850172,0.02552992895689218,0.02552992895689218,0.02552992895689218,18.6466165414,378.1569117272,1.0,18.0199498747,0.0,0.0,0.0,0.0,46.7335716607,1299.5082877224,3456.6920453416,3.0715239574661544,4.796748709274034,1.4131006236362262
1394,129,59,625,409,9383.0,20718709.0,119.0,225.0,608.0,54.0,0.0,1769.0,0.0,307273.1,35.8091801429402,3.55196512149772,12.9303106633081,15792593617.4595,3960437634.6,1398.33959960938,49.337,0.845820009708405,0.836049973964691,0.0,27.0,38.3,23.5602751305057,438899.0,-224983.0,1.25264449650173,83.5,125.9,46.8238672660098,50.4900815492048,2.6860511847854,1.28674952805151,27.41,331.2104696852668,1723909.0,295698.0,2086653.8,0.05,0.076,0.062,0.105,0.158,0.061,-0.397,0.185,0.263,0.165,0.587,0.228,0.212,0.534,0.164,0.253,0.185,0.181,-0.222,0.797,0.605,0.167,0.183,1.0,0.125,0.194,0.127,0.157,0.188,0.099,0.111,0.176,0.121,0.387,0.048,0.136,0.045,0.484,0.526,0.579,0.838,0.737,0.738,0.856,0.913,0.593,0.206,0.822,0.154,-0.716,-2.822,0.6910000000000001,3.5070000000000006,-6.194,5.611000000000001,1.969,1.0,0.8908987181403393,1.0,0.9438743126816935,0.7937005259840997,0.7278265914210937,0.6484197773255048,0.024803141437003122,0.024803141437003122,0.024803141437003122,18.6466165414,378.1569117272,1.0,18.0199498747,0.0,0.0,0.0,0.0,46.7335716607,1299.5082877224,3456.6920453416,3.0410197503896867,4.799316228860691,1.3728723919266739
1561,130,59,625,60,9443.0,20718709.0,409.0,119.0,225.0,608.0,54.0,0.0,0.0,307273.1,35.8091801429402,3.55196512149772,12.9303106633081,15792593617.4595,3960437634.6,1398.33959960938,49.337,0.845820009708405,0.836049973964691,0.0,27.0,38.3,23.5602751305057,438899.0,-224983.0,1.25264449650173,83.5,125.9,46.8238672660098,50.4900815492048,2.6860511847854,1.28674952805151,27.41,331.2104696852668,1723909.0,295698.0,2086653.8,0.05,0.076,0.062,0.105,0.158,0.061,-0.397,0.185,0.263,0.165,0.587,0.228,0.212,0.534,0.164,0.253,0.185,0.181,-0.222,0.797,0.605,0.167,0.183,1.0,0.125,0.194,0.127,0.157,0.188,0.099,0.111,0.176,0.121,0.387,0.048,0.136,0.045,0.484,0.526,0.579,0.838,0.737,0.738,0.856,0.913,0.593,0.206,0.822,0.154,-0.716,-2.822,0.6910000000000001,3.5070000000000006,-6.194,5.611000000000001,1.969,1.0,0.865536561006143,1.0,0.9170040432046712,0.7711054127039704,0.7071067811865476,0.6299605249474366,0.024097044146999074,0.024097044146999074,0.024097044146999074,18.6466165414,378.1569117272,1.0,18.0199498747,0.0,0.0,0.0,0.0,46.7335716607,1299.5082877224,3456.6920453416,3.0113839388753343,4.7196251297278184,1.3337893798847156
