,month_id,country_id,gleditsch_ward,ged_sb,ged_sb_tsum_24,wdi_sp_pop_totl,ged_sb_tlag_1,ged_sb_tlag_2,ged_sb_tlag_3,ged_sb_tlag_4,ged_sb_tlag_5,ged_sb_tlag_6,ged_os_tlag_1,wdi_ag_lnd_frst_k2,wdi_dt_oda_odat_pc_zs,wdi_ms_mil_xpnd_gd_zs,wdi_ms_mil_xpnd_zs,wdi_nv_agr_totl_kd,wdi_nv_agr_totl_kn,wdi_ny_gdp_pcap_kd,wdi_sp_dyn_le00_in,wdi_se_enr_prim_fm_zs,wdi_se_enr_prsc_fm_zs,wdi_se_prm_nenr,wdi_sh_sta_maln_zs,wdi_sh_sta_stnt_zs,wdi_sl_tlf_totl_fe_zs,wdi_sm_pop_refg_or,wdi_sm_pop_netm,wdi_sm_pop_totl_zs,wdi_sp_dyn_imrt_in,wdi_sh_dyn_mort_fe,wdi_sp_pop_0014_fe_zs,wdi_sp_pop_1564_fe_zs,wdi_sp_pop_65up_fe_zs,wdi_sp_pop_grow,wdi_sp_urb_totl_in_zs,splag_wdi_sl_tlf_totl_fe_zs,splag_wdi_sm_pop_refg_or,splag_wdi_sm_pop_netm,splag_wdi_ag_lnd_frst_k2,vdem_v2x_delibdem,vdem_v2x_egaldem,vdem_v2x_libdem,vdem_v2x_libdem_48,vdem_v2x_partip,vdem_v2x_partipdem,vdem_v2x_accountability,vdem_v2x_civlib,vdem_v2x_clphy,vdem_v2x_cspart,vdem_v2x_divparctrl,vdem_v2x_edcomp_thick,vdem_v2x_egal,vdem_v2x_execorr,vdem_v2x_frassoc_thick,vdem_v2x_gencs,vdem_v2x_gender,vdem_v2x_genpp,vdem_v2x_horacc,vdem_v2x_neopat,vdem_v2x_pubcorr,vdem_v2x_rule,vdem_v2x_veracc,vdem_v2x_ex_military,vdem_v2x_ex_party,vdem_v2x_freexp,vdem_v2xcl_acjst,vdem_v2xcl_dmove,vdem_v2xcl_prpty,vdem_v2xcl_rol,vdem_v2xcl_slave,vdem_v2xdd_dd,vdem_v2xdl_delib,vdem_v2xeg_eqdr,vdem_v2xeg_eqprotec,vdem_v2xel_frefair,vdem_v2xel_regelec,vdem_v2xme_altinf,vdem_v2xnp_client,vdem_v2xnp_regcorr,vdem_v2xpe_exlecon,vdem_v2xpe_exlpol,vdem_v2xpe_exlgeo,vdem_v2xpe_exlgender,vdem_v2xpe_exlsocgr,vdem_v2xps_party,vdem_v2xcs_ccsi,vdem_v2xnp_pres,vdem_v2xeg_eqaccess,vdem_v2x_diagacc,vdem_v2clrgunev,splag_vdem_v2x_libdem,splag_vdem_v2xcl_dmove,splag_vdem_v2x_accountability,splag_vdem_v2xpe_exlsocgr,splag_vdem_v2xcl_rol,decay_ged_sb_5,decay_ged_os_5,decay_ged_sb_100,decay_ged_sb_500,decay_ged_os_100,decay_ged_ns_5,decay_ged_ns_100,decay_acled_sb_5,decay_acled_os_5,decay_acled_ns_5,agr_withdrawal_pct_t48,dam_cap_pcap_t48,groundwater_export_t48,fresh_withdrawal_pct_t48,ind_efficiency_t48,irr_agr_efficiency_t48,services_efficiency_t48,general_efficiency_t48,water_stress_t48,renewable_internal_pcap_t48,renewable_pcap_t48,splag_1_decay_ged_sb_5,splag_1_decay_ged_os_5,splag_1_decay_ged_ns_5
157,121,220,652,0,0.0,12034097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720.8,10.3555757234284,7.97254083449821,24.2995213670706,10929062816.6135,223749000000.0,939.070654238758,69.76,0.901880025863647,0.840910017490387,95.03837,11.5,32.8,18.5474821646975,397.0,-12471.0,5.73535528419419,31.1,35.2,46.5209028185164,50.4156798041804,3.06341737730324,3.17709552143143,48.723,116.6836805296171,512966.0,95434.0,209566.8,0.021,0.13,0.036,0.038,0.165,0.057,-1.358,0.103,0.071,0.083,-0.687,0.268,0.431,0.884,0.052,0.46,0.411,0.392,-1.508,0.957,0.827,0.082,-0.41,0.3,0.1,0.022,0.111,0.34,0.445,0.147,0.806,0.2,0.036,0.356,0.656,0.064,0.187,0.026,0.697,0.892,0.293,0.873,0.42,0.589,0.827,0.375,0.031,0.961,0.287,-1.691,-1.055,1.443,2.586,0.8360000000000002,3.0209999999999995,2.6990000000000003,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,68.02761576,1185.7022436377,0.34,54.1694771786,10.4612955444,0.1777299838,9.8472760126,1.2061814828,81.0540168809,648.1119332565,1526.8615679438,2.9795040432046713,2.0376243126816935,1.125
324,122,220,652,0,0.0,12034097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720.8,10.3555757234284,7.97254083449821,24.2995213670706,10929062816.6135,223749000000.0,939.070654238758,69.76,0.901880025863647,0.840910017490387,95.03837,11.5,32.8,18.5474821646975,397.0,-12471.0,5.73535528419419,31.1,35.2,46.5209028185164,50.4156798041804,3.06341737730324,3.17709552143143,48.723,116.6836805296171,512966.0,95434.0,209566.8,0.021,0.13,0.036,0.038,0.165,0.057,-1.358,0.103,0.071,0.083,-0.687,0.268,0.431,0.884,0.052,0.46,0.411,0.392,-1.508,0.957,0.827,0.082,-0.41,0.3,0.1,0.022,0.111,0.34,0.445,0.147,0.806,0.2,0.036,0.356,0.656,0.064,0.187,0.026,0.697,0.892,0.293,0.873,0.42,0.589,0.827,0.375,0.031,0.961,0.287,-1.691,-1.055,1.443,2.586,0.8360000000000002,3.0209999999999995,2.6990000000000003,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,68.02761576,1185.7022436377,0.34,54.1694771786,10.4612955444,0.1777299838,9.8472760126,1.2061814828,81.0540168809,648.1119332565,1526.8615679438,2.9516194644624396,3.0322526874757063,1.121441492644201
493,123,220,652,0,0.0,12034097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720.8,10.3555757234284,7.97254083449821,24.2995213670706,10929062816.6135,223749000000.0,939.070654238758,69.76,0.901880025863647,0.840910017490387,95.03837,11.5,32.8,18.5474821646975,397.0,-12471.0,5.73535528419419,31.1,35.2,46.5209028185164,50.4156798041804,3.06341737730324,3.17709552143143,48.723,116.6836805296171,512966.0,95434.0,209566.8,0.021,0.13,0.036,0.038,0.165,0.057,-1.358,0.103,0.071,0.083,-0.687,0.268,0.431,0.884,0.052,0.46,0.411,0.392,-1.508,0.957,0.827,0.082,-0.41,0.3,0.1,0.022,0.111,0.34,0.445,0.147,0.806,0.2,0.036,0.356,0.656,0.064,0.187,0.026,0.697,0.892,0.293,0.873,0.42,0.589,0.827,0.375,0.031,0.961,0.287,-1.691,-1.055,1.443,2.586,0.8360000000000002,3.0209999999999995,2.6990000000000003,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,68.02761576,1185.7022436377,0.34,54.1694771786,10.4612955444,0.1777299838,9.8472760126,1.2061814828,81.0540168809,648.1119332565,1526.8615679438,3.030524085696212,2.945930339531511,1.1179842890852116
661,124,220,652,0,0.0,12034097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720.8,10.3555757234284,7.97254083449821,24.2995213670706,10929062816.6135,223749000000.0,939.070654238758,69.76,0.901880025863647,0.840910017490387,95.03837,11.5,32.8,18.5474821646975,397.0,-12471.0,5.73535528419419,31.1,35.2,46.5209028185164,50.4156798041804,3.06341737730324,3.17709552143143,48.723,116.6836805296171,512966.0,95434.0,209566.8,0.021,0.13,0.036,0.038,0.165,0.057,-1.358,0.103,0.071,0.083,-0.687,0.268,0.431,0.884,0.052,0.46,0.411,0.392,-1.508,0.957,0.827,0.082,-0.41,0.3,0.1,0.022,0.111,0.34,0.445,0.147,0.806,0.2,0.036,0.356,0.656,0.064,0.187,0.026,0.697,0.892,0.293,0.873,0.42,0.589,0.827,0.375,0.031,0.961,0.287,-1.691,-1.055,1.443,2.586,0.8360000000000002,3.0209999999999995,2.6990000000000003,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,68.02761576,1185.7022436377,0.34,54.1694771786,10.4612955444,0.1777299838,9.8472760126,1.2061814828,81.0540168809,648.1119332565,1526.8615679438,3.0011870653819854,2.945061378063679,1.1146255054005838
829,125,220,652,0,0.0,12034097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720.8,10.3555757234284,7.97254083449821,24.2995213670706,10929062816.6135,223749000000.0,939.070654238758,69.76,0.901880025863647,0.840910017490387,95.03837,11.5,32.8,18.5474821646975,397.0,-12471.0,5.73535528419419,31.1,35.2,46.5209028185164,50.4156798041804,3.06341737730324,3.17709552143143,48.723,116.6836805296171,512966.0,95434.0,209566.8,0.021,0.13,0.036,0.038,0.165,0.057,-1.358,0.103,0.071,0.083,-0.687,0.268,0.431,0.884,0.052,0.46,0.411,0.392,-1.508,0.957,0.827,0.082,-0.41,0.3,0.1,0.022,0.111,0.34,0.445,0.147,0.806,0.2,0.036,0.356,0.656,0.064,0.187,0.026,0.697,0.892,0.293,0.873,0.42,0.589,0.827,0.375,0.031,0.961,0.287,-1.691,-1.055,1.443,2.586,0.8360000000000002,3.0209999999999995,2.6990000000000003,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,68.02761576,1185.7022436377,0.34,54.1694771786,10.4612955444,0.1777299838,9.8472760126,1.2061814828,81.0540168809,648.1119332565,1526.8615679438,2.9726852130884422,2.8896892562931136,1.1113623397675425
996,126,220,652,0,0.0,12034097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720.8,10.3555757234284,7.97254083449821,24.2995213670706,10929062816.6135,223749000000.0,939.070654238758,69.76,0.901880025863647,0.840910017490387,95.03837,11.5,32.8,18.5474821646975,397.0,-12471.0,5.73535528419419,31.1,35.2,46.5209028185164,50.4156798041804,3.06341737730324,3.17709552143143,48.723,116.6836805296171,512966.0,95434.0,209566.8,0.021,0.13,0.036,0.038,0.165,0.057,-1.358,0.103,0.071,0.083,-0.687,0.268,0.431,0.884,0.052,0.46,0.411,0.392,-1.508,0.957,0.827,0.082,-0.41,0.3,0.1,0.022,0.111,0.34,0.445,0.147,0.806,0.2,0.036,0.356,0.656,0.064,0.187,0.026,0.697,0.892,0.293,0.873,0.42,0.589,0.827,0.375,0.031,0.961,0.287,-1.691,-1.055,1.443,2.586,0.8360000000000002,3.0209999999999995,2.6990000000000003,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.027048017531441974,0.027048017531441974,68.02761576,1185.7022436377,0.34,54.1694771786,10.4612955444,0.1777299838,9.8472760126,1.2061814828,81.0540168809,648.1119332565,1526.8615679438,2.916526694356829,2.8358934713435624,1.108192070125768
1163,127,220,652,0,0.0,12034097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720.8,10.3555757234284,7.97254083449821,24.2995213670706,10929062816.6135,223749000000.0,939.070654238758,69.76,0.901880025863647,0.840910017490387,95.03837,11.5,32.8,18.5474821646975,397.0,-12471.0,5.73535528419419,31.1,35.2,46.5209028185164,50.4156798041804,3.06341737730324,3.17709552143143,48.723,116.6836805296171,512966.0,95434.0,209566.8,0.021,0.13,0.036,0.038,0.165,0.057,-1.358,0.103,0.071,0.083,-0.687,0.268,0.431,0.884,0.052,0.46,0.411,0.392,-1.508,0.957,0.827,0.082,-0.41,0.3,0.1,0.022,0.111,0.34,0.445,0.147,0.806,0.2,0.036,0.356,0.656,0.064,0.187,0.026,0.697,0.892,0.293,0.873,0.42,0.589,0.827,0.375,0.031,0.961,0.287,-1.691,-1.055,1.443,2.586,0.8360000000000002,3.0209999999999995,2.6990000000000003,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.026278012976678578,0.026278012976678578,68.02761576,1185.7022436377,0.34,54.1694771786,10.4612955444,0.1777299838,9.8472760126,1.2061814828,81.0540168809,648.1119332565,1526.8615679438,2.9964303386350504,2.7836291479656428,1.1051120519067144
1330,128,220,652,0,0.0,12034097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720.8,10.3555757234284,7.97254083449821,24.2995213670706,10929062816.6135,223749000000.0,939.070654238758,69.76,0.901880025863647,0.840910017490387,95.03837,11.5,32.8,18.5474821646975,397.0,-12471.0,5.73535528419419,31.1,35.2,46.5209028185164,50.4156798041804,3.06341737730324,3.17709552143143,48.723,116.6836805296171,512966.0,95434.0,209566.8,0.021,0.13,0.036,0.038,0.165,0.057,-1.358,0.103,0.071,0.083,-0.687,0.268,0.431,0.884,0.052,0.46,0.411,0.392,-1.508,0.957,0.827,0.082,-0.41,0.3,0.1,0.022,0.111,0.34,0.445,0.147,0.806,0.2,0.036,0.356,0.656,0.064,0.187,0.026,0.697,0.892,0.293,0.873,0.42,0.589,0.827,0.375,0.031,0.961,0.287,-1.691,-1.055,1.443,2.586,0.8360000000000002,3.0209999999999995,2.6990000000000003,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.02552992895689218,0.02552992895689218,68.02761576,1185.7022436377,0.34,54.1694771786,10.4612955444,0.1777299838,9.8472760126,1.2061814828,81.0540168809,648.1119332565,1526.8615679438,3.02259179906739,2.704384629574819,1.1021197158275688
1497,129,220,652,0,0.0,12034097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720.8,10.3555757234284,7.97254083449821,24.2995213670706,10929062816.6135,223749000000.0,939.070654238758,69.76,0.901880025863647,0.840910017490387,95.03837,11.5,32.8,18.5474821646975,397.0,-12471.0,5.73535528419419,31.1,35.2,46.5209028185164,50.4156798041804,3.06341737730324,3.17709552143143,48.723,116.6836805296171,512966.0,95434.0,209566.8,0.021,0.13,0.036,0.038,0.165,0.057,-1.358,0.103,0.071,0.083,-0.687,0.268,0.431,0.884,0.052,0.46,0.411,0.392,-1.508,0.957,0.827,0.082,-0.41,0.3,0.1,0.022,0.111,0.34,0.445,0.147,0.806,0.2,0.036,0.356,0.656,0.064,0.187,0.026,0.697,0.892,0.293,0.873,0.42,0.589,0.827,0.375,0.031,0.961,0.287,-1.691,-1.055,1.443,2.586,0.8360000000000002,3.0209999999999995,2.6990000000000003,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.024803141437003122,0.024803141437003122,68.02761576,1185.7022436377,0.34,54.1694771786,10.4612955444,0.1777299838,9.8472760126,1.2061814828,81.0540168809,648.1119332565,1526.8615679438,2.965012536709305,2.6273960487967996,1.0992125657480125
1665,130,220,652,0,0.0,12034097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720.8,10.3555757234284,7.97254083449821,24.2995213670706,10929062816.6135,223749000000.0,939.070654238758,69.76,0.901880025863647,0.840910017490387,95.03837,11.5,32.8,18.5474821646975,397.0,-12471.0,5.73535528419419,31.1,35.2,46.5209028185164,50.4156798041804,3.06341737730324,3.17709552143143,48.723,116.6836805296171,512966.0,95434.0,209566.8,0.021,0.13,0.036,0.038,0.165,0.057,-1.358,0.103,0.071,0.083,-0.687,0.268,0.431,0.884,0.052,0.46,0.411,0.392,-1.508,0.957,0.827,0.082,-0.41,0.3,0.1,0.022,0.111,0.34,0.445,0.147,0.806,0.2,0.036,0.356,0.656,0.064,0.187,0.026,0.697,0.892,0.293,0.873,0.42,0.589,0.827,0.375,0.031,0.961,0.287,-1.691,-1.055,1.443,2.586,0.8360000000000002,3.0209999999999995,2.6990000000000003,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.024097044146999074,0.024097044146999074,68.02761576,1185.7022436377,0.34,54.1694771786,10.4612955444,0.1777299838,9.8472760126,1.2061814828,81.0540168809,648.1119332565,1526.8615679438,2.909072444180363,2.6355951402621978,1.0963881765879961
