,month_id,country_id,gleditsch_ward,ged_sb,ged_sb_tsum_24,wdi_sp_pop_totl,ged_sb_tlag_1,ged_sb_tlag_2,ged_sb_tlag_3,ged_sb_tlag_4,ged_sb_tlag_5,ged_sb_tlag_6,ged_os_tlag_1,wdi_ag_lnd_frst_k2,wdi_dt_oda_odat_pc_zs,wdi_ms_mil_xpnd_gd_zs,wdi_ms_mil_xpnd_zs,wdi_nv_agr_totl_kd,wdi_nv_agr_totl_kn,wdi_ny_gdp_pcap_kd,wdi_sp_dyn_le00_in,wdi_se_enr_prim_fm_zs,wdi_se_enr_prsc_fm_zs,wdi_se_prm_nenr,wdi_sh_sta_maln_zs,wdi_sh_sta_stnt_zs,wdi_sl_tlf_totl_fe_zs,wdi_sm_pop_refg_or,wdi_sm_pop_netm,wdi_sm_pop_totl_zs,wdi_sp_dyn_imrt_in,wdi_sh_dyn_mort_fe,wdi_sp_pop_0014_fe_zs,wdi_sp_pop_1564_fe_zs,wdi_sp_pop_65up_fe_zs,wdi_sp_pop_grow,wdi_sp_urb_totl_in_zs,splag_wdi_sl_tlf_totl_fe_zs,splag_wdi_sm_pop_refg_or,splag_wdi_sm_pop_netm,splag_wdi_ag_lnd_frst_k2,vdem_v2x_delibdem,vdem_v2x_egaldem,vdem_v2x_libdem,vdem_v2x_libdem_48,vdem_v2x_partip,vdem_v2x_partipdem,vdem_v2x_accountability,vdem_v2x_civlib,vdem_v2x_clphy,vdem_v2x_cspart,vdem_v2x_divparctrl,vdem_v2x_edcomp_thick,vdem_v2x_egal,vdem_v2x_execorr,vdem_v2x_frassoc_thick,vdem_v2x_gencs,vdem_v2x_gender,vdem_v2x_genpp,vdem_v2x_horacc,vdem_v2x_neopat,vdem_v2x_pubcorr,vdem_v2x_rule,vdem_v2x_veracc,vdem_v2x_ex_military,vdem_v2x_ex_party,vdem_v2x_freexp,vdem_v2xcl_acjst,vdem_v2xcl_dmove,vdem_v2xcl_prpty,vdem_v2xcl_rol,vdem_v2xcl_slave,vdem_v2xdd_dd,vdem_v2xdl_delib,vdem_v2xeg_eqdr,vdem_v2xeg_eqprotec,vdem_v2xel_frefair,vdem_v2xel_regelec,vdem_v2xme_altinf,vdem_v2xnp_client,vdem_v2xnp_regcorr,vdem_v2xpe_exlecon,vdem_v2xpe_exlpol,vdem_v2xpe_exlgeo,vdem_v2xpe_exlgender,vdem_v2xpe_exlsocgr,vdem_v2xps_party,vdem_v2xcs_ccsi,vdem_v2xnp_pres,vdem_v2xeg_eqaccess,vdem_v2x_diagacc,vdem_v2clrgunev,splag_vdem_v2x_libdem,splag_vdem_v2xcl_dmove,splag_vdem_v2x_accountability,splag_vdem_v2xpe_exlsocgr,splag_vdem_v2xcl_rol,decay_ged_sb_5,decay_ged_os_5,decay_ged_sb_100,decay_ged_sb_500,decay_ged_os_100,decay_ged_ns_5,decay_ged_ns_100,decay_acled_sb_5,decay_acled_os_5,decay_acled_ns_5,agr_withdrawal_pct_t48,dam_cap_pcap_t48,groundwater_export_t48,fresh_withdrawal_pct_t48,ind_efficiency_t48,irr_agr_efficiency_t48,services_efficiency_t48,general_efficiency_t48,water_stress_t48,renewable_internal_pcap_t48,renewable_pcap_t48,splag_1_decay_ged_sb_5,splag_1_decay_ged_os_5,splag_1_decay_ged_ns_5
147,121,196,678,0,0.0,12872362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0762486930757,0.0,0.0,0.0,0.0,0.0,58.218,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,-16888.0,0.0,91.4,124.7,49.8472908654649,46.8387430612673,3.31396607326785,3.84157832731803,20.385,0.0,0.0,0.0,0.0,0.083,0.075,0.073,0.062,0.03,0.024,-0.708,0.145,0.174,0.092,-1.483,0.27,0.211,0.47,0.06,0.077,0.14,0.19,-0.454,0.704,0.313,0.377,-0.267,0.5,0.25,0.141,0.217,0.122,0.166,0.155,0.371,0.0,0.239,0.126,0.159,0.157,0.0,0.212,0.67,0.422,0.918,0.924,0.902,0.955,0.924,0.104,0.173,0.743,0.302,-0.712,-0.374,0.127,0.6940000000000001,-2.107,0.0,0.364,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.0,0.5870572388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.2440372598,211.2440372598,0.0625,0.0625,0.0625
314,122,196,678,0,0.0,12872362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0762486930757,0.0,0.0,0.0,0.0,0.0,58.218,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,-16888.0,0.0,91.4,124.7,49.8472908654649,46.8387430612673,3.31396607326785,3.84157832731803,20.385,0.0,0.0,0.0,0.0,0.083,0.075,0.073,0.062,0.03,0.024,-0.708,0.145,0.174,0.092,-1.483,0.27,0.211,0.47,0.06,0.077,0.14,0.19,-0.454,0.704,0.313,0.377,-0.267,0.5,0.25,0.141,0.217,0.122,0.166,0.155,0.371,0.0,0.239,0.126,0.159,0.157,0.0,0.212,0.67,0.422,0.918,0.924,0.902,0.955,0.924,0.104,0.173,0.743,0.302,-0.712,-0.374,0.127,0.6940000000000001,-2.107,0.0,0.364,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.03036037316105018,0.0,0.5870572388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.2440372598,211.2440372598,0.06072074632210036,0.06072074632210036,0.06072074632210036
483,123,196,678,0,0.0,12872362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0762486930757,0.0,0.0,0.0,0.0,0.0,58.218,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,-16888.0,0.0,91.4,124.7,49.8472908654649,46.8387430612673,3.31396607326785,3.84157832731803,20.385,0.0,0.0,0.0,0.0,0.083,0.075,0.073,0.062,0.03,0.024,-0.708,0.145,0.174,0.092,-1.483,0.27,0.211,0.47,0.06,0.077,0.14,0.19,-0.454,0.704,0.313,0.377,-0.267,0.5,0.25,0.141,0.217,0.122,0.166,0.155,0.371,0.0,0.239,0.126,0.159,0.157,0.0,0.212,0.67,0.422,0.918,0.924,0.902,0.955,0.924,0.104,0.173,0.743,0.302,-0.712,-0.374,0.127,0.6940000000000001,-2.107,0.0,0.364,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.029496072271302926,0.0,0.5870572388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.2440372598,211.2440372598,0.05899214454260585,0.05899214454260585,0.05899214454260585
651,124,196,678,0,0.0,12872362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0762486930757,0.0,0.0,0.0,0.0,0.0,58.218,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,-16888.0,0.0,91.4,124.7,49.8472908654649,46.8387430612673,3.31396607326785,3.84157832731803,20.385,0.0,0.0,0.0,0.0,0.083,0.075,0.073,0.062,0.03,0.024,-0.708,0.145,0.174,0.092,-1.483,0.27,0.211,0.47,0.06,0.077,0.14,0.19,-0.454,0.704,0.313,0.377,-0.267,0.5,0.25,0.141,0.217,0.122,0.166,0.155,0.371,0.0,0.239,0.126,0.159,0.157,0.0,0.212,0.67,0.422,0.918,0.924,0.902,0.955,0.924,0.104,0.173,0.743,0.302,-0.712,-0.374,0.127,0.6940000000000001,-2.107,0.0,0.364,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.028656376350145975,0.0,0.5870572388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.2440372598,211.2440372598,0.05731275270029195,0.05731275270029195,0.05731275270029195
819,125,196,678,0,0.0,12872362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0762486930757,0.0,0.0,0.0,0.0,0.0,58.218,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,-16888.0,0.0,91.4,124.7,49.8472908654649,46.8387430612673,3.31396607326785,3.84157832731803,20.385,0.0,0.0,0.0,0.0,0.083,0.075,0.073,0.062,0.03,0.024,-0.708,0.145,0.174,0.092,-1.483,0.27,0.211,0.47,0.06,0.077,0.14,0.19,-0.454,0.704,0.313,0.377,-0.267,0.5,0.25,0.141,0.217,0.122,0.166,0.155,0.371,0.0,0.239,0.126,0.159,0.157,0.0,0.212,0.67,0.422,0.918,0.924,0.902,0.955,0.924,0.104,0.173,0.743,0.302,-0.712,-0.374,0.0,0.0,0.0,0.0,0.0,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.027840584941885595,0.0,0.5870572388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.2440372598,211.2440372598,0.0,0.0,0.0
837,125,240,678,0,0.0,13375121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5490.0,33.6318442705876,6.55118344395031,24.5952803856889,4013450379.0343,36074000000.0,1788.22988572812,58.699,0.557709991931915,0.491369992494583,56.75265,29.9,50.4,18.8827939822894,5.0,-15868.0,0.993746477643902,88.7,120.8,50.0171142919856,46.703118684279,3.27976702373542,3.83138071176847,20.931,25.5725706803189,10.0,215402.0,9800.0,0.156,0.097,0.115,0.115,0.043,0.037,-0.287,0.228,0.197,0.132,0.743,0.333,0.245,0.562,0.299,0.226,0.219,0.306,-0.028,0.707,0.501,0.287,0.001,0.5,0.048,0.234,0.25,0.147,0.193,0.193,0.372,0.0,0.443,0.144,0.183,0.238,0.0,0.259,0.427,0.668,0.902,0.861,0.893,0.929,0.898,0.298,0.225,0.643,0.363,-0.441,-0.374,0.10500000000000001,0.604,-2.472,1.5270000000000001,0.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.5714285714,34.6999353458,0.0,139.1428571429,103.9073963956,0.0,40.288309284,0.0,139.1428571429,350.9,179.3340098495,0.05568116988377119,0.05568116988377119,0.05568116988377119
1004,126,240,678,0,0.0,13375121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5490.0,33.6318442705876,6.55118344395031,24.5952803856889,4013450379.0343,36074000000.0,1788.22988572812,58.699,0.557709991931915,0.491369992494583,56.75265,29.9,50.4,18.8827939822894,5.0,-15868.0,0.993746477643902,88.7,120.8,50.0171142919856,46.703118684279,3.27976702373542,3.83138071176847,20.931,25.5725706803189,10.0,215402.0,9800.0,0.156,0.097,0.115,0.115,0.043,0.037,-0.287,0.228,0.197,0.132,0.743,0.333,0.245,0.562,0.299,0.226,0.219,0.306,-0.028,0.707,0.501,0.287,0.001,0.5,0.048,0.234,0.25,0.147,0.193,0.193,0.372,0.0,0.443,0.144,0.183,0.238,0.0,0.259,0.427,0.668,0.902,0.861,0.893,0.929,0.898,0.298,0.225,0.643,0.363,-0.441,-0.374,0.10500000000000001,0.604,-2.472,1.5270000000000001,0.677,0.9715319411536059,0.9715319411536059,0.9715319411536059,0.9715319411536059,0.9715319411536059,0.9715319411536059,0.9715319411536059,0.9715319411536059,0.9715319411536059,0.9715319411536059,128.5714285714,34.6999353458,0.0,139.1428571429,103.9073963956,0.0,40.288309284,0.0,139.1428571429,350.9,179.3340098495,0.05409603506288395,0.05409603506288395,0.05409603506288395
1171,127,240,678,0,0.0,13375121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5490.0,33.6318442705876,6.55118344395031,24.5952803856889,4013450379.0343,36074000000.0,1788.22988572812,58.699,0.557709991931915,0.491369992494583,56.75265,29.9,50.4,18.8827939822894,5.0,-15868.0,0.993746477643902,88.7,120.8,50.0171142919856,46.703118684279,3.27976702373542,3.83138071176847,20.931,25.5725706803189,10.0,215402.0,9800.0,0.156,0.097,0.115,0.115,0.043,0.037,-0.287,0.228,0.197,0.132,0.743,0.333,0.245,0.562,0.299,0.226,0.219,0.306,-0.028,0.707,0.501,0.287,0.001,0.5,0.048,0.234,0.25,0.147,0.193,0.193,0.372,0.0,0.443,0.144,0.183,0.238,0.0,0.259,0.427,0.668,0.902,0.861,0.893,0.929,0.898,0.298,0.225,0.643,0.363,-0.441,-0.374,0.10500000000000001,0.604,-2.472,1.5270000000000001,0.677,0.9438743126816935,0.9438743126816935,0.9438743126816935,0.9438743126816935,0.9438743126816935,0.9438743126816935,0.9438743126816935,0.9438743126816935,0.9438743126816935,0.9438743126816935,128.5714285714,34.6999353458,0.0,139.1428571429,103.9073963956,0.0,40.288309284,0.0,139.1428571429,350.9,179.3340098495,0.052556025953357156,0.052556025953357156,0.052556025953357156
1338,128,240,678,0,0.0,13375121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5490.0,33.6318442705876,6.55118344395031,24.5952803856889,4013450379.0343,36074000000.0,1788.22988572812,58.699,0.557709991931915,0.491369992494583,56.75265,29.9,50.4,18.8827939822894,5.0,-15868.0,0.993746477643902,88.7,120.8,50.0171142919856,46.703118684279,3.27976702373542,3.83138071176847,20.931,25.5725706803189,10.0,215402.0,9800.0,0.156,0.097,0.115,0.115,0.043,0.037,-0.287,0.228,0.197,0.132,0.743,0.333,0.245,0.562,0.299,0.226,0.219,0.306,-0.028,0.707,0.501,0.287,0.001,0.5,0.048,0.234,0.25,0.147,0.193,0.193,0.372,0.0,0.443,0.144,0.183,0.238,0.0,0.259,0.427,0.668,0.902,0.861,0.893,0.929,0.898,0.298,0.225,0.643,0.363,-0.441,-0.374,0.10500000000000001,0.604,-2.472,1.5270000000000001,0.677,0.9170040432046712,0.9170040432046712,0.9170040432046712,0.9170040432046712,0.9170040432046712,0.9170040432046712,0.9170040432046712,0.9170040432046712,0.9170040432046712,0.9170040432046712,128.5714285714,34.6999353458,0.0,139.1428571429,103.9073963956,0.0,40.288309284,0.0,139.1428571429,350.9,179.3340098495,0.05105985791378436,0.05105985791378436,0.05105985791378436
1505,129,240,678,0,0.0,13375121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5490.0,33.6318442705876,6.55118344395031,24.5952803856889,4013450379.0343,36074000000.0,1788.22988572812,58.699,0.557709991931915,0.491369992494583,56.75265,29.9,50.4,18.8827939822894,5.0,-15868.0,0.993746477643902,88.7,120.8,50.0171142919856,46.703118684279,3.27976702373542,3.83138071176847,20.931,25.5725706803189,10.0,215402.0,9800.0,0.156,0.097,0.115,0.115,0.043,0.037,-0.287,0.228,0.197,0.132,0.743,0.333,0.245,0.562,0.299,0.226,0.219,0.306,-0.028,0.707,0.501,0.287,0.001,0.5,0.048,0.234,0.25,0.147,0.193,0.193,0.372,0.0,0.443,0.144,0.183,0.238,0.0,0.259,0.427,0.668,0.902,0.861,0.893,0.929,0.898,0.298,0.225,0.643,0.363,-0.441,-0.374,0.10500000000000001,0.604,-2.472,1.5270000000000001,0.677,0.8908987181403393,0.8908987181403393,0.8908987181403393,0.8908987181403393,0.8908987181403393,0.8908987181403393,0.8908987181403393,0.8908987181403393,0.8908987181403393,0.8908987181403393,128.5714285714,34.6999353458,0.0,139.1428571429,103.9073963956,0.0,40.288309284,0.0,139.1428571429,350.9,179.3340098495,0.049606282874006244,0.049606282874006244,0.049606282874006244
