month_id,country_id,draw,outcome
469,167,0,78
469,167,1,85
469,167,2,82
470,167,0,95
470,167,1,75
470,167,2,104
471,167,0,75
471,167,1,91
471,167,2,87
472,167,0,75
472,167,1,70
472,167,2,88
473,167,0,42
473,167,1,45
473,167,2,45
474,167,0,99
474,167,1,99
474,167,2,99
475,167,0,150
475,167,1,125
475,167,2,85
476,167,0,49
476,167,1,25
476,167,2,35
477,167,0,8
477,167,1,77
477,167,2,25
478,167,0,52
478,167,1,60
478,167,2,78
479,167,0,43
479,167,1,41
479,167,2,33
480,167,0,90
480,167,1,85
480,167,2,88
