month_id,country_id,draw,outcome
469,167,0,61
469,167,1,86
469,167,2,72
470,167,0,76
470,167,1,50
470,167,2,95
471,167,0,87
471,167,1,64
471,167,2,64
472,167,0,115
472,167,1,149
472,167,2,134
473,167,0,54
473,167,1,41
473,167,2,49
474,167,0,72
474,167,1,91
474,167,2,50
475,167,0,120
475,167,1,115
475,167,2,150
476,167,0,67
476,167,1,78
476,167,2,79
477,167,0,100
477,167,1,145
477,167,2,80
478,167,0,52
478,167,1,26
478,167,2,33
479,167,0,34
479,167,1,37
479,167,2,32
480,167,0,80
480,167,1,80
480,167,2,80
