month_id,country_id,draw,outcome
469,149,0,12
469,149,1,11
469,149,2,9
470,149,0,30
470,149,1,30
470,149,2,30
471,149,0,18
471,149,1,25
471,149,2,25
472,149,0,54
472,149,1,47
472,149,2,23
473,149,0,35
473,149,1,27
473,149,2,33
474,149,0,318
474,149,1,210
474,149,2,318
475,149,0,16
475,149,1,16
475,149,2,16
476,149,0,14
476,149,1,12
476,149,2,8
477,149,0,104
477,149,1,87
477,149,2,67
478,149,0,12
478,149,1,12
478,149,2,24
479,149,0,34
479,149,1,27
479,149,2,38
480,149,0,21
480,149,1,20
480,149,2,25
