ged_sb,rolling_avg
52,
17,
0,
0,
0,13.8
1049,213.2
911,392.0
354,462.8
243,511.4
323,576.0
298,425.8
383,320.2
108,271.0
282,278.8
706,355.4
759,447.6
340,439.0
362,489.8
2319,897.2
476,851.2
732,845.8
180,813.8
85,758.4
83,311.2
145,245.0
101,118.8
231,129.0
131,138.2
322,186.0
570,271.0
498,350.4
129,330.0
143,332.4
115,291.0
198,216.6
1508,418.6
91,411.0
22,386.8
46,373.0
100,353.4
77,67.2
40,57.0
89,70.4
53,71.8
550,161.8
15,149.4
918,325.0
74,322.0
1,311.6
105,222.6
82,236.0
7,53.8
116,62.2
46,71.2
4,51.0
72,49.0
160,79.6
13,59.0
10,51.8
41,59.2
3,45.4
0,13.4
0,10.8
204,49.6
401,121.6
488,218.6
908,400.2
151,430.4
204,430.4
1111,572.4
963,667.4
322,550.2
60,532.0
94,510.0
270,341.8
311,211.4
101,167.2
67,168.6
1766,503.0
290,507.0
713,587.4
74,582.0
11,570.8
111,239.8
452,272.2
43,138.2
200,163.4
60,173.2
106,172.2
426,167.0
105,179.4
518,243.0
209,272.8
351,321.8
181,272.8
229,297.6
29,199.8
74,172.8
217,146.0
216,153.0
178,142.8
820,301.0
97,305.6
420,346.2
1111,525.2
296,548.8
120,408.8
184,426.2
123,366.8
118,168.2
62,121.4
58,109.0
83,88.8
193,102.8
43,87.8
94,94.2
279,138.4
252,172.2
250,183.6
327,240.4
145,250.6
31,201.0
144,179.4
490,227.4
143,190.6
148,191.2
256,236.2
44,216.2
586,235.4
204,247.6
97,237.4
237,233.6
159,256.6
12,141.8
61,113.2
296,153.0
65,118.6
98,106.4
55,115.0
123,127.4
