month_id,country_id,draw,outcome
469,133,0,2000
469,133,1,2250
469,133,2,2500
470,133,0,2300
470,133,1,2518
470,133,2,2800
471,133,0,2900
471,133,1,3150
471,133,2,3400
472,133,0,2200
472,133,1,2600
472,133,2,3000
473,133,0,1800
473,133,1,2100
473,133,2,2500
474,133,0,1500
474,133,1,2000
474,133,2,2500
475,133,0,1800
475,133,1,2300
475,133,2,2800
476,133,0,1800
476,133,1,2200
476,133,2,2600
477,133,0,2700
477,133,1,3000
477,133,2,3300
478,133,0,2500
478,133,1,3100
478,133,2,3800
479,133,0,2800
479,133,1,3500
479,133,2,4200
480,133,0,2400
480,133,1,2900
480,133,2,3500
