,Unnamed: 0,month_id,country_id,draw,outcome
1428,1428,505,133,0,2247
1429,1429,505,133,1,2051
1430,1430,505,133,2,2657
1431,1431,505,133,3,2048
1432,1432,505,133,4,1746
1433,1433,505,133,5,2768
1434,1434,505,133,6,4861
1435,1435,505,133,7,7512
1436,1436,505,133,8,8356
1437,1437,505,133,9,5163
1438,1438,505,133,10,513
1439,1439,505,133,11,87
3720,3720,506,133,0,2247
3721,3721,506,133,1,2051
3722,3722,506,133,2,2657
3723,3723,506,133,3,2048
3724,3724,506,133,4,1746
3725,3725,506,133,5,2768
3726,3726,506,133,6,4861
3727,3727,506,133,7,7512
3728,3728,506,133,8,8356
3729,3729,506,133,9,5163
3730,3730,506,133,10,513
3731,3731,506,133,11,87
6012,6012,507,133,0,2247
6013,6013,507,133,1,2051
6014,6014,507,133,2,2657
6015,6015,507,133,3,2048
6016,6016,507,133,4,1746
6017,6017,507,133,5,2768
6018,6018,507,133,6,4861
6019,6019,507,133,7,7512
6020,6020,507,133,8,8356
6021,6021,507,133,9,5163
6022,6022,507,133,10,513
6023,6023,507,133,11,87
8304,8304,508,133,0,2247
8305,8305,508,133,1,2051
8306,8306,508,133,2,2657
8307,8307,508,133,3,2048
8308,8308,508,133,4,1746
8309,8309,508,133,5,2768
8310,8310,508,133,6,4861
8311,8311,508,133,7,7512
8312,8312,508,133,8,8356
8313,8313,508,133,9,5163
8314,8314,508,133,10,513
8315,8315,508,133,11,87
10596,10596,509,133,0,2247
10597,10597,509,133,1,2051
10598,10598,509,133,2,2657
10599,10599,509,133,3,2048
10600,10600,509,133,4,1746
10601,10601,509,133,5,2768
10602,10602,509,133,6,4861
10603,10603,509,133,7,7512
10604,10604,509,133,8,8356
10605,10605,509,133,9,5163
10606,10606,509,133,10,513
10607,10607,509,133,11,87
12888,12888,510,133,0,2247
12889,12889,510,133,1,2051
12890,12890,510,133,2,2657
12891,12891,510,133,3,2048
12892,12892,510,133,4,1746
12893,12893,510,133,5,2768
12894,12894,510,133,6,4861
12895,12895,510,133,7,7512
12896,12896,510,133,8,8356
12897,12897,510,133,9,5163
12898,12898,510,133,10,513
12899,12899,510,133,11,87
15180,15180,511,133,0,2247
15181,15181,511,133,1,2051
15182,15182,511,133,2,2657
15183,15183,511,133,3,2048
15184,15184,511,133,4,1746
15185,15185,511,133,5,2768
15186,15186,511,133,6,4861
15187,15187,511,133,7,7512
15188,15188,511,133,8,8356
15189,15189,511,133,9,5163
15190,15190,511,133,10,513
15191,15191,511,133,11,87
17472,17472,512,133,0,2247
17473,17473,512,133,1,2051
17474,17474,512,133,2,2657
17475,17475,512,133,3,2048
17476,17476,512,133,4,1746
17477,17477,512,133,5,2768
17478,17478,512,133,6,4861
17479,17479,512,133,7,7512
17480,17480,512,133,8,8356
17481,17481,512,133,9,5163
17482,17482,512,133,10,513
17483,17483,512,133,11,87
19764,19764,513,133,0,2247
19765,19765,513,133,1,2051
19766,19766,513,133,2,2657
19767,19767,513,133,3,2048
19768,19768,513,133,4,1746
19769,19769,513,133,5,2768
19770,19770,513,133,6,4861
19771,19771,513,133,7,7512
19772,19772,513,133,8,8356
19773,19773,513,133,9,5163
19774,19774,513,133,10,513
19775,19775,513,133,11,87
22056,22056,514,133,0,2247
22057,22057,514,133,1,2051
22058,22058,514,133,2,2657
22059,22059,514,133,3,2048
22060,22060,514,133,4,1746
22061,22061,514,133,5,2768
22062,22062,514,133,6,4861
22063,22063,514,133,7,7512
22064,22064,514,133,8,8356
22065,22065,514,133,9,5163
22066,22066,514,133,10,513
22067,22067,514,133,11,87
24348,24348,515,133,0,2247
24349,24349,515,133,1,2051
24350,24350,515,133,2,2657
24351,24351,515,133,3,2048
24352,24352,515,133,4,1746
24353,24353,515,133,5,2768
24354,24354,515,133,6,4861
24355,24355,515,133,7,7512
24356,24356,515,133,8,8356
24357,24357,515,133,9,5163
24358,24358,515,133,10,513
24359,24359,515,133,11,87
26640,26640,516,133,0,2247
26641,26641,516,133,1,2051
26642,26642,516,133,2,2657
26643,26643,516,133,3,2048
26644,26644,516,133,4,1746
26645,26645,516,133,5,2768
26646,26646,516,133,6,4861
26647,26647,516,133,7,7512
26648,26648,516,133,8,8356
26649,26649,516,133,9,5163
26650,26650,516,133,10,513
26651,26651,516,133,11,87
