month_id,country_id,outcome
457,133,1734
458,133,1530
459,133,1475
460,133,1697
461,133,2590
462,133,1730
463,133,2690
464,133,2394
465,133,2301
466,133,2368
467,133,2766
468,133,2421
469,133,2138
470,133,1697
471,133,2430
472,133,2034
473,133,2787
474,133,2760
475,133,3742
476,133,2616
477,133,3603
478,133,2448
479,133,1634
480,133,2051
481,133,1638
482,133,1270
483,133,1069
484,133,1006
485,133,1165
486,133,1455
487,133,3115
488,133,1380
489,133,1758
490,133,2335
491,133,2247
492,133,2051
493,133,2657
494,133,2048
495,133,1746
496,133,2768
497,133,4861
498,133,7512
499,133,8356
500,133,5163
501,133,513
502,133,87
503,133,59
504,133,17
505,133,28
506,133,5
507,133,40
508,133,112
509,133,127
510,133,97
511,133,56
512,133,42
513,133,216
514,133,95
515,133,15
516,133,93
517,133,51
518,133,13
519,133,41
520,133,47
521,133,12
522,133,23
523,133,6
524,133,19
525,133,1
526,133,4
527,133,8
528,133,5
529,133,10
530,133,2
531,133,55
532,133,6
