,Unnamed: 0,month_id,country_id,draw,outcome
1428,1428,469,133,0,1225
1429,1429,469,133,1,1012
1430,1430,469,133,2,1734
1431,1431,469,133,3,1530
1432,1432,469,133,4,1475
1433,1433,469,133,5,1697
1434,1434,469,133,6,2590
1435,1435,469,133,7,1730
1436,1436,469,133,8,2690
1437,1437,469,133,9,2394
1438,1438,469,133,10,2301
1439,1439,469,133,11,2368
3720,3720,470,133,0,1225
3721,3721,470,133,1,1012
3722,3722,470,133,2,1734
3723,3723,470,133,3,1530
3724,3724,470,133,4,1475
3725,3725,470,133,5,1697
3726,3726,470,133,6,2590
3727,3727,470,133,7,1730
3728,3728,470,133,8,2690
3729,3729,470,133,9,2394
3730,3730,470,133,10,2301
3731,3731,470,133,11,2368
6012,6012,471,133,0,1225
6013,6013,471,133,1,1012
6014,6014,471,133,2,1734
6015,6015,471,133,3,1530
6016,6016,471,133,4,1475
6017,6017,471,133,5,1697
6018,6018,471,133,6,2590
6019,6019,471,133,7,1730
6020,6020,471,133,8,2690
6021,6021,471,133,9,2394
6022,6022,471,133,10,2301
6023,6023,471,133,11,2368
8304,8304,472,133,0,1225
8305,8305,472,133,1,1012
8306,8306,472,133,2,1734
8307,8307,472,133,3,1530
8308,8308,472,133,4,1475
8309,8309,472,133,5,1697
8310,8310,472,133,6,2590
8311,8311,472,133,7,1730
8312,8312,472,133,8,2690
8313,8313,472,133,9,2394
8314,8314,472,133,10,2301
8315,8315,472,133,11,2368
10596,10596,473,133,0,1225
10597,10597,473,133,1,1012
10598,10598,473,133,2,1734
10599,10599,473,133,3,1530
10600,10600,473,133,4,1475
10601,10601,473,133,5,1697
10602,10602,473,133,6,2590
10603,10603,473,133,7,1730
10604,10604,473,133,8,2690
10605,10605,473,133,9,2394
10606,10606,473,133,10,2301
10607,10607,473,133,11,2368
12888,12888,474,133,0,1225
12889,12889,474,133,1,1012
12890,12890,474,133,2,1734
12891,12891,474,133,3,1530
12892,12892,474,133,4,1475
12893,12893,474,133,5,1697
12894,12894,474,133,6,2590
12895,12895,474,133,7,1730
12896,12896,474,133,8,2690
12897,12897,474,133,9,2394
12898,12898,474,133,10,2301
12899,12899,474,133,11,2368
15180,15180,475,133,0,1225
15181,15181,475,133,1,1012
15182,15182,475,133,2,1734
15183,15183,475,133,3,1530
15184,15184,475,133,4,1475
15185,15185,475,133,5,1697
15186,15186,475,133,6,2590
15187,15187,475,133,7,1730
15188,15188,475,133,8,2690
15189,15189,475,133,9,2394
15190,15190,475,133,10,2301
15191,15191,475,133,11,2368
17472,17472,476,133,0,1225
17473,17473,476,133,1,1012
17474,17474,476,133,2,1734
17475,17475,476,133,3,1530
17476,17476,476,133,4,1475
17477,17477,476,133,5,1697
17478,17478,476,133,6,2590
17479,17479,476,133,7,1730
17480,17480,476,133,8,2690
17481,17481,476,133,9,2394
17482,17482,476,133,10,2301
17483,17483,476,133,11,2368
19764,19764,477,133,0,1225
19765,19765,477,133,1,1012
19766,19766,477,133,2,1734
19767,19767,477,133,3,1530
19768,19768,477,133,4,1475
19769,19769,477,133,5,1697
19770,19770,477,133,6,2590
19771,19771,477,133,7,1730
19772,19772,477,133,8,2690
19773,19773,477,133,9,2394
19774,19774,477,133,10,2301
19775,19775,477,133,11,2368
22056,22056,478,133,0,1225
22057,22057,478,133,1,1012
22058,22058,478,133,2,1734
22059,22059,478,133,3,1530
22060,22060,478,133,4,1475
22061,22061,478,133,5,1697
22062,22062,478,133,6,2590
22063,22063,478,133,7,1730
22064,22064,478,133,8,2690
22065,22065,478,133,9,2394
22066,22066,478,133,10,2301
22067,22067,478,133,11,2368
24348,24348,479,133,0,1225
24349,24349,479,133,1,1012
24350,24350,479,133,2,1734
24351,24351,479,133,3,1530
24352,24352,479,133,4,1475
24353,24353,479,133,5,1697
24354,24354,479,133,6,2590
24355,24355,479,133,7,1730
24356,24356,479,133,8,2690
24357,24357,479,133,9,2394
24358,24358,479,133,10,2301
24359,24359,479,133,11,2368
26640,26640,480,133,0,1225
26641,26641,480,133,1,1012
26642,26642,480,133,2,1734
26643,26643,480,133,3,1530
26644,26644,480,133,4,1475
26645,26645,480,133,5,1697
26646,26646,480,133,6,2590
26647,26647,480,133,7,1730
26648,26648,480,133,8,2690
26649,26649,480,133,9,2394
26650,26650,480,133,10,2301
26651,26651,480,133,11,2368
