,month_id,country_id,draw,outcome
1824,469,167,0,36
1825,469,167,1,209
1826,469,167,2,103
1827,469,167,3,162
1828,469,167,4,64
1829,469,167,5,20
1830,469,167,6,91
1831,469,167,7,14
1832,469,167,8,39
1833,469,167,9,52
1834,469,167,10,94
1835,469,167,11,62
4116,470,167,0,36
4117,470,167,1,209
4118,470,167,2,103
4119,470,167,3,162
4120,470,167,4,64
4121,470,167,5,20
4122,470,167,6,91
4123,470,167,7,14
4124,470,167,8,39
4125,470,167,9,52
4126,470,167,10,94
4127,470,167,11,62
6408,471,167,0,36
6409,471,167,1,209
6410,471,167,2,103
6411,471,167,3,162
6412,471,167,4,64
6413,471,167,5,20
6414,471,167,6,91
6415,471,167,7,14
6416,471,167,8,39
6417,471,167,9,52
6418,471,167,10,94
6419,471,167,11,62
8700,472,167,0,36
8701,472,167,1,209
8702,472,167,2,103
8703,472,167,3,162
8704,472,167,4,64
8705,472,167,5,20
8706,472,167,6,91
8707,472,167,7,14
8708,472,167,8,39
8709,472,167,9,52
8710,472,167,10,94
8711,472,167,11,62
10992,473,167,0,36
10993,473,167,1,209
10994,473,167,2,103
10995,473,167,3,162
10996,473,167,4,64
10997,473,167,5,20
10998,473,167,6,91
10999,473,167,7,14
11000,473,167,8,39
11001,473,167,9,52
11002,473,167,10,94
11003,473,167,11,62
13284,474,167,0,36
13285,474,167,1,209
13286,474,167,2,103
13287,474,167,3,162
13288,474,167,4,64
13289,474,167,5,20
13290,474,167,6,91
13291,474,167,7,14
13292,474,167,8,39
13293,474,167,9,52
13294,474,167,10,94
13295,474,167,11,62
15576,475,167,0,36
15577,475,167,1,209
15578,475,167,2,103
15579,475,167,3,162
15580,475,167,4,64
15581,475,167,5,20
15582,475,167,6,91
15583,475,167,7,14
15584,475,167,8,39
15585,475,167,9,52
15586,475,167,10,94
15587,475,167,11,62
17868,476,167,0,36
17869,476,167,1,209
17870,476,167,2,103
17871,476,167,3,162
17872,476,167,4,64
17873,476,167,5,20
17874,476,167,6,91
17875,476,167,7,14
17876,476,167,8,39
17877,476,167,9,52
17878,476,167,10,94
17879,476,167,11,62
20160,477,167,0,36
20161,477,167,1,209
20162,477,167,2,103
20163,477,167,3,162
20164,477,167,4,64
20165,477,167,5,20
20166,477,167,6,91
20167,477,167,7,14
20168,477,167,8,39
20169,477,167,9,52
20170,477,167,10,94
20171,477,167,11,62
22452,478,167,0,36
22453,478,167,1,209
22454,478,167,2,103
22455,478,167,3,162
22456,478,167,4,64
22457,478,167,5,20
22458,478,167,6,91
22459,478,167,7,14
22460,478,167,8,39
22461,478,167,9,52
22462,478,167,10,94
22463,478,167,11,62
24744,479,167,0,36
24745,479,167,1,209
24746,479,167,2,103
24747,479,167,3,162
24748,479,167,4,64
24749,479,167,5,20
24750,479,167,6,91
24751,479,167,7,14
24752,479,167,8,39
24753,479,167,9,52
24754,479,167,10,94
24755,479,167,11,62
27036,480,167,0,36
27037,480,167,1,209
27038,480,167,2,103
27039,480,167,3,162
27040,480,167,4,64
27041,480,167,5,20
27042,480,167,6,91
27043,480,167,7,14
27044,480,167,8,39
27045,480,167,9,52
27046,480,167,10,94
27047,480,167,11,62
