month_id,country_id,draw,outcome
469,167,0,47
469,167,1,73
469,167,2,67
470,167,0,78
470,167,1,78
470,167,2,75
471,167,0,87
471,167,1,80
471,167,2,81
472,167,0,79
472,167,1,102
472,167,2,105
473,167,0,42
473,167,1,45
473,167,2,45
474,167,0,112
474,167,1,68
474,167,2,102
475,167,0,150
475,167,1,123
475,167,2,110
476,167,0,75
476,167,1,37
476,167,2,32
477,167,0,150
477,167,1,76
477,167,2,110
478,167,0,29
478,167,1,30
478,167,2,30
479,167,0,26
479,167,1,40
479,167,2,30
480,167,0,80
480,167,1,80
480,167,2,62
