month_id,country_id,draw,outcome
469,167,0,50
469,167,1,85
469,167,2,130
470,167,0,45
470,167,1,80
470,167,2,120
471,167,0,50
471,167,1,75
471,167,2,110
472,167,0,40
472,167,1,60
472,167,2,90
473,167,0,24
473,167,1,58
473,167,2,95
474,167,0,30
474,167,1,55
474,167,2,70
475,167,0,30
475,167,1,55
475,167,2,80
476,167,0,20
476,167,1,45
476,167,2,70
477,167,0,20
477,167,1,45
477,167,2,80
478,167,0,20
478,167,1,60
478,167,2,90
479,167,0,18
479,167,1,45
479,167,2,90
480,167,0,20
480,167,1,65
480,167,2,100
