month_id,country_id,draw,outcome
469,167,0,61
469,167,1,93
469,167,2,128
470,167,0,40
470,167,1,75
470,167,2,140
471,167,0,40
471,167,1,120
471,167,2,200
472,167,0,50
472,167,1,120
472,167,2,250
473,167,0,70
473,167,1,95
473,167,2,120
474,167,0,60
474,167,1,75
474,167,2,90
475,167,0,40
475,167,1,75
475,167,2,120
476,167,0,20
476,167,1,62
476,167,2,110
477,167,0,90
477,167,1,130
477,167,2,170
478,167,0,10
478,167,1,35
478,167,2,70
479,167,0,10
479,167,1,30
479,167,2,70
480,167,0,30
480,167,1,60
480,167,2,90
