month_id,country_id,draw,outcome
469,167,0,37
469,167,1,57
469,167,2,57
469,167,3,39
469,167,4,66
469,167,5,63
469,167,6,62
469,167,7,64
469,167,8,70
469,167,9,52
469,167,10,52
470,167,0,87
470,167,1,92
470,167,2,95
470,167,3,87
470,167,4,72
470,167,5,87
470,167,6,87
470,167,7,97
470,167,8,87
470,167,9,95
470,167,10,87
471,167,0,75
471,167,1,76
471,167,2,85
471,167,3,75
471,167,4,84
471,167,5,73
471,167,6,77
471,167,7,80
471,167,8,75
471,167,9,78
471,167,10,75
472,167,0,104
472,167,1,115
472,167,2,125
472,167,3,168
472,167,4,96
472,167,5,124
472,167,6,135
472,167,7,125
472,167,8,95
472,167,9,134
472,167,10,125
473,167,0,58
473,167,1,53
473,167,2,38
473,167,3,71
473,167,4,70
473,167,5,60
473,167,6,50
473,167,7,40
473,167,8,68
473,167,9,60
473,167,10,42
474,167,0,110
474,167,1,91
474,167,2,82
474,167,3,91
474,167,4,82
474,167,5,100
474,167,6,97
474,167,7,102
474,167,8,91
474,167,9,94
474,167,10,91
475,167,0,92
475,167,1,78
475,167,2,78
475,167,3,150
475,167,4,97
475,167,5,120
475,167,6,120
475,167,7,120
475,167,8,150
475,167,9,150
475,167,10,150
476,167,0,45
476,167,1,50
476,167,2,75
476,167,3,40
476,167,4,68
476,167,5,75
476,167,6,86
476,167,7,91
476,167,8,45
476,167,9,75
476,167,10,48
477,167,0,145
477,167,1,150
477,167,2,75
477,167,3,150
477,167,4,152
477,167,5,150
477,167,6,130
477,167,7,150
477,167,8,92
477,167,9,150
477,167,10,185
478,167,0,29
478,167,1,62
478,167,2,64
478,167,3,43
478,167,4,32
478,167,5,39
478,167,6,42
478,167,7,62
478,167,8,26
478,167,9,43
478,167,10,87
479,167,0,38
479,167,1,30
479,167,2,35
479,167,3,30
479,167,4,32
479,167,5,27
479,167,6,40
479,167,7,30
479,167,8,40
479,167,9,42
479,167,10,27
480,167,0,80
480,167,1,80
480,167,2,80
480,167,3,80
480,167,4,80
480,167,5,62
480,167,6,80
480,167,7,83
480,167,8,80
480,167,9,80
480,167,10,80
