month_id,country_id,draw,outcome
469,167,0,34
469,167,1,34
469,167,2,41
470,167,0,52
470,167,1,52
470,167,2,45
471,167,0,175
471,167,1,175
471,167,2,150
472,167,0,175
472,167,1,195
472,167,2,115
473,167,0,45
473,167,1,48
473,167,2,45
474,167,0,75
474,167,1,75
474,167,2,75
475,167,0,45
475,167,1,45
475,167,2,45
476,167,0,40
476,167,1,42
476,167,2,40
477,167,0,86
477,167,1,86
477,167,2,75
478,167,0,108
478,167,1,120
478,167,2,82
479,167,0,45
479,167,1,42
479,167,2,41
480,167,0,54
480,167,1,45
480,167,2,45
