,Unnamed: 0,month_id,country_id,draw,outcome
1824,1824,493,167,0,88
1825,1825,493,167,1,198
1826,1826,493,167,2,206
1827,1827,493,167,3,27
1828,1828,493,167,4,197
1829,1829,493,167,5,174
1830,1830,493,167,6,91
1831,1831,493,167,7,83
1832,1832,493,167,8,56
1833,1833,493,167,9,93
1834,1834,493,167,10,71
1835,1835,493,167,11,80
4116,4116,494,167,0,88
4117,4117,494,167,1,198
4118,4118,494,167,2,206
4119,4119,494,167,3,27
4120,4120,494,167,4,197
4121,4121,494,167,5,174
4122,4122,494,167,6,91
4123,4123,494,167,7,83
4124,4124,494,167,8,56
4125,4125,494,167,9,93
4126,4126,494,167,10,71
4127,4127,494,167,11,80
6408,6408,495,167,0,88
6409,6409,495,167,1,198
6410,6410,495,167,2,206
6411,6411,495,167,3,27
6412,6412,495,167,4,197
6413,6413,495,167,5,174
6414,6414,495,167,6,91
6415,6415,495,167,7,83
6416,6416,495,167,8,56
6417,6417,495,167,9,93
6418,6418,495,167,10,71
6419,6419,495,167,11,80
8700,8700,496,167,0,88
8701,8701,496,167,1,198
8702,8702,496,167,2,206
8703,8703,496,167,3,27
8704,8704,496,167,4,197
8705,8705,496,167,5,174
8706,8706,496,167,6,91
8707,8707,496,167,7,83
8708,8708,496,167,8,56
8709,8709,496,167,9,93
8710,8710,496,167,10,71
8711,8711,496,167,11,80
10992,10992,497,167,0,88
10993,10993,497,167,1,198
10994,10994,497,167,2,206
10995,10995,497,167,3,27
10996,10996,497,167,4,197
10997,10997,497,167,5,174
10998,10998,497,167,6,91
10999,10999,497,167,7,83
11000,11000,497,167,8,56
11001,11001,497,167,9,93
11002,11002,497,167,10,71
11003,11003,497,167,11,80
13284,13284,498,167,0,88
13285,13285,498,167,1,198
13286,13286,498,167,2,206
13287,13287,498,167,3,27
13288,13288,498,167,4,197
13289,13289,498,167,5,174
13290,13290,498,167,6,91
13291,13291,498,167,7,83
13292,13292,498,167,8,56
13293,13293,498,167,9,93
13294,13294,498,167,10,71
13295,13295,498,167,11,80
15576,15576,499,167,0,88
15577,15577,499,167,1,198
15578,15578,499,167,2,206
15579,15579,499,167,3,27
15580,15580,499,167,4,197
15581,15581,499,167,5,174
15582,15582,499,167,6,91
15583,15583,499,167,7,83
15584,15584,499,167,8,56
15585,15585,499,167,9,93
15586,15586,499,167,10,71
15587,15587,499,167,11,80
17868,17868,500,167,0,88
17869,17869,500,167,1,198
17870,17870,500,167,2,206
17871,17871,500,167,3,27
17872,17872,500,167,4,197
17873,17873,500,167,5,174
17874,17874,500,167,6,91
17875,17875,500,167,7,83
17876,17876,500,167,8,56
17877,17877,500,167,9,93
17878,17878,500,167,10,71
17879,17879,500,167,11,80
20160,20160,501,167,0,88
20161,20161,501,167,1,198
20162,20162,501,167,2,206
20163,20163,501,167,3,27
20164,20164,501,167,4,197
20165,20165,501,167,5,174
20166,20166,501,167,6,91
20167,20167,501,167,7,83
20168,20168,501,167,8,56
20169,20169,501,167,9,93
20170,20170,501,167,10,71
20171,20171,501,167,11,80
22452,22452,502,167,0,88
22453,22453,502,167,1,198
22454,22454,502,167,2,206
22455,22455,502,167,3,27
22456,22456,502,167,4,197
22457,22457,502,167,5,174
22458,22458,502,167,6,91
22459,22459,502,167,7,83
22460,22460,502,167,8,56
22461,22461,502,167,9,93
22462,22462,502,167,10,71
22463,22463,502,167,11,80
24744,24744,503,167,0,88
24745,24745,503,167,1,198
24746,24746,503,167,2,206
24747,24747,503,167,3,27
24748,24748,503,167,4,197
24749,24749,503,167,5,174
24750,24750,503,167,6,91
24751,24751,503,167,7,83
24752,24752,503,167,8,56
24753,24753,503,167,9,93
24754,24754,503,167,10,71
24755,24755,503,167,11,80
27036,27036,504,167,0,88
27037,27037,504,167,1,198
27038,27038,504,167,2,206
27039,27039,504,167,3,27
27040,27040,504,167,4,197
27041,27041,504,167,5,174
27042,27042,504,167,6,91
27043,27043,504,167,7,83
27044,27044,504,167,8,56
27045,27045,504,167,9,93
27046,27046,504,167,10,71
27047,27047,504,167,11,80
