month_id,country_id,outcome
457,167,103
458,167,162
459,167,64
460,167,20
461,167,91
462,167,14
463,167,39
464,167,52
465,167,94
466,167,62
467,167,125
468,167,32
469,167,87
470,167,62
471,167,53
472,167,26
473,167,99
474,167,61
475,167,23
476,167,5
477,167,63
478,167,29
479,167,88
480,167,198
481,167,206
482,167,27
483,167,197
484,167,174
485,167,91
486,167,83
487,167,56
488,167,93
489,167,71
490,167,80
491,167,49
492,167,104
493,167,61
494,167,84
495,167,43
496,167,73
497,167,86
498,167,103
499,167,67
500,167,161
501,167,90
502,167,102
503,167,93
504,167,118
505,167,176
506,167,181
507,167,123
508,167,73
509,167,229
510,167,70
511,167,86
512,167,107
513,167,61
514,167,66
515,167,177
516,167,406
517,167,141
518,167,43
519,167,82
520,167,100
521,167,13
522,167,14
523,167,38
524,167,41
525,167,72
526,167,76
527,167,49
528,167,28
529,167,78
530,167,71
531,167,46
532,167,41
