month_id,country_id,draw,outcome
469,149,0,3
469,149,1,8
469,149,2,15
470,149,0,18
470,149,1,26
470,149,2,35
471,149,0,10
471,149,1,18
471,149,2,35
472,149,0,10
472,149,1,22
472,149,2,35
473,149,0,15
473,149,1,35
473,149,2,60
474,149,0,12
474,149,1,29
474,149,2,60
475,149,0,30
475,149,1,80
475,149,2,200
476,149,0,10
476,149,1,30
476,149,2,150
477,149,0,50
477,149,1,200
477,149,2,400
478,149,0,12
478,149,1,25
478,149,2,40
479,149,0,10
479,149,1,25
479,149,2,60
480,149,0,15
480,149,1,30
480,149,2,60
