,Unnamed: 0,month_id,country_id,draw,outcome
1608,1608,505,149,0,4
1609,1609,505,149,1,0
1610,1610,505,149,2,0
1611,1611,505,149,3,1
1612,1612,505,149,4,41
1613,1613,505,149,5,94
1614,1614,505,149,6,193
1615,1615,505,149,7,74
1616,1616,505,149,8,181
1617,1617,505,149,9,72
1618,1618,505,149,10,115
1619,1619,505,149,11,52
3900,3900,506,149,0,4
3901,3901,506,149,1,0
3902,3902,506,149,2,0
3903,3903,506,149,3,1
3904,3904,506,149,4,41
3905,3905,506,149,5,94
3906,3906,506,149,6,193
3907,3907,506,149,7,74
3908,3908,506,149,8,181
3909,3909,506,149,9,72
3910,3910,506,149,10,115
3911,3911,506,149,11,52
6192,6192,507,149,0,4
6193,6193,507,149,1,0
6194,6194,507,149,2,0
6195,6195,507,149,3,1
6196,6196,507,149,4,41
6197,6197,507,149,5,94
6198,6198,507,149,6,193
6199,6199,507,149,7,74
6200,6200,507,149,8,181
6201,6201,507,149,9,72
6202,6202,507,149,10,115
6203,6203,507,149,11,52
8484,8484,508,149,0,4
8485,8485,508,149,1,0
8486,8486,508,149,2,0
8487,8487,508,149,3,1
8488,8488,508,149,4,41
8489,8489,508,149,5,94
8490,8490,508,149,6,193
8491,8491,508,149,7,74
8492,8492,508,149,8,181
8493,8493,508,149,9,72
8494,8494,508,149,10,115
8495,8495,508,149,11,52
10776,10776,509,149,0,4
10777,10777,509,149,1,0
10778,10778,509,149,2,0
10779,10779,509,149,3,1
10780,10780,509,149,4,41
10781,10781,509,149,5,94
10782,10782,509,149,6,193
10783,10783,509,149,7,74
10784,10784,509,149,8,181
10785,10785,509,149,9,72
10786,10786,509,149,10,115
10787,10787,509,149,11,52
13068,13068,510,149,0,4
13069,13069,510,149,1,0
13070,13070,510,149,2,0
13071,13071,510,149,3,1
13072,13072,510,149,4,41
13073,13073,510,149,5,94
13074,13074,510,149,6,193
13075,13075,510,149,7,74
13076,13076,510,149,8,181
13077,13077,510,149,9,72
13078,13078,510,149,10,115
13079,13079,510,149,11,52
15360,15360,511,149,0,4
15361,15361,511,149,1,0
15362,15362,511,149,2,0
15363,15363,511,149,3,1
15364,15364,511,149,4,41
15365,15365,511,149,5,94
15366,15366,511,149,6,193
15367,15367,511,149,7,74
15368,15368,511,149,8,181
15369,15369,511,149,9,72
15370,15370,511,149,10,115
15371,15371,511,149,11,52
17652,17652,512,149,0,4
17653,17653,512,149,1,0
17654,17654,512,149,2,0
17655,17655,512,149,3,1
17656,17656,512,149,4,41
17657,17657,512,149,5,94
17658,17658,512,149,6,193
17659,17659,512,149,7,74
17660,17660,512,149,8,181
17661,17661,512,149,9,72
17662,17662,512,149,10,115
17663,17663,512,149,11,52
19944,19944,513,149,0,4
19945,19945,513,149,1,0
19946,19946,513,149,2,0
19947,19947,513,149,3,1
19948,19948,513,149,4,41
19949,19949,513,149,5,94
19950,19950,513,149,6,193
19951,19951,513,149,7,74
19952,19952,513,149,8,181
19953,19953,513,149,9,72
19954,19954,513,149,10,115
19955,19955,513,149,11,52
22236,22236,514,149,0,4
22237,22237,514,149,1,0
22238,22238,514,149,2,0
22239,22239,514,149,3,1
22240,22240,514,149,4,41
22241,22241,514,149,5,94
22242,22242,514,149,6,193
22243,22243,514,149,7,74
22244,22244,514,149,8,181
22245,22245,514,149,9,72
22246,22246,514,149,10,115
22247,22247,514,149,11,52
24528,24528,515,149,0,4
24529,24529,515,149,1,0
24530,24530,515,149,2,0
24531,24531,515,149,3,1
24532,24532,515,149,4,41
24533,24533,515,149,5,94
24534,24534,515,149,6,193
24535,24535,515,149,7,74
24536,24536,515,149,8,181
24537,24537,515,149,9,72
24538,24538,515,149,10,115
24539,24539,515,149,11,52
26820,26820,516,149,0,4
26821,26821,516,149,1,0
26822,26822,516,149,2,0
26823,26823,516,149,3,1
26824,26824,516,149,4,41
26825,26825,516,149,5,94
26826,26826,516,149,6,193
26827,26827,516,149,7,74
26828,26828,516,149,8,181
26829,26829,516,149,9,72
26830,26830,516,149,10,115
26831,26831,516,149,11,52
