,Unnamed: 0,month_id,country_id,draw,outcome
1272,1272,517,120,0,65
1273,1273,517,120,1,109
1274,1274,517,120,2,169
1275,1275,517,120,3,164
1276,1276,517,120,4,141
1277,1277,517,120,5,65
1278,1278,517,120,6,110
1279,1279,517,120,7,139
1280,1280,517,120,8,216
1281,1281,517,120,9,216
1282,1282,517,120,10,428
1283,1283,517,120,11,605
3564,3564,518,120,0,65
3565,3565,518,120,1,109
3566,3566,518,120,2,169
3567,3567,518,120,3,164
3568,3568,518,120,4,141
3569,3569,518,120,5,65
3570,3570,518,120,6,110
3571,3571,518,120,7,139
3572,3572,518,120,8,216
3573,3573,518,120,9,216
3574,3574,518,120,10,428
3575,3575,518,120,11,605
5856,5856,519,120,0,65
5857,5857,519,120,1,109
5858,5858,519,120,2,169
5859,5859,519,120,3,164
5860,5860,519,120,4,141
5861,5861,519,120,5,65
5862,5862,519,120,6,110
5863,5863,519,120,7,139
5864,5864,519,120,8,216
5865,5865,519,120,9,216
5866,5866,519,120,10,428
5867,5867,519,120,11,605
8148,8148,520,120,0,65
8149,8149,520,120,1,109
8150,8150,520,120,2,169
8151,8151,520,120,3,164
8152,8152,520,120,4,141
8153,8153,520,120,5,65
8154,8154,520,120,6,110
8155,8155,520,120,7,139
8156,8156,520,120,8,216
8157,8157,520,120,9,216
8158,8158,520,120,10,428
8159,8159,520,120,11,605
10440,10440,521,120,0,65
10441,10441,521,120,1,109
10442,10442,521,120,2,169
10443,10443,521,120,3,164
10444,10444,521,120,4,141
10445,10445,521,120,5,65
10446,10446,521,120,6,110
10447,10447,521,120,7,139
10448,10448,521,120,8,216
10449,10449,521,120,9,216
10450,10450,521,120,10,428
10451,10451,521,120,11,605
12732,12732,522,120,0,65
12733,12733,522,120,1,109
12734,12734,522,120,2,169
12735,12735,522,120,3,164
12736,12736,522,120,4,141
12737,12737,522,120,5,65
12738,12738,522,120,6,110
12739,12739,522,120,7,139
12740,12740,522,120,8,216
12741,12741,522,120,9,216
12742,12742,522,120,10,428
12743,12743,522,120,11,605
15024,15024,523,120,0,65
15025,15025,523,120,1,109
15026,15026,523,120,2,169
15027,15027,523,120,3,164
15028,15028,523,120,4,141
15029,15029,523,120,5,65
15030,15030,523,120,6,110
15031,15031,523,120,7,139
15032,15032,523,120,8,216
15033,15033,523,120,9,216
15034,15034,523,120,10,428
15035,15035,523,120,11,605
17316,17316,524,120,0,65
17317,17317,524,120,1,109
17318,17318,524,120,2,169
17319,17319,524,120,3,164
17320,17320,524,120,4,141
17321,17321,524,120,5,65
17322,17322,524,120,6,110
17323,17323,524,120,7,139
17324,17324,524,120,8,216
17325,17325,524,120,9,216
17326,17326,524,120,10,428
17327,17327,524,120,11,605
19608,19608,525,120,0,65
19609,19609,525,120,1,109
19610,19610,525,120,2,169
19611,19611,525,120,3,164
19612,19612,525,120,4,141
19613,19613,525,120,5,65
19614,19614,525,120,6,110
19615,19615,525,120,7,139
19616,19616,525,120,8,216
19617,19617,525,120,9,216
19618,19618,525,120,10,428
19619,19619,525,120,11,605
21900,21900,526,120,0,65
21901,21901,526,120,1,109
21902,21902,526,120,2,169
21903,21903,526,120,3,164
21904,21904,526,120,4,141
21905,21905,526,120,5,65
21906,21906,526,120,6,110
21907,21907,526,120,7,139
21908,21908,526,120,8,216
21909,21909,526,120,9,216
21910,21910,526,120,10,428
21911,21911,526,120,11,605
24192,24192,527,120,0,65
24193,24193,527,120,1,109
24194,24194,527,120,2,169
24195,24195,527,120,3,164
24196,24196,527,120,4,141
24197,24197,527,120,5,65
24198,24198,527,120,6,110
24199,24199,527,120,7,139
24200,24200,527,120,8,216
24201,24201,527,120,9,216
24202,24202,527,120,10,428
24203,24203,527,120,11,605
26484,26484,528,120,0,65
26485,26485,528,120,1,109
26486,26486,528,120,2,169
26487,26487,528,120,3,164
26488,26488,528,120,4,141
26489,26489,528,120,5,65
26490,26490,528,120,6,110
26491,26491,528,120,7,139
26492,26492,528,120,8,216
26493,26493,528,120,9,216
26494,26494,528,120,10,428
26495,26495,528,120,11,605
