,Unnamed: 0,month_id,country_id,draw,outcome
1272,1272,493,120,0,36
1273,1273,493,120,1,210
1274,1274,493,120,2,223
1275,1275,493,120,3,135
1276,1276,493,120,4,243
1277,1277,493,120,5,104
1278,1278,493,120,6,166
1279,1279,493,120,7,154
1280,1280,493,120,8,86
1281,1281,493,120,9,177
1282,1282,493,120,10,169
1283,1283,493,120,11,220
3564,3564,494,120,0,36
3565,3565,494,120,1,210
3566,3566,494,120,2,223
3567,3567,494,120,3,135
3568,3568,494,120,4,243
3569,3569,494,120,5,104
3570,3570,494,120,6,166
3571,3571,494,120,7,154
3572,3572,494,120,8,86
3573,3573,494,120,9,177
3574,3574,494,120,10,169
3575,3575,494,120,11,220
5856,5856,495,120,0,36
5857,5857,495,120,1,210
5858,5858,495,120,2,223
5859,5859,495,120,3,135
5860,5860,495,120,4,243
5861,5861,495,120,5,104
5862,5862,495,120,6,166
5863,5863,495,120,7,154
5864,5864,495,120,8,86
5865,5865,495,120,9,177
5866,5866,495,120,10,169
5867,5867,495,120,11,220
8148,8148,496,120,0,36
8149,8149,496,120,1,210
8150,8150,496,120,2,223
8151,8151,496,120,3,135
8152,8152,496,120,4,243
8153,8153,496,120,5,104
8154,8154,496,120,6,166
8155,8155,496,120,7,154
8156,8156,496,120,8,86
8157,8157,496,120,9,177
8158,8158,496,120,10,169
8159,8159,496,120,11,220
10440,10440,497,120,0,36
10441,10441,497,120,1,210
10442,10442,497,120,2,223
10443,10443,497,120,3,135
10444,10444,497,120,4,243
10445,10445,497,120,5,104
10446,10446,497,120,6,166
10447,10447,497,120,7,154
10448,10448,497,120,8,86
10449,10449,497,120,9,177
10450,10450,497,120,10,169
10451,10451,497,120,11,220
12732,12732,498,120,0,36
12733,12733,498,120,1,210
12734,12734,498,120,2,223
12735,12735,498,120,3,135
12736,12736,498,120,4,243
12737,12737,498,120,5,104
12738,12738,498,120,6,166
12739,12739,498,120,7,154
12740,12740,498,120,8,86
12741,12741,498,120,9,177
12742,12742,498,120,10,169
12743,12743,498,120,11,220
15024,15024,499,120,0,36
15025,15025,499,120,1,210
15026,15026,499,120,2,223
15027,15027,499,120,3,135
15028,15028,499,120,4,243
15029,15029,499,120,5,104
15030,15030,499,120,6,166
15031,15031,499,120,7,154
15032,15032,499,120,8,86
15033,15033,499,120,9,177
15034,15034,499,120,10,169
15035,15035,499,120,11,220
17316,17316,500,120,0,36
17317,17317,500,120,1,210
17318,17318,500,120,2,223
17319,17319,500,120,3,135
17320,17320,500,120,4,243
17321,17321,500,120,5,104
17322,17322,500,120,6,166
17323,17323,500,120,7,154
17324,17324,500,120,8,86
17325,17325,500,120,9,177
17326,17326,500,120,10,169
17327,17327,500,120,11,220
19608,19608,501,120,0,36
19609,19609,501,120,1,210
19610,19610,501,120,2,223
19611,19611,501,120,3,135
19612,19612,501,120,4,243
19613,19613,501,120,5,104
19614,19614,501,120,6,166
19615,19615,501,120,7,154
19616,19616,501,120,8,86
19617,19617,501,120,9,177
19618,19618,501,120,10,169
19619,19619,501,120,11,220
21900,21900,502,120,0,36
21901,21901,502,120,1,210
21902,21902,502,120,2,223
21903,21903,502,120,3,135
21904,21904,502,120,4,243
21905,21905,502,120,5,104
21906,21906,502,120,6,166
21907,21907,502,120,7,154
21908,21908,502,120,8,86
21909,21909,502,120,9,177
21910,21910,502,120,10,169
21911,21911,502,120,11,220
24192,24192,503,120,0,36
24193,24193,503,120,1,210
24194,24194,503,120,2,223
24195,24195,503,120,3,135
24196,24196,503,120,4,243
24197,24197,503,120,5,104
24198,24198,503,120,6,166
24199,24199,503,120,7,154
24200,24200,503,120,8,86
24201,24201,503,120,9,177
24202,24202,503,120,10,169
24203,24203,503,120,11,220
26484,26484,504,120,0,36
26485,26485,504,120,1,210
26486,26486,504,120,2,223
26487,26487,504,120,3,135
26488,26488,504,120,4,243
26489,26489,504,120,5,104
26490,26490,504,120,6,166
26491,26491,504,120,7,154
26492,26492,504,120,8,86
26493,26493,504,120,9,177
26494,26494,504,120,10,169
26495,26495,504,120,11,220
