month_id,country_id,outcome
457,120,74
458,120,145
459,120,232
460,120,233
461,120,180
462,120,268
463,120,174
464,120,91
465,120,208
466,120,137
467,120,260
468,120,211
469,120,383
470,120,230
471,120,151
472,120,21
473,120,201
474,120,104
475,120,165
476,120,130
477,120,203
478,120,112
479,120,36
480,120,210
481,120,223
482,120,135
483,120,243
484,120,104
485,120,166
486,120,154
487,120,86
488,120,177
489,120,169
490,120,220
491,120,84
492,120,184
493,120,143
494,120,126
495,120,169
496,120,272
497,120,177
498,120,516
499,120,222
500,120,280
501,120,34
502,120,61
503,120,65
504,120,109
505,120,169
506,120,164
507,120,141
508,120,65
509,120,110
510,120,139
511,120,216
512,120,216
513,120,428
514,120,605
515,120,448
516,120,339
517,120,615
518,120,671
519,120,330
520,120,89
521,120,313
522,120,212
523,120,462
524,120,337
525,120,450
526,120,174
527,120,8
528,120,201
529,120,166
530,120,144
531,120,288
532,120,216
